,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
10,12/31/2012,"55,511,918","10,596,239","7,820,885","1,841,907",-,"5,978,978","2,775,354","2,775,354",-,"2,775,354",-,"98,151","98,151",-,"4,731,971","28,290","855,462","756,909","3,091,310",-,"36,597,564","37,493,651","251,651","11,751,000","523,000","24,440,000","528,000","896,087",-,"423,000","423,000","708,882","1,426,334","184,762","497,449","622,170","121,953",-,"-717,452","1,064,947","1,014,129","50,818","1,291,164","49,463,277","46,133,073","27,663,615","27,663,615","18,469,458","347,213","320,478","26,735","5,409","5,409","4,951",0,"5,409","2,337,113","2,337,113","23,300",682,"106,809","533,660","6,048,641","6,052,069","5,294,411","1,128,302","4,166,109","1,203,815",-,-,"-446,157",-,"-3,428","8,389,182","1,128,302","4,923,767",682,"4,987,122","7,266,289","3,858,820","2,342,522",-,"184,199","184,199","40,084"
11,12/31/2011,"53,149,109","8,347,404","8,245,245","1,224,350",-,"7,020,895","102,159","102,159",-,"102,159",-,"153,178","153,178",-,"4,944,103","40,273","865,231","807,804","3,230,795","865,231","35,873,853","37,056,911","201,590","10,835,556","514,101","24,754,573","751,091","1,049,958","-133,100","422,431","422,431","719,276","1,389,233","187,187","488,985","593,046","120,015",-,"-669,957","1,082,959","1,015,129","67,830","1,605,905","46,165,881","42,875,609","26,764,752","26,764,752","16,110,857","652,584","608,098","44,486","70,273","70,273","66,883","3,063",327,"1,954,462","1,953,741","23,840",721,"102,422","510,531","6,983,228","6,985,308","6,540,802","2,377,560","4,163,242","1,036,590","4,163,242",-,"-592,084",-,"-2,080","8,939,049","2,377,560","4,607,748",721,"5,902,349","6,631,762","3,524,789","2,024,735",-,"184,135","184,135",-
12,12/31/2010,"51,034,886","5,630,439","5,500,134","924,126",-,"4,576,008","130,305","130,305",-,"130,305",-,"299,577","299,577",-,"5,953,418","48,667","858,367","840,642","4,205,742","858,367","35,513,376","37,074,058","206,286","9,605,986","530,129","25,350,106","36,867,772","1,440,341","-120,341","410,174","410,174","720,985","1,367,936","191,612","475,830","581,464","119,030",-,"-646,951","1,103,059","1,015,161","87,898","1,814,032","44,387,672","40,935,000","27,281,071","27,281,071","13,653,929","764,806","722,258","42,548","166,394","166,394","160,636","2,647","166,394","1,942,622","1,942,622","20,132",758,"111,708","467,142","6,647,214","6,648,279","6,220,291","2,056,672","4,163,619","889,284","4,163,619",-,"-461,296",-,"-1,065","8,590,901","2,056,672","4,591,607",758,"5,545,220","6,700,623","3,488,548","2,109,016","1,184,890","182,784","182,784",-
13,12/31/2009,"51,123,007","2,101,694","2,023,153","1,370,189",-,"652,964","78,541","78,541","20,985","57,556",-,"389,782","389,782",-,"5,648,718","23,543","1,099,961","869,595","3,655,619","1,099,961","38,866,215","40,535,244","208,567","9,921,730","632,883","27,795,684","40,326,677","1,531,332","-137,697","466,492","466,492","710,534","1,333,182","185,806","445,632","586,648","115,096","115,096","-622,648","1,128,577","1,015,161","113,416","2,277,487","45,412,750","41,840,589","29,516,342","29,516,342","12,324,247","965,330","344,580","620,750","1,084","1,084",-,"1,084",-,"2,017,220","2,017,220","135,911",473,-,"588,527","5,710,257","5,692,658","4,821,201","1,502,784","3,318,417","1,324,516",-,"16,160","-436,899","-16,160","17,599","7,709,878","1,502,784","4,189,874",473,"4,564,081","6,208,178","3,061,297","2,018,304","131,062","150,425","150,425",-
14,12/31/2008,"55,092,791","4,178,893","3,808,735","1,475,976","1,475,976","2,332,759","370,158","370,158","83,451","286,707",-,"191,792",-,-,"5,553,400","42,064","1,044,092","1,790,989","2,676,255",-,"41,172,057","41,991,555","200,318",-,-,-,"41,791,237","686,999","-132,499",-,-,"687,096",-,-,-,-,-,-,-,"1,777,312","1,651,377","125,935","1,532,241","48,563,775","41,316,496","31,633,111","31,633,111","9,683,385","4,069,410","3,134,002","935,408","15,451","15,451",-,"15,451","2,055,304","2,493,307","2,493,307",-,-,-,"669,111","6,529,016","6,501,696","3,894,801","1,294,885","2,599,916","2,433,363","2,599,916","14,459","-98,958","286,949","27,320","8,995,003","1,294,885","5,206,811",-,"4,724,384","7,715,569","3,429,499","2,508,758","868,190","115,338","115,338",-
15,12/31/2007,"52,947,414","3,355,363","2,581,601","1,855,155","1,855,155","726,446","773,762","773,762","102,225","671,537",-,"15,201",-,-,"6,895,312","21,849","1,034,412","704,441","5,134,610",-,"38,125,802","38,749,505","207,943","9,810,991","798,705","27,603,868","327,998","459,376","-164,327","502,601","502,601","655,712","1,196,511","169,941","380,337","528,411","117,822",-,"-540,799","2,159,006","2,009,513","149,493","1,238,417","47,623,675","36,922,753","27,304,453","27,304,453","9,618,300","7,295,443","5,773,062","1,522,381","297,850","297,850",-,"297,850","3,181,990","2,463,254","2,460,415",-,"2,839",-,"644,375","5,323,739","5,292,800","2,452,237","240,000","2,212,237","2,910,692","2,212,237","11,294","-58,835",-,"30,939","7,753,215","240,000","5,052,800","2,839","3,133,794","7,811,065","2,893,794","2,761,104","176,664","107,117","107,117",240
16,12/31/2006,"46,970,226","2,308,086","1,982,013","1,938,810","1,938,810","43,203","326,073","326,073","55,658","270,415",-,"9,250",-,-,"6,789,850","63,436","1,022,383","653,124","5,050,907",-,"34,302,406","34,818,936","252,818",-,-,-,"34,566,118","365,150","-151,380",-,-,"609,472","1,092,959","151,997","346,389","485,712","108,861",-,"-483,487","2,062,651","1,900,517","162,134","888,511","41,940,412","34,981,746","24,971,436","24,971,436","10,010,310","3,632,939","2,648,466","984,473","220,507","220,507",-,"220,507","738,432","2,357,721","2,354,916",-,"2,805",-,"747,499","5,029,814","4,987,023","2,470,303","240,000","2,230,303","2,602,189","2,230,303","9,620","-75,849",-,"42,791","7,341,939","240,000","4,747,023","2,805","2,924,372","7,322,446","2,684,372","2,578,228","593,410","106,721","106,721",240
17,12/31/2005,"42,779,639","2,373,332","1,728,769",-,"1,706,590","22,179","644,563","644,563",-,-,-,-,-,-,"6,057,212","101,562","5,955,650",-,-,-,"29,788,537","30,252,258",-,-,-,-,"30,252,258","338,399","-125,322",-,-,"564,745",-,-,-,-,-,-,-,"2,086,754",-,-,"1,909,059","38,514,824","32,642,408","22,688,575","22,688,575","9,953,833","2,347,974",-,-,"185,989","185,989",-,-,"185,989","2,745,854","2,745,854",-,-,-,"592,599","4,264,815","4,237,264","2,156,732",-,"2,156,732","2,179,885",-,-,"-99,353",-,"27,551","6,983,118",-,"4,237,264",-,"2,150,510","7,169,107","2,150,510","2,931,843","1,203,074","105,148","105,148",-
18,12/31/2004,"31,469,834","1,444,085","852,249",-,"850,998","1,251","591,836","591,836",-,-,-,-,-,-,"5,121,215","290,070","4,831,145",-,-,-,"22,356,004","22,732,080",-,-,-,-,"22,732,080","271,117","-104,959",-,-,"409,210",-,-,-,-,-,-,-,"698,085",-,-,"1,441,235","28,656,496","23,292,261","16,470,733","16,470,733","6,821,528","2,834,969",-,-,"181,396","181,396",-,-,"181,396","1,918,741","1,918,741",-,-,-,"429,129","2,813,338","2,789,979","972,065",-,"972,065","1,830,064",-,-,"-12,150",-,"23,359","4,708,720",-,"2,789,979",-,"2,091,894","4,890,116","2,091,894","2,100,137","1,247,888","89,830","89,830",-
19,12/31/2003,"28,558,238","1,688,045","1,120,235",-,"1,119,351",884,"567,810","567,810",-,-,-,-,-,-,"4,818,017","380,224","4,437,793",-,-,-,"19,651,855","20,016,641",-,-,-,-,"20,016,641","268,506","-96,280",-,-,"407,825",-,-,-,-,-,-,-,"722,899",-,-,"1,269,597","25,998,439","20,896,695","15,013,766","15,013,766","5,882,929","2,475,168",-,-,"215,354","215,354",-,-,"215,354","1,969,202","1,969,202",-,-,-,"442,020","2,559,799","2,540,023","985,904",-,"985,904","1,538,677",-,-,"15,442",-,"19,776","4,509,225",-,"2,540,023",-,"1,817,124","4,724,579","1,817,124","2,184,556","1,064,321","89,841","89,841",-
