,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Leases,Interest Income from Securities,Interest Income from Deposits,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Dividend Income,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Loss on Extinguishment of Debt,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Net Income from Tax Loss Carryforward,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
102,12/31/1997,"169,300","126,400","226,500","159,400","146,200",-,"77,100",-,-,"100,100","62,500",-,"41,600",-,-,"42,900","27,800","27,800","14,500","2,400",-,-,"10,900",-,-,100,-,-,100,"15,000","-3,300","107,300","15,300",-,-,-,"57,400","55,300","55,300",-,-,"2,100",-,-,-,-,"34,600",-,-,-,-,-,-,-,"58,700","20,400","38,300","38,300","38,300","38,300",-,-,-,-,-,"38,300",-,-,-,-,"123,100","38,300","38,235",-,"10,600","38,300",100,100,0,34.753
103,9/30/1997,"118,200","81,800","163,400","96,100","96,100",-,"63,900",-,"3,400","81,600","44,500",-,"35,700","1,400",-,"36,400","22,800","22,800","10,700","1,600",-,-,"10,500",-,-,200,-,-,200,"13,400","-1,100","72,100","9,900",-,-,-,"40,300","38,500","38,500",-,-,"1,800",-,-,-,-,"21,900",-,-,-,-,-,-,-,"44,900","15,500","29,400","29,400","29,400","29,400",-,-,-,-,-,"29,400",0.50,0.49,"71,400","72,857","80,700","29,400","29,269",-,"8,400","29,400",200,200,0,69.0423
104,6/30/1997,"108,200","76,000","155,600","90,100","90,100",-,"61,700",-,"3,800","79,600","38,500",-,"39,600","1,400",100,"32,200","18,400","18,400","9,600","1,200",-,-,"7,600",-,-,400,400,-,-,"13,400",-800,"64,000","8,200",-,-,-,"36,400","34,500","34,500",-,-,"1,900",-,-,-,-,"19,400",-,-,-,-,-,-,-,"43,300","15,300","28,000","28,000","28,000","28,000",-,-,-,-,-,"28,000",0.47,0.47,"59,574","59,574","75,200","28,000","28,000",-,"6,700","28,000",-,-,0,0
105,3/31/1997,"99,400","67,600","136,900","80,700","80,700",-,"53,200",-,"3,000","69,300","34,900",-,"33,200","1,200",-,"31,800","19,800","19,800","8,900","1,600",-,-,"9,300",-,-,-,-,-,-,"12,000","-1,000","57,700","7,500",-,-,-,"33,300","31,700","31,700",-,-,"1,600",-,-,-,-,"16,900",-,-,-,-,-,-,-,"40,700","14,000","26,700","26,700","26,700","26,700",-,-,-,-,-,"26,700",0.45,0.45,"68,000","68,000","66,600","26,700","26,700",-,"5,800","26,700",-,-,0,0
106,12/31/1996,"100,600","71,300","127,300","79,300","79,300",-,"44,600",-,"3,400","56,000","35,100",-,"24,600",-,-,"29,300","17,200","17,200","8,600","1,300",-,-,"7,300",-,-,0,0,-,-,"12,100","-1,300","58,700","7,400",-,-,-,"33,500","32,200","32,200",-,-,"1,300",-,-,-,-,"17,800",-,-,-,-,-,-,-,"40,500","13,600","26,900","26,900","26,900","26,900",-,-,-,-,-,"26,900",-,-,-,-,"70,000","26,900","26,900",-,"9,900","26,900",-,-,0,0
107,9/30/1996,"94,800","65,800","122,100","76,200","76,200",-,"43,000",-,"2,900","56,300","35,400",-,"19,500","1,300",100,"29,000","17,200","17,200","8,500","1,300",-,-,"7,400",-,-,-,-,-,-,"11,800",-800,"54,400","6,900",-,-,-,"31,600","30,500","30,500",-,-,"1,100",-,-,-,-,"15,900",-,-,-,-,-,-,-,"39,600","13,800","25,800","25,800","25,800","25,800",-,-,-,-,-,"25,800",0.43,0.43,"60,000","60,000","65,000","25,800","25,800",-,"1,000","25,800",-,-,0,0
108,6/30/1996,"90,000","63,500","116,100","72,700","72,700",-,"40,500",-,"2,900","52,600","33,700",-,"17,600","1,300",-,"26,500","15,600","15,600","8,000","1,300",-,-,"6,300",-,-,100,100,-,-,"10,800",-800,"51,400","6,400",-,-,-,"29,900","28,400","28,400",-,-,"1,500",-,-,-,-,"15,100",-,-,-,-,-,-,-,"37,900","12,800","25,100","25,100","25,100","25,100",-,-,-,-,-,"25,100",0.43,0.43,"58,372","58,372","62,700","25,100","25,100",-,"5,700","25,100",-,-,0,0
109,3/31/1996,"86,000","59,900","113,500","67,900","67,900",-,"42,900",-,"2,700","53,600","32,500",-,"20,100","1,000",-,"26,100","15,800","15,800","7,700","1,300",-,-,"6,800",-,-,-,-,-,-,"10,300",-600,"49,800","6,400",-,-,-,"28,500","27,000","27,000",-,-,"1,500",-,-,-,-,"14,900",-,-,-,-,-,-,-,"35,700","12,000","23,700","23,700","23,700","23,700",-,-,-,-,-,"23,700",0.40,0.40,"59,250","59,250","59,300","23,700","23,700",-,"5,300","23,700",-,-,0,0
110,12/31/1995,"84,600","60,000","113,700","67,800","67,800",-,"43,300",-,"2,600","53,700","33,800",-,"24,100",-,-,"24,600","14,600","14,600","7,100","1,200",-,-,"6,300",-,-,-500,-500,-,-,"10,500",-500,"51,000","6,300",-,-,-,"33,300","28,100","28,100",-,-,-,-,-,-,-,"11,400",-,-,-,-,-,-,-,"33,200","10,700","22,500","22,500","22,500","22,500",-,-,-,-,-,"22,500",-,-,-,-,"59,500","22,500","22,500",-,"4,700","22,500",-,-,0,0
111,9/30/1995,"81,800","57,900","113,600","66,300","66,300",-,"44,700",-,"2,600","55,700","34,100",-,"20,000","1,500",100,"23,900","14,600","14,600","7,200","1,000",-,-,"6,400",-,-,500,500,-,-,"8,800",-800,"47,000","6,000",-,-,-,"26,600","26,600","26,600",-,-,-,-,-,-,-,"14,400",-,-,-,-,-,-,-,"34,100","11,800","22,300","22,300","22,300","22,300",-,-,-,-,-,"22,300",0.38,0.38,"58,684","58,684","57,100","22,300","22,300",-,"4,600","22,300",-,-,0,0
112,6/30/1995,"78,000","55,900","105,400","62,700","62,700",-,"40,400",-,"2,300","49,500","31,700",-,"17,400",500,-100,"22,100","14,200","14,200","7,000","1,200",-,-,"6,000",-,-,100,100,-,-,"7,800",-900,"45,900","5,700",-,-,-,"24,900","24,900","24,900",-,-,-,-,-,-,-,"15,300",-,-,-,-,-,-,-,"31,200","10,700","20,500","20,500","20,500","20,500",-,-,-,-,-,"20,500",0.35,0.35,"58,571","58,571","55,000","20,500","20,500",-,"5,500","20,500",-,-,0,0
113,3/31/1995,"69,200","53,200","97,800","63,200","63,200",-,"32,100",-,"2,500","44,600","28,900",-,"13,400","2,300",-,"16,000","13,400","13,400","6,900","1,100",-,-,"5,400",-,-,-100,-100,-,-,"2,700",-600,"44,800","5,700",-,-,-,"23,500","23,500","23,500",-,-,-,-,-,-,-,"15,600",-,-,-,-,-,-,-,"23,800","7,800","16,000","16,000","16,000","16,000",-,-,-,-,-,"16,000",0.27,0.27,"59,259","59,259","52,600","16,000","16,000",-,"3,300","16,000",-,-,0,0
114,12/31/1994,"71,400","53,200","95,100","61,200","58,900","2,300","33,800",-,-,"41,900","26,400",-,"22,600",-,-,"18,200","12,600","12,600","6,500","1,100",-,-,"5,000",-,-,0,0,-,-,"5,600","-1,000","45,700","5,300",-,-,-,"24,600","24,600","24,600",-,-,-,-,-,-,-,"15,800",-,-,-,-,-,-,-,"24,800","7,500","17,300","17,300","17,300","17,300",-,-,-,-,-,"17,300",-,-,-,-,"52,200","17,300","17,300",-,"4,100","17,300",-,-,0,0
115,9/30/1994,"72,000","51,900","95,000","61,200","58,900","2,300","33,800",-,-,"43,100","23,400",-,"16,200","3,500",-,"20,100","12,800","12,800","6,000",900,-,-,"5,900",-,-,100,100,-,-,"7,200",-400,"44,700","5,600",-,-,-,"22,900","22,900","22,900",-,-,-,-,-,-,-,"16,200",-,-,-,-,-,-,-,"26,800","9,100","17,700","17,700","17,700","17,700",-,-,-,-,-,"17,700",0.30,0.30,"59,000","59,000","51,500","17,700","17,700",-,"4,900","17,700",-,-,0,0
116,6/30/1994,"67,200","48,700","86,800","56,200","53,800","2,400","30,500",-,100,"38,100","21,700",-,"13,600","2,700",100,"18,500","12,800","12,800","5,700","1,200",-,-,"5,900",-,-,-200,-200,-,-,"5,900",-500,"42,000","5,000",-,-,-,"22,800","22,800","22,800",-,-,-,-,-,-,-,"14,200",-,-,-,-,-,-,-,"24,700","8,300","16,400","16,400","16,400","16,400",-,-,-,-,-,"16,400",0.28,0.28,"58,571","58,571","48,200","16,400","16,400",-,"4,100","16,400",-,-,0,0
117,3/31/1994,"61,200","44,800","77,200","51,700","49,200","2,500","25,600",-,-100,"32,400","19,400",-,"12,100",900,-,"16,400","12,300","12,300","6,000","1,100",-,-,"5,200",-,-,-200,-200,-,-,"4,300",-300,"42,500","4,800",-,-,-,"23,000","23,000","23,000",-,-,-,-,-,-,-,"14,700",-,-,-,-,-,-,-,"18,400","6,000","12,400","12,400","12,400","12,400",-,-,-,-,-,"12,400",0.22,0.22,"56,364","56,364","44,500","12,400","12,400",-,"4,600","12,400",-,-,0,0
118,12/31/1993,"65,800","43,600","76,400","47,600","45,400","2,200","28,700",-,-,"32,800","18,500",-,"16,200",-,-,"22,200","8,100","8,100","5,800","1,200",-,-,"1,100",-,-,-,-,-,-,"14,100",-600,"41,800","4,800",-,-,-,"22,000","22,000","22,000",-,-,-,-,-,-,-,"15,000",-,-,-,-,-,-,-,"23,400","7,700","15,700","15,700","15,700","15,700",-,0,-,-,-,"15,700",-,-,-,-,"43,000","15,700","15,700",-,"4,700","15,700",-,-,0,0
119,9/30/1993,"59,900","37,900","67,700","43,000","40,500","2,500","24,600",-,100,"29,800","17,300",-,"10,600","1,800",100,"22,000","14,100","14,100","5,600","1,000",-,-,"7,500",-,-,100,100,-,-,"7,800",-400,"39,900","4,100",-,-,-,"21,000","21,000","21,000",-,-,-,-,-,-,-,"14,800",-,-,-,-,-,-,-,"19,700","6,300","13,400","13,400","13,400","13,400",-,-,-,-,-,"13,400",0.27,0.27,"49,630","49,630","37,500","13,400","13,400",-,"4,400","13,400",-,-,0,0
120,6/30/1993,"57,900","39,200","63,200","41,800","39,400","2,400","21,300",-,100,"24,000","17,100",-,"6,900",-,-,"18,700","13,100","13,100","5,600","1,200",-,-,"6,300",-,-,-,-,-,-,"5,600",-200,"35,800","3,400",-,-,-,"18,900","18,900","18,900",-,-,-,-,-,-,-,"13,500",-,-,-,-,-,-,-,"21,900","7,100","14,800","14,800","14,800","14,800",-,-,-,-,-,"14,800",0.30,0.30,"49,333","49,333","39,000","14,800","14,800",-,"4,200","14,800",-,-,0,0
121,3/31/1993,"51,300","36,100","60,500","40,200","37,700","2,500","20,300",-,-,"24,400","17,600",-,"6,800",-,-,"15,200","12,000","12,000","5,300","1,100",-,-,"5,600",-,-,-,-,-,-,"3,200","-1,200","39,000","3,600",-,-,-,"17,300","17,300","17,300",-,-,-,-,-,-,-,"18,100",-,-,-,-,-,-,-,"11,100","3,600","9,100","9,100","9,100","7,500",-,"1,600",-,-,-,"9,100",0.18,0.18,"50,556","50,556","34,900","7,500","7,500",-,"3,700","7,500",-,-,0,0
122,12/31/1992,"57,400","39,200","65,400","44,900","42,200","2,700","20,500",-,0,"26,200","18,600",-,"7,500",-,-,"18,200","12,100","12,100","4,900","1,200",-,-,"6,000",-,-,100,100,-,-,"6,000","-1,600","34,500","3,600",-,-,-,"18,000","18,000","18,000",-,-,-,-,-,-,-,"12,900",-,-,-,-,-,-,-,"21,400","7,000","14,400","14,400","14,400","14,400",-,-,-,-,-,"14,400",-,-,-,-,"37,600","14,400","14,400",-,"11,600","14,400",-,-,0,0
123,9/30/1992,"52,300","37,200","64,000","45,300","42,800","2,500","18,700",-,-,"26,800","20,600",-,"6,200",-,-,"15,100","12,000","12,000","4,800","1,100",-,-,"6,100",-,-,-100,-100,-,-,"3,200","-1,900","32,100","3,600",-,-,-,"16,400","16,400","16,400",-,-,-,-,-,-,-,"12,100",-,-,-,-,-,-,-,"18,200","6,200","12,000","12,000","12,000","12,000",-,-,-,-,-,"12,000",0.24,0.24,"50,000","50,000","35,300","12,000","12,000",-,"1,400","12,000",-,-,0,0
124,6/30/1992,"48,500","35,000","65,200","45,300","42,900","2,400","19,900",-,-,"30,200","23,100",-,"7,100",-,-,"13,500","11,500","11,500","4,600","1,100",-,-,"5,800",-,-,300,300,-,-,"1,700","-2,900","30,900","3,500",-,-,-,"16,100","16,100","16,100",-,-,-,-,-,-,-,"11,300",-,-,-,-,-,-,-,"14,700","5,300","9,400","9,400","9,400","9,400",-,-,-,-,-,"9,400",0.19,0.19,"49,474","49,474","32,100","9,400","9,400",-,"1,400","9,400",-,-,0,0
125,3/31/1992,"49,900","32,100","63,100","43,400","41,000","2,400","19,600",-,100,"31,000","24,500",-,"6,400",-,100,"17,800","10,600","10,600","4,700","1,200",-,-,"4,700",-,-,-,-,-,-,"7,200","-3,900","35,600","3,600",-,-,-,"15,500","15,500","15,500",-,-,-,-,-,-,-,"16,500",-,-,-,-,-,-,-,"10,300","2,700","7,600","7,600","7,600","7,600",-,-,-,-,-,"7,600",0.16,0.16,"47,500","47,500","28,200","7,600","7,600",-,"1,400","7,600",-,-,0,0
126,12/31/1991,"50,300","33,800","70,400","46,100","43,600","2,500","15,400","8,900",0,"36,600","28,400",-,"8,200",-,-,"16,500","12,300","12,300","4,700","1,200",-,-,"6,400",-,-,300,300,-,-,"3,900","-5,300","35,400","3,500",-,-,-,"15,200","15,200","15,200",-,-,-,-,-,-,-,"16,700",-,-,-,-,-,-,-,"9,700","1,700","8,000","8,000","8,000","8,000",-,-,-,-,-,"8,000",-,-,-,-,"28,500","8,000","8,000","8,900","1,300","8,000",-,-,0,0
127,9/30/1991,"47,900","33,400","71,500","48,500","46,000","2,500","13,100","9,800",100,"38,100","30,300",-,"7,800",-,-,"14,500","12,600","12,600","4,400","1,000",-,-,"7,200",-,-,-,-,-,-,"1,900","-6,400","30,400","3,300",-,-,-,"14,500","14,500","14,500",-,-,-,-,-,-,-,"12,600",-,-,-,-,-,-,-,"10,900","3,800","7,100","7,100","7,100","7,100",-,-,-,-,-,"7,100",0.15,0.15,"47,333","47,333","27,000","7,100","7,100","9,800","1,400","7,100",-,-,0,0
128,6/30/1991,"46,400","31,700","69,300","46,500","44,100","2,400","12,900","9,800",100,"37,600","29,900",-,"7,700",-,-,"14,700","11,500","11,500","4,200","1,000",-,-,"6,300",-,-,-,-,-,-,"3,200","-5,000","30,300","3,100",-,-,-,"14,500","14,500","14,500",-,-,-,-,-,-,-,"12,700",-,-,-,-,-,-,-,"11,100","3,900","7,200","7,200","7,200","7,200",-,-,-,-,-,"7,200",0.15,0.15,"48,000","48,000","26,700","7,200","7,200","9,800","1,300","7,200",-,-,0,0
129,3/31/1991,"45,800","32,600","74,500","46,700","44,200","2,500","13,600","14,200",-,"41,900","30,000",-,"11,900",-,-,"13,200","10,900","10,900","4,000","1,000",-,-,"5,900",-,-,100,100,-,-,"2,200","-6,800","28,600","3,600",-,-,-,"14,300","14,300","14,300",-,-,-,-,-,-,-,"10,700",-,-,-,-,-,-,-,"10,400","3,600","6,800","6,800","6,800","6,800",-,-,-,-,-,"6,800",0.14,0.14,"48,571","48,571","25,800","6,800","6,800","14,200","1,300","6,800",-,-,0,0
130,12/31/1990,"47,800","25,700","68,700","44,000","41,600","2,400","12,700","12,100",-,"43,000","32,800",-,"10,200",-,-,"22,100","12,900","12,900","4,200","1,100",-,-,"7,600",-,-,-800,-800,-,-,"10,000","-4,500","31,000","3,300",-,-,-,"15,200","15,200","15,200",-,-,-,-,-,-,-,"12,500",-,-,-,-,-,-,-,"12,100","4,400","7,700","7,700","7,700","7,700",-,-,-,-,-,"7,700",-,-,-,-,"21,200","7,700","7,700","12,100","1,400","7,700",-,-,0,0
131,9/30/1990,"44,900","34,000","76,000","53,800","51,500","2,300","11,000","11,200",-,"42,000","33,600",-,"8,300",-,100,"10,900","8,700","8,700","4,000","1,100",-,-,"3,600",-,-,-100,-100,-,-,"2,300","-4,300","30,700","3,300",-,-,-,"13,900","13,900","13,900",-,-,-,-,-,-,-,"13,500",-,-,-,-,-,-,-,"9,900","3,100","6,800","6,800","6,800","6,800",-,-,-,-,-,"6,800",0.14,0.14,"48,571","48,571","29,700","6,800","6,800","11,200","1,300","6,800",-,-,0,0
132,6/30/1990,"44,600","32,200","74,000","50,500","48,700","1,800","11,600","11,800",100,"41,800","33,500",-,"8,300",-,-,"12,400","8,000","8,000","3,700","1,000",-,-,"3,300",-,-,-,-,-,-,"4,400","-4,500","31,900","3,200",-,-,-,"14,000","14,000","14,000",-,-,-,-,-,-,-,"14,700",-,-,-,-,-,-,-,"8,200","2,100","6,100","6,100","6,100","6,100",-,-,-,-,-,"6,100",0.13,0.13,"46,923","46,923","27,700","6,100","6,100","11,800","1,400","6,100",-,-,0,0
133,3/31/1990,"41,000","29,300","68,700","48,100","46,300","1,800","10,700","9,900",-,"39,400","31,800",-,"7,600",-,-,"11,700","7,300","7,300","3,600",900,-,-,"2,800",-,-,-,-,-,-,"4,400","-4,700","28,300","3,300",-,-,-,"13,200","13,200","13,200",-,-,-,-,-,-,-,"11,800",-,-,-,-,-,-,-,"8,000","2,000","6,000","6,000","6,000","6,000",-,-,-,-,-,"6,000",0.13,0.13,"46,154","46,154","24,600","6,000","6,000","9,900","1,300","6,000",-,-,0,0
134,12/31/1989,"41,500","30,700","71,900","50,200","49,200","1,000","10,800","10,900",-,"41,200","31,900",-,"9,100",-,200,"10,800","11,200","11,200","3,600",-,-,-,"3,400",-,-,-,-,-,-,-400,"-5,300","29,400","3,300",-,-,-,"13,700","13,700","13,700",-,-,-,-,-,-,-,"12,400",-,-,-,-,-,-,-,"6,900","2,400","6,300","6,300","6,300","4,500",-,-,"1,800",-,-,"6,300",-,-,-,-,"25,400","4,500","4,500","10,900","1,400","4,500",-,-,0,0
135,9/30/1989,"40,600","30,700","71,100","51,600","49,700","1,900","9,600","9,800",100,"40,400","32,400",-,"8,000",-,-,"9,900","6,600","6,600","3,600",-,-,-,"3,000",-,-,-100,-100,-,-,"3,400","-7,900","27,000","3,200",-,-,-,"12,200","12,200","12,200",-,-,-,-,-,-,-,"11,600",-,-,-,-,-,-,-,"5,700","1,500","5,400","5,400","5,400","4,200",-,-,"1,200",-,-,"5,400",0.12,0.12,"45,000","45,000","22,800","4,200","4,200","9,800","1,300","4,200",-,-,0,0
136,6/30/1989,"40,200","30,100","71,200","51,700","49,900","1,800","10,000","9,500",-,"41,100","33,200",-,"7,900",-,-,"10,100","6,100","6,100","3,200",-,-,-,"2,900",-,-,300,300,-,-,"3,700","-7,900","27,900","3,200",-,-,-,"12,000","12,000","12,000",-,-,-,-,-,-,-,"12,700",-,-,-,-,-,-,-,"4,300","1,000","4,100","4,100","4,100","3,300",-,-,800,-,-,"4,100",0.09,0.09,"45,556","45,556","22,200","3,300","3,300","9,500",-,"3,300",-,-,0,0
137,3/31/1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,900","1,900",-,-,-,-,-,-,0.04,0.04,"47,048","47,048",-,-,-,-,-,-,-,-,-,-
138,12/31/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-12,300","-12,300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
139,9/30/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-8,400","-8,400",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,6/30/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-400,-400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
141,3/31/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,200","3,200",-,-,-,-,-,-,0.07,0.07,"47,040","47,040",-,-,-,-,-,-,-,-,-,-
142,12/31/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-6,700","-6,700",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
143,9/30/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,200","4,200",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
144,6/30/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-16,400","-16,400",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,3/31/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,500","4,500",-,-,-,-,-,-,0.10,0.10,"45,624","45,624",-,-,-,-,-,-,-,-,-,-
146,12/31/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,600","3,600",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147,9/30/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,200","5,200",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,6/30/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,300","5,300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
149,3/31/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,600","6,600",-,-,-,-,-,-,0.14,0.14,"45,680","45,680",-,-,-,-,-,-,-,-,-,-
150,12/31/1985,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,400","7,400",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
151,9/30/1985,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,000","7,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
