,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Pension And Employee Benefit Expense,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Amortization of Securities,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Other Current Assets,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
10,12/31/2013,"3,517,000","3,517,000","2,470,000","-123,000",0,"8,000",-,"18,000",-,"-144,000","334,000","334,000","334,000","322,000","322,000","-110,000",-,-,-,"59,000","1,086,000","-521,000",-,-,"-269,000","-269,000","-252,000","-3,163,000","-3,163,000","1,011,000","-441,000","1,452,000","-3,915,000",0,"-3,915,000","-231,000","-231,000",0,0,0,-,"-28,000","3,616,000","3,616,000","2,525,000","2,756,000","6,394,000","-3,638,000","-231,000",-,"-1,283,000","13,000","-1,296,000",0,0,-,"-399,000",-,"-9,000","6,554,000","3,970,000",-,"2,584,000","1,348,000","975,000","-231,000","13,000","6,394,000","-3,638,000","-1,296,000","3,286,000"
11,11/30/2012,"3,041,000","3,041,000","2,345,000","-119,000",0,0,-,"11,000",-,"-104,000","267,000","267,000","267,000","146,000","146,000","-730,000",-,-,-,"47,000","848,000","237,000",-,-,"349,000","349,000","-112,000","-5,693,000","-5,693,000","-138,000","-1,932,000","1,794,000","-3,816,000","269,000","-4,085,000","-143,000","-144,000","1,000","-49,000","-49,000",-,"-1,547,000","3,728,000","3,728,000","2,319,000","2,085,000","5,850,000","-3,765,000","234,000",-,"-1,190,000","26,000","-1,216,000","560,000","560,000",0,"-209,000",0,"-291,000","3,926,000","1,076,000",-,"2,850,000","1,301,000","1,203,000","-144,000","586,000","5,850,000","-3,765,000","-1,216,000","2,897,000"
12,11/30/2011,"3,609,615","3,609,615","2,226,708",684,"-6,835","3,242","8,923","5,301",-,"-4,646","20,073","20,073",-,"232,013","232,013","-254,654",-,"-254,654",-,"43,777","1,013,350","327,664",-,-,"349,602","349,602","-21,938","-8,121,550","-8,121,550","-761,378","-2,511,075","1,749,697","-3,969,555",-,"-3,969,555","-108,547","-111,560","3,013","-401,158","-401,158",-,"-2,880,912","2,263,045","2,263,045","-2,357,138","-2,407,138","3,700,000","-6,107,138","50,000","50,000","-412,150","22,646","-434,796",0,0,0,"-109,573",0,-,"2,849,843","-2,248,890",-,"5,098,733","906,112","1,342,429","-111,560","22,646","3,700,000","-6,107,138","-434,796","3,498,055"
13,11/30/2010,"3,872,586","3,872,586","764,788","6,131",0,"1,955","-19,131",-,0,"23,307","172,005","172,005",-,"112,581","112,581","-194,081",-,"-194,567",-,"37,081","3,206,705","-232,624",0,0,"-31,519","-31,519","-201,105","-4,722,952","-4,722,952","-2,097,800","-5,661,855","3,564,055","-3,089,034",0,"-3,089,034","-54,431","-54,676",245,0,0,0,"518,313","-7,071,620","-7,071,620","-7,143,013","-7,143,013","2,803,427","-9,946,440",0,-,"-6,918","1,323","-8,241","-1,224,558",-,"-1,224,558","-845,431","-172,000","-172,000","5,098,733","-7,921,986",0,"13,020,719","169,045","1,452,051","-54,676","1,323","2,803,427","-9,946,440","-1,232,799","3,817,910"
14,11/30/2009,"3,597,892","3,597,892","1,276,185","15,675",0,"6,436","9,239",-,0,-,"203,492","203,492",-,"-61,995","-61,995","-133,384",-,"-133,384",-,"44,249","2,362,405","-108,735","541,549","541,549","-545,560","-545,560","436,825","-6,160,780","-6,160,780","-1,603,949","-2,954,949","1,351,000","-3,860,976","3,542,850","-7,403,826","-52,544","-53,793","1,249",0,0,-,"-643,311","5,412,464","5,412,464","193,983","693,983","1,098,194","-404,211","-500,000","-500,000","522,437","533,822","-11,385","1,224,558","1,224,558",-,"-101,034",-,-,"13,020,719","2,849,576",0,"10,171,143","913,988","1,266,427","-53,793","1,758,380","1,098,194","-404,211","-11,385","3,544,099"
15,11/30/2008,"4,504,159","4,504,159","927,750","177,097","165,694",-,"50,294",-,"-38,891",-,"231,398","231,398",-,"-262,354","-262,354","-84,174",-,-,0,"92,558","1,615,625","1,806,259",-,-,"1,172,768","1,172,768","633,491","-6,130,962","-6,130,962","-82,121","-119,321","37,200","-5,864,560","5,562,195","-11,426,755","-93,532","-93,532",-,"-90,749","-160,278","69,529","-5,864,560","3,035,443","3,035,443","-656,920","-397,606",-,"-397,606","-259,314",-,"-6,838",-,"-6,838",-,-,-,"-116,956",-,-,"10,171,143","1,408,640","-24,592","8,787,095","670,763","1,305,554","-93,532",-,-,"-397,606","-6,838","4,410,627"
16,11/30/2007,"2,038,025","2,038,025","588,630","117,414",-,-,"11,404",-,-,"106,010","257,131","257,131",-,"-218,215","-218,215","-124,747",-,-,"391,119","35,710","950,165","40,818",-,-,"90,955","90,955","-50,137","-1,595,145","-1,595,145","-142,519","-153,075","10,556","-1,329,361","8,434,488","-9,763,849","-118,265","-118,265",-,"-5,000","-5,000",-,"-9,763,849","7,458,993","7,458,993","-3,278,920","616,680","2,102,951","-1,486,271","-3,895,600",-,"271,719","273,138","-1,419",-,-,-,"-879,146",-,"273,138","8,787,095","7,901,873","10,865","874,357","531,253","1,233,366","-118,265","273,138","2,102,951","-1,486,271","-1,419","1,919,760"
17,11/30/2006,"1,720,787","1,720,787","1,076,616","213,545",-,-,-,-,-,"213,545","222,798","222,798",-,"76,285","76,285","-241,208",-,"-26,150",-,-,"755,637","-382,886","-377,273",-,"46,929","46,929","-429,815","-2,023,830","-2,023,830","-66,103","-73,055","6,952","110,915","8,949,961","-8,839,046","-144,151","-144,151",-,"-1,924,491","-1,924,491",-,"8,949,961","621,255","621,255","3,851,978","593,070","638,691","-45,621","3,258,908",-,-,-,-,-,-,-,"-500,000",-,-,"874,357","318,212",663,"555,482","519,717","992,575","-144,151",-,"638,691","-45,621",-,"1,576,636"
18,11/30/2005,"1,636,074","1,636,074","577,915","124,739",-,-,-,-,-,"124,739","214,311","214,311",-,"-43,608","-43,608","-151,094",-,"-28,998",-,0,"878,486","35,325","91,106",-,"-21,899","-21,899","57,224","-4,309,817","-4,309,817","-5,107","-10,529","5,422","-3,883,321","7,324,055","-11,207,376","-97,963","-97,963",-,"-323,426","-323,426",-,"7,324,055","2,426,196","2,426,196","-701,415","-321,242",-,"-321,242","-380,173",-,0,-,0,-,-,-,0,-,-,"555,482","-247,547","-1,583","804,612","437,158","710,748","-97,963",-,-,"-321,242",0,"1,538,111"
19,11/30/2004,"1,587,959","1,587,959","776,253","245,592",-,-,-,-,-,"245,592","193,130","193,130",-,"-25,367","-25,367","-244,456",-,"-31,951",-,-,"925,549","-282,742","127,269",-,"-516,559","-516,559","233,817","-1,763,234","-1,763,234",-643,"-6,283","5,640","-1,663,879","3,714,735","-5,378,614","-98,712","-98,712",-,0,-,-,"3,714,735","-278,466","-278,466","-286,478","236,428","340,879","-104,451","-522,906",-,-,-,-,-,-,-,"-637,000",-,-,"804,612","-453,741","3,496","1,254,857","481,675","655,268","-98,712",-,"340,879","-104,451",-,"1,489,247"
20,11/30/2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,266,113",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
