,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Other Current Assets,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Decrease in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Net Other Financing Charges,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"-6,327,000","-6,327,000","27,528,000","-32,000","-32,000","1,978,000","1,978,000",-,-,-,"739,000","739,000","7,927,000","2,072,000",-,"2,862,000","2,543,000","-51,944,000","23,029,000","23,029,000","20,799,000","-95,772,000","-2,529,000","-2,529,000","-16,854,000","-115,000",-,"84,103,000","-159,058,000","243,161,000",-,-,"-65,051,000","26,757,000","-91,808,000",-,-,-,-,-,"-4,612,000","-106,039,000","-106,039,000","3,306,000","35,034,000","31,855,000","65,910,000","-34,055,000","3,179,000",-,"-5,073,000",-,"-5,073,000","3,772,000","4,426,000","-654,000","-8,576,000",-,"-312,000","230,203,000","-114,895,000","-3,123,000","348,221,000",-,"2,288,000","18,526,000",-,"4,426,000","65,910,000","-34,055,000","-5,727,000","-6,327,000"
1,3/31/2023,"-11,300,000","-11,300,000","8,161,000","210,000","210,000","503,000","503,000",-,-,-,"-169,000","-169,000","2,105,000","34,000",-,"794,000","931,000","-23,869,000","-7,066,000","-7,066,000","-16,078,000","-725,000","30,846,000","30,846,000","-30,504,000","-4,512,000",-,"69,478,000","-19,142,000","88,620,000",-,-,"-1,661,000","2,168,000","-3,829,000",-,-,-,-,-,"-1,955,000","126,121,000","126,121,000","118,745,000","32,610,000","2,978,000","14,319,000","-11,341,000","29,632,000",-,"-2,215,000",-,"-2,215,000",0,0,-,"-2,352,000",-,"-728,000","376,218,000","145,667,000","348,000","230,203,000",-,-,-,-,0,"14,319,000","-11,341,000","-2,215,000","-11,300,000"
2,12/31/2022,"30,998,000","30,998,000","7,132,000","5,000","5,000","502,000","502,000",-,-,-,"119,000","119,000","-1,575,000","210,000",-,"627,000","1,092,000","22,886,000","-840,000","-840,000","13,176,000","10,550,000","14,380,000","14,380,000","7,673,000","190,000",-,"19,800,000","-20,972,000","40,772,000",-,-,"-11,710,000","6,213,000","-17,923,000",-,-,-,-,-,"-1,573,000","-24,385,000","-24,385,000","-19,992,000","6,931,000","1,043,000","10,708,000","-9,665,000","5,888,000",-,"-998,000",-,"-998,000","-654,000",0,"-654,000","-2,105,000",-,"189,000","230,203,000","20,993,000","4,234,000","204,976,000",-,-,-,-,0,"10,708,000","-9,665,000","-1,652,000","30,998,000"
3,9/30/2022,"13,154,000","13,154,000","7,082,000","-15,000","-15,000","491,000","491,000",-,-,-,"534,000","534,000","307,000","373,000",-,"704,000","898,000","2,780,000","9,619,000","9,619,000","8,220,000","-15,059,000","34,761,000","34,761,000","-2,817,000","-608,000",-,"41,220,000","-21,803,000","63,023,000",-,-,"-2,127,000","8,623,000","-10,750,000",-,-,-,-,-,"-907,000","-37,889,000","-37,889,000","11,320,000","-364,000","6,478,000","14,521,000","-8,043,000","-6,842,000",-,"-450,000",-,"-450,000",0,0,0,"-2,254,000",-,"111,000","204,976,000","10,026,000","-3,052,000","198,002,000",-,-,-,-,0,"14,521,000","-8,043,000","-450,000","13,154,000"
4,6/30/2022,"-5,049,000","-5,049,000","6,247,000","-15,000","-15,000","491,000","491,000",-,-,-,"39,000","39,000","3,905,000","584,000",-,"792,000","523,000","-17,615,000","-5,570,000","-5,570,000","14,279,000","-26,324,000","16,738,000","16,738,000","29,678,000","-1,196,000",-,"24,852,000","-61,023,000","85,875,000",-,-,"-35,439,000","9,879,000","-45,318,000",-,-,-,-,-,"-1,157,000","-84,651,000","-84,651,000","-10,378,000","14,549,000","11,452,000","19,558,000","-8,106,000","3,097,000",-,"-975,000",-,"-975,000","1,997,000","1,997,000",0,"-1,995,000",-,"211,000","198,002,000","-72,962,000","-2,970,000","273,934,000",-,-,-,-,"1,997,000","19,558,000","-8,106,000","-975,000","-5,049,000"
5,3/31/2022,"-45,430,000","-45,430,000","7,067,000","-7,000","-7,000","494,000","494,000",-,-,-,"47,000","47,000","5,290,000","905,000",-,"739,000","30,000","-59,995,000","19,820,000","19,820,000","-14,876,000","-64,939,000","-68,408,000","-68,408,000","-51,388,000","1,499,000",-,"-1,769,000","-55,260,000","53,491,000",-,-,"-15,775,000","2,042,000","-17,817,000",-,-,-,-,-,"-975,000","40,886,000","40,886,000","22,356,000","13,918,000","12,882,000","21,123,000","-8,241,000","1,036,000",-,"-2,650,000",-,"-2,650,000","2,429,000","2,429,000",0,"-2,222,000",-,"-823,000","273,934,000","-72,952,000","-1,335,000","348,221,000",-,-,-,-,"2,429,000","21,123,000","-8,241,000","-2,650,000","-45,430,000"
6,12/31/2021,"44,651,000","44,651,000","7,013,000","-18,000","-18,000","495,000","495,000",-,-,-,"313,000","313,000","-5,717,000","1,303,000",-,"737,000","-489,000","41,014,000","7,926,000","7,926,000","-118,000","33,206,000","-58,907,000","-58,907,000","11,214,000","-626,000",-,"-17,121,000","-86,192,000","69,071,000",-,-,"-51,345,000","2,629,000","-53,974,000",-,-,-,-,-,"-1,029,000","83,040,000","83,040,000","-15,099,000","6,652,000","3,177,000","11,216,000","-8,039,000","3,475,000",-,"-7,533,000",-,"-7,533,000","1,267,000","1,267,000",0,"-1,965,000",-,"76,000","348,221,000","68,784,000","-417,000","279,854,000",-,-,-,-,"1,267,000","11,216,000","-8,039,000","-7,533,000","44,651,000"
7,9/30/2021,"9,795,000","9,795,000","7,691,000",-,"-4,000","473,000","473,000",-,-,-,"306,000","306,000","-1,254,000","1,421,000",-,"568,000","-624,000","1,218,000","6,413,000","6,413,000","-8,257,000","3,062,000","-32,698,000","-32,698,000","6,660,000","838,000",-,"-30,394,000","-110,340,000","79,946,000",-,-,"-9,001,000","-1,869,000","-7,132,000",-,-,-,-,-,"-801,000","43,663,000","43,663,000","-6,359,000","6,378,000","7,735,000","17,282,000","-9,547,000","-1,357,000",-,"-9,914,000",-,"-9,914,000",0,0,0,"-2,145,000",-,"41,000","279,854,000","20,760,000","-936,000","260,030,000",-,-,-,-,0,"17,282,000","-9,547,000","-9,914,000","9,795,000"
8,6/30/2021,"-9,311,000","-9,311,000","9,224,000",-,0,"469,000","469,000",-,-,-,"-2,023,000","-2,023,000","-448,000","1,583,000",-,"610,000","-1,621,000","-17,105,000","-9,886,000","-9,886,000","-2,603,000","-4,616,000","-108,606,000","-108,606,000","-9,447,000","503,000",-,"-82,524,000","-155,597,000","73,073,000",-,-,"-16,256,000","-15,212,000","-1,044,000",-,-,-,-,-,"-882,000","51,320,000","51,320,000","14,344,000","19,707,000","19,796,000","35,045,000","-15,249,000","-89,000",-,"-4,209,000",-,"-4,209,000","-878,000",0,"-878,000","-1,831,000",-,"-17,000","260,030,000","-66,597,000","526,000","326,101,000",-,-,-,-,0,"35,045,000","-15,249,000","-5,087,000","-9,311,000"
9,3/31/2021,"-52,328,000","-52,328,000","8,050,000",-,0,"461,000","461,000","461,000",-,-,"566,000","566,000","3,119,000","1,530,000",-,"853,000","-1,860,000","-65,047,000","12,186,000","12,186,000","-23,477,000","-53,756,000","-113,080,000","-113,080,000","44,911,000","-1,313,000",-,"-179,706,000","-249,005,000","69,299,000",-,-,"23,795,000","24,848,000","-1,053,000",-,-,-,-,-,"-767,000","113,627,000","113,627,000","29,120,000","1,544,000","-859,000","13,132,000","-13,991,000","2,403,000",-,"-3,470,000",-,"-3,470,000","-191,000","902,000","-1,093,000","-2,114,000",-,"-720,000","326,101,000","-51,781,000","-2,581,000","380,463,000",-,-,-,-,"902,000","13,132,000","-13,991,000","-4,563,000","-52,328,000"
10,12/31/2020,"54,594,000","54,594,000","5,470,000","-32,000","-32,000","487,000","487,000",-,-,-,"257,000","257,000","-3,290,000","1,465,000",-,"434,000","53,000","49,750,000","5,110,000","5,110,000","2,195,000","42,445,000","-53,882,000","-53,882,000","22,687,000","-1,458,000",-,"-100,909,000","-176,797,000","75,888,000",-,-,"26,814,000","28,071,000","-1,257,000",-,-,-,-,-,"-1,016,000","77,938,000","77,938,000","-20,446,000","6,790,000","5,330,000","16,155,000","-10,825,000","1,460,000",-,"-263,000",-,"-263,000","1,083,000","1,083,000",0,"-1,828,000",-,"2,000","380,463,000","78,650,000","807,000","301,006,000",-,-,-,-,"1,083,000","16,155,000","-10,825,000","-263,000","54,594,000"
11,9/30/2020,"-32,638,000","-32,638,000","4,881,000","-2,000","-2,000","476,000","476,000","476,000",-,-,"-1,308,000","-1,308,000","2,589,000","1,272,000",-,"520,000","1,389,000","-42,455,000","-198,000","-198,000","-15,689,000","-26,568,000","54,977,000","54,977,000","124,434,000","983,000",-,"-112,741,000","-209,372,000","96,631,000",-,-,"42,788,000","13,733,000","29,055,000",-,-,-,-,-,"-487,000","-12,398,000","-12,398,000","11,745,000","-6,230,000","-6,093,000","10,154,000","-16,247,000","-137,000",-,"-114,000",-,"-114,000",0,0,0,"-1,983,000",-,"-30,000","301,006,000","9,941,000","1,719,000","289,346,000",-,-,-,-,0,"10,154,000","-16,247,000","-114,000","-32,638,000"
12,6/30/2020,"-3,006,000","-3,006,000","3,533,000","-62,000","-62,000","448,000","448,000",-,-,-,"-457,000","-457,000","2,625,000","882,000",-,"534,000","5,117,000","-15,626,000","-8,709,000","-8,709,000","21,633,000","-28,550,000","-88,349,000","-88,349,000","-149,210,000","6,212,000",-,"10,326,000","-40,980,000","51,306,000",-,-,"44,690,000","6,068,000","38,622,000",-,-,-,-,-,"-367,000","129,132,000","129,132,000","8,981,000","-13,177,000","-1,057,000","11,976,000","-13,033,000","-12,120,000",-,"-286,000",-,"-286,000",0,0,0,"-1,833,000","-1,833,000","106,000","289,346,000","37,777,000","1,179,000","250,390,000",-,-,-,-,0,"11,976,000","-13,033,000","-286,000","-3,006,000"
13,3/31/2020,"19,043,000","19,043,000","4,010,000","-315,000","-315,000","432,000","432,000",-,-,-,"-229,000","-229,000","1,354,000","482,000",-,"543,000","4,761,000","8,005,000","-588,000","-588,000","-21,022,000","29,615,000","-90,411,000","-90,411,000","-27,372,000","-5,176,000",-,"13,355,000","-25,263,000","38,618,000",-,-,"-69,599,000","2,050,000","-71,649,000",-,-,-,-,-,"-1,619,000","161,147,000","161,147,000","4,934,000","16,789,000","10,885,000","18,728,000","-7,843,000","5,904,000",-,"-6,362,000",-,"-6,362,000","26,000","1,098,000","-1,072,000","-2,083,000","-2,083,000","-679,000","250,390,000","89,779,000","-949,000","161,560,000",-,-,-,-,"1,098,000","18,728,000","-7,843,000","-7,434,000","19,043,000"
14,12/31/2019,"59,103,000","59,103,000","6,994,000","-101,000","-101,000","439,000","439,000",-,-,-,"646,000","646,000","1,907,000","647,000",-,"479,000","941,000","47,151,000","20,416,000","20,416,000","-11,726,000","38,461,000","-43,279,000","-43,279,000","-3,002,000","450,000",-,"-28,069,000","-69,414,000","41,345,000",-,-,"-11,872,000","2,444,000","-14,316,000",-,-,-,-,-,"-786,000","-11,866,000","-11,866,000","-36,958,000","-7,170,000","-681,000","7,271,000","-7,952,000","-6,489,000",-,"-7,748,000",-,"-7,748,000","-205,000",0,"-205,000","-1,848,000","-1,848,000","96,000","161,560,000","3,958,000","508,000","157,094,000",-,-,-,-,0,"7,271,000","-7,952,000","-7,953,000","59,103,000"
15,9/30/2019,"-5,702,000","-5,702,000","5,777,000","2,071,000","-1,000","438,000","438,000","493,000",-,-,"295,000","295,000","-3,392,000","609,000",-,"510,000","779,000","-12,789,000","1,810,000","1,810,000","-1,792,000","-12,807,000","-30,133,000","-30,133,000","-23,518,000","1,135,000",-,"2,634,000","-27,316,000","29,950,000",-,-,"-9,523,000","3,913,000","-13,436,000",-,-,-,-,-,"-861,000","22,828,000","22,828,000","7,119,000","7,100,000","3,662,000","12,656,000","-8,994,000","3,438,000",-,"-7,626,000",-,"-7,626,000","-1,083,000","1,280,000","-2,363,000","-464,000","-464,000","39,000","157,094,000","-13,007,000","-1,293,000","171,394,000",-,-,-,-,"1,280,000","12,656,000","-8,994,000","-9,989,000","-5,702,000"
16,6/30/2019,"-6,725,000","-6,725,000","7,348,000","-109,000","-109,000","434,000","434,000","405,000","29,000","29,000","731,000","731,000","1,383,000","448,000",-,"481,000","857,000","-18,298,000","-5,517,000","-5,517,000","-1,590,000","-11,191,000","-2,451,000","-2,451,000","18,940,000","788,000",-,"-2,451,000","-41,723,000","39,272,000",-,-,"-19,068,000","2,892,000","-21,960,000",-,-,-,-,-,"-660,000","7,923,000","7,923,000","6,497,000","11,457,000","-1,779,000","17,777,000","-19,556,000","13,236,000",-,"-6,507,000",-,"-6,507,000","2,363,000","2,363,000",-,"-1,696,000","-1,696,000","53,000","171,394,000","-1,253,000","1,024,000","171,623,000",-,-,-,-,"2,363,000","17,777,000","-19,556,000","-6,507,000","-6,725,000"
17,3/31/2019,"15,101,000","15,101,000","7,311,000","-6,000","-6,000","418,000","418,000","392,000","26,000","26,000","763,000","763,000","7,630,000","362,000",-,"504,000","1,013,000","-2,894,000","-346,000","-346,000","3,995,000","-6,543,000","-4,767,000","-4,767,000","-5,886,000","-1,986,000",-,"3,879,000","-51,444,000","55,323,000",-,-,"-107,000","2,952,000","-3,059,000",-,-,-,-,-,"-667,000","-15,508,000","-15,508,000","1,463,000","-5,757,000","424,000","14,716,000","-14,292,000","-6,181,000",-,"-6,263,000",-,"-6,263,000",0,0,-,"-1,926,000","-1,926,000","-886,000","171,623,000","-5,174,000","-607,000","177,404,000",-,-,-,-,0,"14,716,000","-14,292,000","-6,263,000","15,101,000"
18,12/31/2018,"-13,922,000","-13,922,000","7,278,000","-78,000","-78,000","524,000","524,000","390,000","134,000","134,000","196,000","196,000","-6,256,000","413,000",-,"406,000","905,000","-17,310,000","-5,256,000","-5,256,000","-1,728,000","-10,326,000","-24,317,000","-24,317,000","-12,894,000","371,000",-,"6,843,000","-22,482,000","29,325,000",-,-,"-18,401,000","7,765,000","-26,166,000",-,-,-,-,-,"-236,000","30,556,000","30,556,000","15,383,000","-13,671,000","-4,824,000","3,405,000","-8,229,000","-8,847,000",-,"-5,231,000",-,"-5,231,000",0,0,0,"-1,745,000","-1,745,000","-7,000","177,404,000","-7,683,000","229,000","184,858,000",-,-,-,-,0,"3,405,000","-8,229,000","-5,231,000","-13,922,000"
19,9/30/2018,"19,606,000","19,606,000","7,167,000","-73,000","-73,000","515,000","515,000","380,000","135,000","135,000","1,063,000","1,063,000","-812,000","502,000",-,"446,000","716,000","10,082,000","17,867,000","17,867,000","4,267,000","-12,052,000","-26,282,000","-26,282,000","-21,751,000","347,000",-,"-9,960,000","-36,266,000","26,306,000",-,-,"5,084,000","6,428,000","-1,344,000",-,-,-,-,-,"-2,000","21,045,000","21,045,000","-6,309,000","-693,000","10,894,000","18,447,000","-7,553,000","-11,587,000",-,"-5,040,000",-,"-5,040,000","-855,000","844,000","-1,699,000","-1,905,000","-1,905,000","-111,000","184,858,000","14,369,000","-710,000","171,199,000",-,-,-,-,"844,000","18,447,000","-7,553,000","-6,739,000","19,606,000"
20,6/30/2018,"-6,518,000","-6,518,000","6,784,000","-1,000","-1,000","513,000","513,000","379,000","134,000","134,000","978,000","978,000","1,226,000","434,000",-,"462,000","827,000","-17,741,000","1,213,000","1,213,000","-1,852,000","-17,102,000","1,980,000","1,980,000","18,144,000","-143,000",-,"-13,954,000","-37,243,000","23,289,000",-,-,"-1,124,000","4,488,000","-5,612,000",-,-,-,-,-,"-943,000","-27,085,000","-27,085,000","-630,000","354,000","-2,195,000","21,492,000","-23,687,000","2,549,000",-,"-4,965,000",-,"-4,965,000","-1,491,000","1,322,000",-,"-1,571,000","-1,571,000","191,000","171,199,000","-31,623,000","-1,419,000","204,241,000",-,-,-,-,"1,322,000","21,492,000","-23,687,000","-7,778,000","-6,518,000"
21,3/31/2018,"40,354,000","40,354,000","6,918,000","-2,000","-2,000","511,000","511,000","376,000","135,000","135,000","804,000","804,000","4,173,000","475,000",-,"415,000","834,000","26,226,000","-814,000","-814,000","11,233,000","15,807,000","-22,849,000","-22,849,000","-31,883,000","3,084,000",-,"6,870,000","-16,629,000","23,499,000",-,-,"-115,000","2,684,000","-2,799,000",-,-,-,-,-,"-805,000","28,602,000","28,602,000","1,626,000","12,764,000","7,357,000","20,934,000","-13,577,000","5,407,000",-,"-4,858,000",-,"-4,858,000","2,349,000","2,349,000",-,"-1,674,000","-1,674,000","-724,000","204,241,000","46,107,000","700,000","157,434,000",-,-,-,-,"2,349,000","20,934,000","-13,577,000","-4,858,000","40,354,000"
22,12/31/2017,"-7,048,000","-7,048,000","2,520,000","23,000","23,000","515,000","515,000","367,000","148,000","148,000","3,132,000","3,132,000","3,646,000","604,000",-,"184,000","1,001,000","-18,673,000","-6,528,000","-6,528,000","-10,050,000","-2,095,000","-11,968,000","-11,968,000","4,467,000","-1,660,000",-,"-3,837,000","-39,298,000","35,461,000",-,-,"-10,667,000","3,118,000","-13,785,000",-,-,-,-,-,"-271,000","3,842,000","3,842,000","-12,963,000","-2,090,000","-2,045,000","2,784,000","-4,829,000","-45,000",-,"-4,869,000",-,"-4,869,000",-,-,-,"-1,576,000","-1,576,000","212,000","157,434,000","-15,174,000","227,000","172,381,000",-,-,-,-,-,"2,784,000","-4,829,000","-4,869,000","-7,048,000"
23,9/30/2017,"20,471,000","20,471,000","5,587,000","-125,000","-125,000","523,000","523,000","372,000","151,000","151,000","1,709,000","1,709,000","-5,343,000","582,000",-,"201,000","834,000","16,503,000","6,751,000","6,751,000","-2,230,000","11,982,000","-15,866,000","-15,866,000","-13,000","659,000",-,"-3,063,000","-55,642,000","52,579,000",-,-,"-12,763,000","3,449,000","-16,212,000",-,-,-,-,-,"-686,000","8,658,000","8,658,000","-6,296,000","-1,754,000","2,067,000","17,069,000","-15,002,000","-3,821,000",-,"-2,981,000",-,"-2,981,000",0,0,-,"-1,721,000","-1,721,000","-27,000","172,381,000","13,263,000","414,000","158,704,000",-,-,-,-,0,"17,069,000","-15,002,000","-2,981,000","20,471,000"
24,6/30/2017,"9,826,000","9,826,000","5,269,000","-101,000","-101,000","531,000","531,000","371,000","160,000","160,000","2,225,000","2,225,000","10,002,000","521,000",-,"204,000","726,000","-9,551,000","8,968,000","8,968,000","-11,156,000","-7,363,000","-10,154,000","-10,154,000","-6,468,000","1,815,000",-,"-4,028,000","-49,892,000","45,864,000",-,-,"-11,857,000","2,637,000","-14,494,000",-,-,-,-,-,"10,384,000","-9,644,000","-9,644,000","10,476,000","-7,577,000","150,000","16,255,000","-16,105,000","-7,727,000",-,"-2,236,000",-,"-2,236,000",0,0,-,"-1,148,000","-1,148,000","2,000","158,704,000","-9,972,000","651,000","168,025,000",-,-,-,-,0,"16,255,000","-16,105,000","-2,236,000","9,826,000"
25,3/31/2017,"-12,846,000","-12,846,000","4,856,000","-52,000","-52,000","534,000","534,000","372,000","162,000","162,000","1,109,000","1,109,000","-4,328,000","544,000",-,"1,060,000","835,000","-17,404,000","-4,518,000","-4,518,000","3,577,000","-16,463,000","-14,019,000","-14,019,000","-12,509,000","-2,106,000",-,"2,745,000","-47,231,000","49,976,000",-,-,"-902,000","2,557,000","-3,459,000",-,-,-,-,-,"-1,247,000","46,339,000","46,339,000","15,807,000","23,892,000","3,761,000","17,378,000","-13,617,000","20,131,000",-,"-2,728,000",-,"-2,728,000",0,0,-,"-1,255,000","-1,255,000","-584,000","168,025,000","19,474,000","813,000","147,738,000",-,-,-,-,0,"17,378,000","-13,617,000","-2,728,000","-12,846,000"
26,12/31/2016,"-8,356,000","-8,356,000","4,696,000",0,0,"549,000","549,000","373,000","176,000","176,000","769,000","769,000","2,091,000","931,000",-,"148,000","774,000","-18,314,000","4,810,000","4,810,000","-13,190,000","-9,934,000","-143,000","-143,000","20,586,000","-1,355,000",-,"-6,135,000","-43,338,000","37,203,000",-,-,"-12,938,000","3,360,000","-16,298,000",-,-,-,-,-,"-301,000","15,157,000","15,157,000","-7,904,000","-2,480,000","465,000","10,856,000","-10,391,000","-2,945,000",-,"-1,330,000",-,"-1,330,000",0,0,-,"-1,163,000","-1,163,000","-5,000","147,738,000","6,658,000","-2,354,000","143,434,000",-,-,-,-,0,"10,856,000","-10,391,000","-1,330,000","-8,356,000"
27,9/30/2016,"526,000","526,000","6,298,000","3,000","3,000","564,000","564,000","383,000","181,000","181,000","2,854,000","2,854,000","-1,094,000","-1,453,000",-,"125,000","850,000","-7,621,000","535,000","535,000","-947,000","-7,209,000","-32,510,000","-32,510,000","-5,073,000","-948,000",-,"-22,783,000","-88,567,000","65,784,000",-,-,"-3,105,000","3,479,000","-6,584,000",-,-,-,-,-,"-601,000","3,860,000","3,860,000","133,000","-10,532,000","-4,510,000","8,898,000","-13,408,000","-6,022,000",-,"-1,399,000",-,"-1,399,000",0,0,-,"-1,178,000","-1,178,000","32,000","143,434,000","-28,124,000","351,000","171,207,000",-,-,-,-,0,"8,898,000","-13,408,000","-1,399,000","526,000"
28,6/30/2016,"15,293,000","15,293,000","4,232,000","-267,000","-267,000","562,000","562,000","376,000","186,000","186,000","1,000,000","1,000,000","-2,487,000","1,854,000",-,"131,000","976,000","9,292,000","3,176,000","3,176,000","-2,026,000","8,142,000","-9,116,000","-9,116,000","7,392,000","-1,667,000",-,"-11,267,000","-61,733,000","50,466,000",-,-,"-3,692,000","3,370,000","-7,062,000",-,-,-,-,-,"118,000","-15,417,000","-15,417,000","-10,898,000","-1,953,000","-4,123,000","9,523,000","-13,646,000","2,170,000",-,"-1,383,000",-,"-1,383,000","878,000","878,000",-,"-879,000","-879,000","-12,000","171,207,000","-9,240,000","837,000","179,610,000",-,-,-,-,"878,000","9,523,000","-13,646,000","-1,383,000","15,293,000"
29,3/31/2016,"10,843,000","10,843,000","2,680,000","-226,000","-226,000","566,000","566,000","379,000","187,000","187,000","1,218,000","1,218,000","1,035,000","1,802,000",-,"831,000","997,000","1,940,000","-8,556,000","-8,556,000","2,361,000","8,135,000","-21,374,000","-21,374,000","-28,647,000","1,853,000",-,"10,340,000","-35,322,000","45,662,000",-,-,"-5,512,000","8,021,000","-13,533,000",-,-,-,-,-,"592,000","29,382,000","29,382,000","14,669,000","-5,361,000","-8,144,000","6,260,000","-14,404,000","2,783,000",-,"-1,000,000",-,"-1,000,000","2,069,000","2,069,000",-,"-974,000","-974,000","-23,000","179,610,000","18,851,000","1,406,000","159,353,000",-,-,-,-,"2,069,000","6,260,000","-14,404,000","-1,000,000","10,843,000"
30,12/31/2015,"5,471,000","5,471,000","2,703,000","-270,000","-270,000","583,000","583,000","381,000","202,000","202,000","128,000","128,000","-620,000","1,104,000",-,-,"810,000","1,033,000","2,367,000","2,367,000","4,005,000","-5,339,000","-22,651,000","-22,651,000","14,199,000","-1,239,000",-,"-17,606,000","-87,736,000","70,130,000",-,-,"-19,909,000","1,917,000","-21,826,000",-,-,-,-,-,"1,991,000","6,181,000","6,181,000","-24,947,000","-2,488,000","3,932,000","9,714,000","-5,782,000","-6,420,000",-,"-799,000",-,"-799,000",0,0,-,"-850,000","-850,000","-9,000","159,353,000","-10,999,000","-74,000","170,426,000",-,-,-,-,0,"9,714,000","-5,782,000","-799,000","6,150,000"
31,9/30/2015,"34,902,000","34,902,000","4,508,000","-385,000","-385,000","595,000","595,000","388,000","207,000","207,000","1,307,000","1,307,000","-5,509,000","893,000",-,-,"806,000","32,687,000","8,566,000","8,566,000","14,642,000","9,479,000","-13,874,000","-13,874,000","-6,778,000","1,775,000",-,"8,557,000","-79,160,000","87,717,000","389,000","389,000","-17,190,000","8,737,000","-25,927,000","-242,000",-,-,-,-,"-385,000","-13,938,000","-13,938,000","-13,786,000","-10,831,000","-5,446,000","8,295,000","-13,741,000","-5,385,000",-,"-800,000",-,"-800,000",0,0,-,"-961,000","-961,000","-9,000","170,426,000","7,090,000","-178,000","163,514,000",-,-,-,"-242,000",0,"8,295,000","-13,741,000","-800,000","34,660,000"
32,6/30/2015,"-7,951,000","-7,951,000","5,320,000","-168,000","-168,000","603,000","603,000","391,000","212,000","212,000","1,445,000","1,445,000","2,458,000","-503,000",-,-,"780,000","-17,886,000","-2,971,000","-2,971,000","-10,845,000","-4,070,000","-9,854,000","-9,854,000","6,805,000","-578,000",-,"-6,188,000","-33,350,000","27,162,000","207,000","207,000","-9,673,000","5,881,000","-15,554,000","-258,000",-,-,-,-,"-169,000","17,830,000","17,830,000","9,266,000","13,876,000","7,243,000","16,407,000","-9,164,000","6,633,000",-,"-775,000",-,"-775,000",0,0,-,"-917,000","-917,000","-12,000","163,514,000","25,000","946,000","162,543,000",-,-,-,"-258,000",0,"16,407,000","-9,164,000","-775,000","-8,209,000"
33,3/31/2015,"-4,692,000","-4,692,000","3,357,000","-268,000","-268,000","608,000","608,000","395,000","213,000","213,000","228,000","228,000","-1,006,000","978,000",-,-,"765,000","-9,354,000","-7,232,000","-7,232,000","-5,344,000","3,222,000","-8,575,000","-8,575,000","-14,885,000","92,000",-,"2,522,000","-55,741,000","58,263,000","170,000","170,000","3,833,000","5,781,000","-1,948,000","-179,000",-,-,-,-,"-128,000","38,512,000","38,512,000","2,481,000","-326,000","-2,424,000","9,254,000","-11,678,000","2,098,000",-,0,-,0,"2,964,000","2,964,000",-,"-846,000","-846,000","7,000","162,543,000","25,245,000","-1,291,000","138,589,000",-,-,-,"-179,000","2,964,000","9,254,000","-11,678,000",0,"-4,871,000"
34,12/31/2014,"-312,000","-312,000","3,050,000","-163,000","-163,000","642,000","642,000","414,000","228,000","228,000","172,000","172,000","-3,998,000","1,013,000",-,-,"219,000","-1,247,000","-5,092,000","-5,092,000","10,233,000","-6,388,000","27,738,000","27,738,000","31,487,000","349,000",-,"-9,901,000","-83,661,000","73,760,000","211,000","211,000","7,060,000","8,343,000","-1,283,000","-476,000",-,-,-,-,"-992,000","-15,714,000","-15,714,000","-16,648,000","-6,573,000","-4,470,000","4,656,000","-9,126,000","-2,103,000",-,0,-,0,"1,396,000","1,396,000",0,"-837,000","-837,000","-7,000","138,589,000","11,712,000","-1,782,000","128,659,000",-,-,-,"-476,000","1,396,000","4,656,000","-9,126,000",0,"-788,000"
