,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Leases,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Investment Banking Profit,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Rental & Landing Fees,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Extraordinary,Preferred Stock Dividends,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Rent Expense Supplemental,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"94,950,000","52,462,000","52,462,000","37,919,000",-,-,"22,648,000",-,"4,560,000","7,438,000","20,103,000","4,718,000","6,978,000","-6,978,000",-,"1,538,000","42,488,000",-,"28,389,000","28,389,000","6,405,000","12,152,000","3,749,000","6,083,000",-,"4,823,000","12,075,000",0,0,-,-,"37,665,000","-2,543,000","61,438,000","7,071,000",-,-,"2,142,000","45,946,000","40,468,000","36,447,000",-,"4,021,000","5,478,000",-,-,-,-,"6,279,000",-,-,-,-,-,-,"30,969,000","3,441,000","26,015,000","27,528,000","27,528,000","27,528,000",-,"1,513,000",-,"26,015,000",-,-,-,-,-,"49,919,000","27,528,000","27,528,000","4,560,000","1,978,000","27,528,000",-,-,0,0
1,3/31/2023,"26,258,000","14,448,000","28,655,000","13,097,000",-,-,"7,488,000",-,"3,712,000","4,358,000","14,207,000","4,314,000","6,180,000","3,209,000",-,"504,000","11,810,000",-,"6,731,000","6,731,000","1,410,000","2,918,000","934,000","1,469,000",-,"1,163,000","4,712,000",0,0,-,-,"-796,000","-931,000","16,238,000","1,799,000",-,-,"537,000","12,205,000","10,857,000","9,918,000",-,"939,000","1,348,000",-,-,-,-,"1,697,000",-,-,-,-,-,-,"9,089,000","928,000","7,656,000","8,161,000","8,161,000","8,161,000",-,"505,000",-,"7,656,000",0.95,0.94,"8,065,900","8,182,300",-,"13,517,000","8,161,000","8,161,000","3,712,000","503,000","8,161,000",-,-,0,0
2,12/31/2022,"24,532,000","14,681,000","25,075,000","12,114,000",-,-,"6,784,000",-,"2,725,000","3,452,000","10,394,000","2,999,000","4,273,000","2,701,000",-,"421,000","9,851,000",-,"6,664,000","6,664,000","1,389,000","2,844,000","879,000","1,552,000",-,"1,071,000","3,052,000",0,0,-,-,"-936,000","-1,092,000","15,543,000","1,786,000",-,-,"649,000","11,450,000","10,086,000","9,161,000",-,"925,000","1,364,000",-,-,-,-,"1,658,000",-,-,-,-,-,-,"7,897,000","765,000","6,904,000","7,132,000","7,132,000","7,132,000",-,"228,000",-,"6,904,000",0.85,0.85,"8,088,300","8,155,700",-,"13,589,000","7,132,000","7,132,000","2,725,000","502,000","7,132,000",-,-,0,0
3,9/30/2022,"24,502,000","13,765,000","19,621,000","10,231,000",-,-,"5,688,000",-,"1,446,000","2,256,000","5,856,000","1,235,000","2,264,000","1,974,000",-,"383,000","10,737,000",-,"6,834,000","6,834,000","1,466,000","2,920,000","875,000","1,573,000",-,"1,167,000","3,068,000",0,0,-,-,"-332,000","-898,000","15,303,000","1,777,000",-,-,"525,000","11,455,000","10,058,000","8,887,000",-,"1,171,000","1,397,000",-,-,-,-,"1,546,000",-,-,-,-,-,-,"8,301,000","1,219,000","6,579,000","7,082,000","7,082,000","7,082,000",-,"503,000",0,"6,579,000",0.81,0.81,"8,107,700","8,160,800",-,"12,867,000","7,082,000","7,082,000","1,446,000","491,000","7,082,000",-,-,0,0
4,6/30/2022,"22,688,000","12,444,000","14,975,000","8,222,000",-,-,"5,272,000",-,"396,000","1,085,000","2,531,000","320,000","553,000","1,288,000",-,"370,000","10,244,000",-,"7,363,000","7,363,000","1,717,000","3,102,000","989,000","1,555,000",-,"1,128,000","2,717,000",0,0,-,-,"-964,000","-523,000","15,273,000","1,748,000",-,-,"518,000","11,472,000","10,085,000","8,917,000",-,"1,168,000","1,387,000",-,-,-,-,"1,535,000",-,-,-,-,-,-,"6,892,000","645,000","5,932,000","6,247,000","6,247,000","6,247,000",-,"315,000",-,"5,932,000",0.73,0.73,"8,121,600","8,163,100",-,"11,921,000","6,247,000","6,247,000","396,000","491,000","6,247,000",-,-,0,0
5,3/31/2022,"23,228,000","11,572,000","12,894,000","7,352,000",-,-,"4,904,000",-,"-7,000","645,000","1,322,000","164,000","-112,000","906,000",-,"364,000","11,656,000",-,"7,528,000","7,528,000","1,833,000","3,286,000","1,006,000","1,403,000",-,"1,457,000","3,238,000",0,0,-,-,"-567,000","-30,000","15,319,000","1,760,000",-,-,"450,000","11,569,000","10,239,000","9,482,000",-,"757,000","1,330,000",-,-,-,-,"1,540,000",-,-,-,-,-,-,"7,879,000","812,000","6,600,000","7,067,000","7,067,000","7,067,000",-,"467,000",-,"6,600,000",0.81,0.80,"8,136,800","8,202,100",-,"11,542,000","7,067,000","7,067,000","-7,000","494,000","7,067,000",-,-,0,0
6,12/31/2021,"22,060,000","11,410,000","12,554,000","7,423,000",-,-,"4,521,000",-,"-47,000","657,000","1,144,000","143,000","-153,000","850,000",-,"304,000","10,650,000",-,"7,792,000","7,792,000","1,910,000","3,295,000","973,000","1,614,000",-,"2,351,000","1,331,000",0,0,-,-,"-824,000","489,000","14,731,000","1,785,000",-,-,"512,000","10,954,000","9,602,000","9,037,000",-,"565,000","1,352,000",-,-,-,-,"1,480,000",-,-,-,-,-,-,"7,818,000","805,000","6,773,000","7,013,000","7,013,000","7,013,000",-,"240,000",-,"6,773,000",0.82,0.82,"8,226,500","8,304,700",-,"11,899,000","7,013,000","7,013,000","-47,000","495,000","7,013,000",-,-,0,0
7,9/30/2021,"22,766,000","11,094,000","12,336,000","7,502,000","7,502,000",-,"4,249,000",-,"6,000","579,000","1,242,000","133,000","-41,000","865,000",-,"285,000","11,672,000",-,"7,747,000","7,747,000","1,928,000","3,276,000","960,000","1,583,000",-,"2,168,000","2,005,000",0,0,-,-,"-248,000","624,000","14,440,000","1,764,000",-,-,"434,000","10,826,000","9,492,000","8,714,000",-,"778,000","1,334,000",-,-,-,-,"1,416,000",-,-,-,-,-,-,"8,950,000","1,259,000","7,260,000","7,691,000","7,691,000","7,691,000",-,"431,000",-,"7,260,000",0.86,0.85,"8,430,700","8,492,800",-,"11,718,000","7,691,000","7,691,000","6,000","473,000","7,691,000",-,-,0,0
8,6/30/2021,"21,466,000","10,233,000","11,387,000","7,123,000","7,123,000",-,"3,774,000",-,"-42,000","532,000","1,154,000","128,000","-85,000","818,000","42,000","293,000","11,233,000",-,"7,583,000","7,583,000","1,874,000","3,156,000","967,000","1,586,000",-,"2,122,000","1,826,000",0,0,-,-,"-298,000","1,621,000","15,045,000","1,759,000",-,-,"426,000","11,412,000","9,626,000","8,653,000",-,"973,000","1,786,000",-,-,-,-,"1,448,000",-,-,-,-,-,-,"8,042,000","-1,182,000","8,964,000","9,224,000","9,224,000","9,224,000",-,"260,000",-,"8,964,000",1.04,1.03,"8,620,800","8,735,500",-,"11,854,000","9,224,000","9,224,000","-42,000","469,000","9,224,000",-,-,0,0
9,3/31/2021,"22,822,000","10,197,000","11,395,000","7,234,000","7,234,000",-,"3,602,000",-,"-7,000","566,000","1,198,000","133,000","-79,000","898,000","7,000","246,000","12,625,000",-,"7,291,000","7,291,000","1,793,000","3,002,000","1,061,000","1,435,000",-,"2,246,000","3,529,000",0,0,-,-,"-441,000","1,860,000","15,515,000","1,830,000",-,-,"403,000","11,857,000","10,509,000","9,736,000",-,"773,000","1,348,000",-,-,-,-,"1,425,000",-,-,-,-,-,-,"9,166,000","1,116,000","7,560,000","8,050,000","8,050,000","8,050,000",-,"490,000",-,"7,560,000",0.87,0.86,"8,700,100","8,755,600",-,"12,057,000","8,050,000","8,050,000","-7,000","461,000","8,050,000",-,-,0,0
10,12/31/2020,"20,099,000","10,253,000","11,461,000","7,603,000","7,603,000",-,"3,302,000",-,"3,000","553,000","1,208,000","159,000","-37,000","876,000",-,"210,000","9,846,000",-,"7,197,000","7,197,000","1,859,000","2,803,000","968,000","1,567,000",-,"1,864,000","1,372,000",0,0,-,-,"-587,000","-53,000","13,927,000","1,839,000",-,-,"488,000","10,185,000","8,807,000","8,190,000",-,"617,000","1,378,000",-,-,-,-,"1,415,000",-,-,-,-,-,-,"6,119,000","649,000","5,208,000","5,470,000","5,470,000","5,470,000",-,"262,000",-,"5,208,000",0.60,0.59,"8,724,900","8,785,000",-,"10,200,000","5,470,000","5,470,000","3,000","487,000","5,470,000",-,-,0,0
11,9/30/2020,"20,336,000","10,129,000","11,486,000","7,894,000","7,894,000",-,"3,078,000",-,"55,000","459,000","1,357,000","227,000","-24,000","942,000",-,"212,000","10,207,000",-,"7,008,000","7,008,000","1,817,000","2,740,000","883,000","1,568,000",-,"1,769,000","1,689,000",0,0,-,-,"-259,000","-1,389,000","14,401,000","1,798,000",-,-,"450,000","10,820,000","9,582,000","8,200,000",-,"1,382,000","1,238,000",-,-,-,-,"1,333,000",-,-,-,-,-,-,"4,546,000","-335,000","4,440,000","4,881,000","4,881,000","4,881,000",-,"441,000",-,"4,440,000",0.51,0.51,"8,732,900","8,777,500",-,"8,740,000","4,881,000","4,881,000","55,000","476,000","4,881,000",-,-,0,0
12,6/30/2020,"22,326,000","10,848,000","12,540,000","8,569,000","8,569,000",-,"3,448,000",-,"26,000","497,000","1,692,000","373,000","-72,000","1,168,000",-,"223,000","11,478,000",-,"6,233,000","6,233,000","1,562,000","2,483,000","939,000","1,249,000",-,"2,159,000","2,487,000",0,0,-,-,"599,000","-5,117,000","13,410,000","1,802,000",-,-,"381,000","9,962,000","8,659,000","7,994,000",-,"665,000","1,303,000",-,-,-,-,"1,265,000",-,-,-,-,-,-,"3,799,000","266,000","3,284,000","3,533,000","3,533,000","3,533,000",-,"249,000",-,"3,284,000",0.38,0.37,"8,739,900","8,768,100",-,"5,731,000","3,533,000","3,533,000","26,000","448,000","3,533,000",-,-,0,0
13,3/31/2020,"22,767,000","12,130,000","16,098,000","9,963,000","9,963,000",-,"4,090,000",-,"819,000","1,226,000","3,968,000","1,184,000","1,120,000","1,335,000",-,"329,000","10,637,000",-,"6,933,000","6,933,000","1,903,000","2,682,000","1,076,000","1,272,000",-,"1,388,000","2,807,000",0,0,-,-,"-491,000","-4,761,000","13,475,000","1,702,000",-,-,"375,000","10,189,000","8,974,000","8,341,000",-,"633,000","1,215,000",-,-,-,-,"1,209,000",-,-,-,-,-,-,"4,531,000","521,000","3,541,000","4,010,000","4,010,000","4,010,000",-,"469,000",-,"3,541,000",0.40,0.40,"8,815,600","8,862,700",-,"7,369,000","4,010,000","4,010,000","819,000","432,000","4,010,000",-,-,0,0
14,12/31/2019,"22,349,000","12,140,000","16,926,000","10,365,000","10,365,000",-,"4,075,000",-,"1,097,000","1,389,000","4,786,000","1,548,000","1,483,000","1,473,000",-,"282,000","10,209,000",-,"7,046,000","7,046,000","1,957,000","2,650,000","928,000","1,511,000",-,"1,474,000","1,767,000",0,0,-,-,"-78,000","-941,000","13,239,000","1,680,000",-,-,"442,000","9,955,000","8,736,000","7,977,000",-,"759,000","1,219,000",-,-,-,-,"1,162,000",-,-,-,-,-,-,"8,169,000","1,175,000","6,748,000","6,994,000","6,994,000","6,994,000",-,"246,000",-,"6,748,000",0.75,0.74,"9,017,100","9,079,500",-,"11,199,000","6,994,000","6,994,000","1,097,000","439,000","6,994,000",-,-,0,0
15,9/30/2019,"22,807,000","12,187,000","17,916,000","10,894,000","10,894,000",-,"4,148,000",-,"1,242,000","1,632,000","5,729,000","1,880,000","1,876,000","1,670,000",-,"303,000","10,620,000",-,"6,934,000","6,934,000","1,975,000","2,597,000","897,000","1,465,000",-,"1,533,000","1,707,000",0,0,-,-,"446,000","-779,000","15,169,000","1,663,000",-,-,"386,000","11,957,000","10,821,000","7,779,000",-,"3,042,000","1,136,000",-,-,-,-,"1,163,000",-,-,-,-,-,-,"6,859,000","1,082,000","5,272,000","5,777,000","5,777,000","5,777,000",-,"505,000",-,"5,272,000",0.57,0.56,"9,303,600","9,353,000",-,"11,408,000","5,777,000","5,777,000","1,242,000","438,000","5,777,000",-,-,0,0
16,6/30/2019,"23,084,000","12,189,000","18,224,000","10,942,000","10,942,000",-,"4,338,000",-,"1,309,000","1,635,000","6,035,000","1,965,000","1,997,000","1,754,000",-,"319,000","10,895,000",-,"6,819,000","6,819,000","1,903,000","2,554,000","916,000","1,446,000",-,"1,371,000","2,345,000",0,0,-,-,"360,000","-857,000","13,268,000","1,640,000",-,-,"409,000","10,062,000","8,825,000","7,972,000",-,"853,000","1,237,000",-,-,-,-,"1,157,000",-,-,-,-,-,-,"8,959,000","1,611,000","7,109,000","7,348,000","7,348,000","7,348,000",-,"239,000",-,"7,109,000",0.75,0.74,"9,523,200","9,559,600",-,"11,332,000","7,348,000","7,348,000","1,309,000","434,000","7,348,000",-,-,0,0
17,3/31/2019,"23,004,000","12,375,000","18,170,000","10,885,000","10,885,000",-,"4,441,000",-,"1,195,000","1,649,000","5,795,000","1,795,000","1,852,000","1,803,000",-,"345,000","10,629,000",-,"6,574,000","6,574,000","1,839,000","2,440,000","920,000","1,375,000",-,"1,264,000","2,338,000",0,0,-,-,"453,000","-1,013,000","13,224,000","1,605,000",-,-,"360,000","10,095,000","8,991,000","8,249,000",-,"742,000","1,104,000",-,-,-,-,"1,164,000",-,-,-,-,-,-,"8,767,000","1,456,000","6,869,000","7,311,000","7,311,000","7,311,000",-,"442,000",-,"6,869,000",0.71,0.70,"9,725,900","9,787,300",-,"11,362,000","7,311,000","7,311,000","1,195,000","418,000","7,311,000",-,-,0,0
18,12/31/2018,"22,677,000","12,504,000","17,836,000","10,716,000","10,716,000",-,"4,383,000",-,"1,046,000","1,691,000","5,332,000","1,562,000","1,716,000","1,736,000",-,"318,000","10,173,000",-,"6,997,000","6,997,000","1,931,000","2,536,000","1,008,000","1,522,000",-,"1,348,000","1,448,000",0,0,-,-,"380,000","-905,000","13,074,000","1,593,000","1,015,000","427,000","480,000","9,845,000","8,624,000","7,735,000",-,"889,000","1,221,000",-,-,-,-,"1,156,000",-,-,-,-,-,-,"8,698,000","1,420,000","7,039,000","7,278,000","7,278,000","7,278,000",-,"239,000",-,"7,039,000",0.71,0.70,"9,855,800","9,996,000",-,"11,599,000","7,278,000","7,278,000","1,046,000","524,000","7,278,000",-,-,0,0
19,9/30/2018,"22,777,000","11,870,000","16,965,000","10,401,000","10,401,000",-,"4,158,000",-,"799,000","1,607,000","5,095,000","1,230,000","1,526,000","2,004,000",-,"335,000","10,907,000",-,"6,925,000","6,925,000","1,961,000",-,"3,494,000","1,470,000",-,"1,204,000","1,893,000",0,0,-,-,"885,000","-716,000","13,067,000","1,436,000","1,015,000","421,000","439,000","11,192,000","10,771,000","7,721,000",-,"3,050,000","421,000",-,-,-,-,-,-,-,-,-,-,-,"8,994,000","1,827,000","6,701,000","7,167,000","7,167,000","7,167,000",-,"466,000",-,"6,701,000",0.67,0.66,"10,031,600","10,170,800",-,"11,154,000","7,167,000","7,167,000","799,000","515,000","7,167,000",-,-,0,0
20,6/30/2018,"22,609,000","11,650,000","16,369,000","10,071,000","10,071,000",-,"4,054,000",-,"709,000","1,535,000","4,719,000","943,000","1,462,000","1,966,000",-,"348,000","10,959,000",-,"6,954,000","6,954,000","1,954,000",-,"3,458,000","1,542,000",-,"1,422,000","2,315,000",0,0,-,-,"268,000","-827,000","13,284,000","1,437,000","1,022,000","415,000","399,000","11,448,000","11,053,000","7,944,000",-,"3,109,000","395,000",-,-,-,-,-,-,-,-,-,-,-,"8,498,000","1,714,000","6,466,000","6,784,000","6,784,000","6,784,000",-,"318,000",-,"6,466,000",0.64,0.63,"10,181,700","10,309,400",-,"10,823,000","6,784,000","6,784,000","709,000","513,000","6,784,000",-,-,0,0
21,3/31/2018,"23,125,000","11,608,000","15,599,000","9,623,000","9,623,000",-,"3,940,000",-,"622,000","1,414,000","3,991,000","760,000","1,135,000","1,739,000",-,"357,000","11,517,000",-,"7,042,000","7,042,000","1,921,000",-,"3,664,000","1,457,000",-,"1,353,000","2,699,000",0,0,-,-,"423,000","-834,000","13,897,000","1,456,000","1,014,000","442,000","381,000","12,060,000","11,715,000","8,480,000",-,"3,235,000","345,000",-,-,-,-,-,-,-,-,-,-,-,"8,394,000","1,476,000","6,490,000","6,918,000","6,918,000","6,918,000",-,"428,000",-,"6,490,000",0.63,0.62,"10,322,394","10,472,706",-,"10,774,000","6,918,000","6,918,000","622,000","511,000","6,918,000",-,-,0,0
22,12/31/2017,"20,436,000","11,462,000","15,066,000","9,344,000","9,344,000",-,"3,851,000",-,"732,000","1,139,000","3,604,000","679,000","1,030,000","1,581,000",-,"314,000","8,974,000",-,"6,909,000","6,909,000","1,955,000",-,"3,399,000","1,555,000",-,"1,418,000","1,153,000","-131,000","-23,000","-108,000",-,"-375,000","-1,001,000","13,274,000","1,420,000","1,009,000","411,000","471,000","11,383,000","10,872,000","7,533,000",-,"3,339,000","511,000",-,-,-,-,"375,000",-,-,-,-,-,-,"6,161,000","3,796,000","2,079,000","2,365,000","2,365,000","2,365,000",-,"286,000",-,"2,079,000",0.20,0.20,"10,470,672","10,621,809",-,"10,461,000","2,365,000","2,365,000","732,000","515,000","2,365,000",-,-,0,0
23,9/30/2017,"21,839,000","11,161,000","14,657,000","9,203,000","9,203,000",-,"3,720,000",-,"659,000","1,075,000","3,496,000","624,000","944,000","1,609,000",-,"319,000","10,678,000",-,"6,700,000","6,700,000","1,968,000",-,"3,303,000","1,429,000",-,"1,477,000","1,837,000","105,000","125,000","-20,000",-,"559,000","-834,000","13,139,000","1,415,000","999,000","416,000","476,000","11,097,000","10,636,000","7,483,000",-,"3,153,000","461,000","151,000","151,000","151,000","151,000",-,-,-,-,-,-,-,"7,866,000","2,279,000","5,122,000","5,587,000","5,587,000","5,587,000",-,"465,000","36,000","5,122,000",0.50,0.48,"10,197,891","10,725,482",-,"10,327,000","5,587,000","5,587,000","659,000","151,000","5,587,000",-,-,0,0
24,6/30/2017,"22,829,000","10,986,000","14,146,000","8,920,000","8,920,000",-,"3,757,000",-,"560,000","909,000","3,160,000","346,000","917,000","1,590,000",-,"307,000","11,843,000",-,"6,763,000","6,763,000","1,977,000",-,"3,317,000","1,469,000",-,"1,532,000","1,956,000","331,000","101,000","230,000",-,"1,261,000","-726,000","13,726,000","1,428,000","1,001,000","427,000","485,000","11,653,000","11,211,000","7,712,000",-,"3,499,000","442,000","160,000","160,000","160,000","160,000",-,-,-,-,-,-,-,"8,377,000","3,108,000","4,908,000","5,269,000","5,269,000","5,269,000",-,"361,000","75,000","4,908,000",0.49,0.46,"10,013,503","10,822,069",-,"10,260,000","5,269,000","5,269,000","560,000","160,000","5,269,000",-,-,0,0
25,3/31/2017,"22,248,000","11,058,000","13,710,000","8,754,000","8,754,000",-,"3,617,000",-,"439,000","900,000","2,652,000","282,000","647,000","1,459,000",-,"264,000","11,190,000",-,"6,629,000","6,629,000","1,918,000",-,"3,262,000","1,449,000",-,"1,584,000","2,331,000","174,000","52,000","122,000",-,"472,000","-835,000","14,848,000","1,438,000","1,000,000","438,000","456,000","12,792,000","12,460,000","9,158,000",-,"3,302,000","332,000","162,000","162,000","162,000","162,000",-,-,-,-,-,-,-,"6,565,000","1,709,000","4,354,000","4,856,000","4,856,000","4,856,000",-,"502,000","75,000","4,354,000",0.43,0.41,"10,099,557","10,914,815",-,"10,223,000","4,856,000","4,856,000","439,000","162,000","4,856,000",-,-,0,0
26,12/31/2016,"19,990,000","10,292,000","12,865,000","8,391,000","8,391,000",-,"3,338,000",-,"315,000","821,000","2,573,000","279,000","542,000","1,512,000",-,"240,000","9,698,000",-,"6,682,000","6,682,000","1,978,000",-,"3,202,000","1,502,000",-,"1,222,000","1,081,000","519,000",0,"519,000",-,"194,000","-774,000","13,161,000","1,416,000","969,000","447,000","538,000","11,031,000","10,571,000","7,338,000",-,"3,233,000","460,000","176,000","176,000","176,000","176,000",-,-,-,-,-,-,-,"6,055,000","1,359,000","4,335,000","4,696,000","4,696,000","4,696,000",-,"361,000","75,000","4,335,000",0.43,0.40,"10,170,031","10,958,621",-,"9,518,000","4,696,000","4,696,000","315,000","176,000","4,696,000",-,-,0,0
27,9/30/2016,"21,635,000","10,201,000","12,610,000","8,358,000","8,358,000",-,"3,220,000",-,"267,000","765,000","2,409,000","266,000","569,000","1,330,000",-,"244,000","11,434,000",-,"6,567,000","6,567,000","1,952,000",-,"3,160,000","1,455,000",-,"1,458,000","2,141,000","640,000","51,000","589,000",-,"628,000","-850,000","13,481,000","1,448,000","1,005,000","443,000","536,000","11,316,000","10,906,000","7,704,000",-,"3,202,000","410,000","181,000","181,000","181,000","181,000",-,-,-,-,-,-,-,"7,304,000","2,349,000","4,452,000","4,955,000","4,955,000","4,955,000",-,"503,000","75,000","4,452,000",0.43,0.41,"10,250,124","11,000,473",-,"9,351,000","4,955,000","4,955,000","267,000","181,000","4,955,000",-,-,0,0
28,6/30/2016,"20,398,000","9,213,000","11,668,000","8,219,000","8,219,000",-,"2,430,000",-,"260,000","759,000","2,455,000","245,000","625,000","1,343,000",-,"242,000","11,185,000",-,"6,536,000","6,536,000","1,871,000",-,"3,201,000","1,464,000",-,"1,408,000","2,018,000","579,000","267,000","312,000",-,"644,000","-976,000","13,493,000","1,487,000","1,036,000","451,000","472,000","11,348,000","10,934,000","7,722,000",-,"3,212,000","414,000","186,000","186,000","186,000","186,000",-,-,-,-,-,-,-,"5,929,000","1,697,000","3,871,000","4,232,000","4,232,000","4,232,000",-,"361,000","75,000","3,871,000",0.38,0.36,"10,253,573","11,059,167",-,"8,237,000","4,232,000","4,232,000","260,000","186,000","4,232,000",-,-,0,0
29,3/31/2016,"19,512,000","9,171,000","11,695,000","8,260,000","8,260,000",-,"2,383,000",-,"276,000","776,000","2,524,000","225,000","614,000","1,393,000",-,"292,000","10,341,000",-,"6,449,000","6,449,000","1,837,000",-,"3,182,000","1,430,000",-,"1,153,000","1,662,000","659,000","226,000","433,000",-,"418,000","-997,000","14,816,000","1,491,000","1,028,000","463,000","425,000","12,713,000","12,294,000","8,852,000",-,"3,442,000","419,000","187,000","187,000","187,000","187,000",-,-,-,-,-,-,-,"3,699,000","1,019,000","2,223,000","2,680,000","2,680,000","2,680,000",-,"457,000","75,000","2,298,000",0.29,0.28,"10,370,094","11,100,067",-,"8,174,000","2,680,000","2,680,000","276,000","566,000","2,680,000",-,-,0,0
30,12/31/2015,"19,351,000","9,801,000","12,698,000","8,051,000","8,051,000",-,"3,629,000",-,"214,000","804,000","2,897,000","211,000","519,000","1,895,000",-,"272,000","9,550,000",-,"6,676,000","6,676,000","1,862,000",-,"3,236,000","1,578,000",-,"1,272,000","963,000","532,000","270,000","262,000",-,"107,000","-810,000","13,871,000","1,539,000","1,011,000","528,000","676,000","11,454,000","10,973,000","7,535,000",-,"3,438,000","481,000","202,000","202,000","202,000","202,000",-,"177,000",-,-,-,-,-,"4,847,000","1,511,000","3,006,000","3,336,000","3,336,000","3,336,000",-,"330,000",-,"3,006,000",0.29,0.28,"10,399,422","11,153,169",-,"8,991,000","3,336,000","3,336,000","214,000","202,000","3,336,000",-,-,0,0
31,9/30/2015,"20,713,000","9,511,000","12,007,000","8,005,000","8,005,000",-,"2,973,000",-,"275,000","754,000","2,496,000","214,000","597,000","1,343,000",-,"342,000","11,202,000",-,"6,744,000","6,744,000","1,898,000",-,"3,336,000","1,510,000",-,"1,287,000","1,616,000","792,000","385,000","407,000",-,"763,000","-806,000","13,807,000","1,527,000","1,028,000","499,000","673,000","11,400,000","10,955,000","7,829,000",-,"3,126,000","445,000","207,000","207,000","207,000","207,000",-,"-31,000",-,-,-,-,-,"6,069,000","1,561,000","4,067,000","4,508,000","4,508,000","4,508,000",-,"441,000","75,000","4,067,000",0.39,0.37,"10,444,291","11,197,203",-,"8,705,000","4,508,000","4,508,000","275,000","207,000","4,508,000",-,-,0,0
32,6/30/2015,"22,029,000","10,488,000","13,132,000","7,978,000","7,978,000",-,"4,144,000",-,"268,000","742,000","2,644,000","216,000","686,000","1,407,000",-,"335,000","11,541,000",-,"6,721,000","6,721,000","1,857,000",-,"3,387,000","1,477,000",-,"1,526,000","1,647,000","1,169,000","168,000","1,001,000",-,"478,000","-780,000","13,818,000","1,527,000","1,027,000","500,000","494,000","11,585,000","11,140,000","7,890,000",-,"3,250,000","445,000","212,000","212,000","212,000","212,000",-,"88,000",-,-,-,-,-,"7,519,000","2,199,000","4,990,000","5,320,000","5,320,000","5,320,000",-,"330,000","75,000","4,990,000",0.48,0.45,"10,488,137","11,238,060",-,"9,708,000","5,320,000","5,320,000","268,000","212,000","5,320,000",-,-,0,0
33,3/31/2015,"21,175,000","9,451,000","11,963,000","8,036,000","8,036,000",-,"2,970,000",-,"231,000","726,000","2,512,000","220,000","606,000","1,313,000",-,"373,000","11,724,000",-,"6,536,000","6,536,000","1,764,000",-,"3,378,000","1,394,000",-,"1,487,000","2,247,000","962,000","268,000","694,000",-,"492,000","-765,000","15,695,000","1,539,000","1,027,000","512,000","421,000","13,522,000","13,082,000","9,614,000",-,"3,468,000","440,000","213,000","213,000","213,000","213,000",-,"27,000","-370,000",-,-,"370,000",-,"4,742,000","1,385,000","2,975,000","3,357,000","3,357,000","3,357,000",-,"382,000","75,000","2,975,000",0.28,0.27,"10,518,790","11,266,511",-,"8,686,000","3,357,000","3,357,000","231,000","213,000","3,357,000","-370,000","-370,000",0,0
34,12/31/2014,"18,745,000","9,635,000","12,152,000","8,377,000","8,377,000",-,"2,773,000",-,"238,000","764,000","2,517,000","237,000","615,000","1,314,000",-,"351,000","9,110,000",-,"6,851,000","6,851,000","1,844,000",-,"3,397,000","1,610,000",-,"1,541,000","111,000","515,000","163,000","352,000",-,"92,000","-219,000","14,196,000","1,527,000","996,000","531,000","677,000","11,764,000","11,273,000","7,693,000",-,"3,580,000","491,000","228,000","228,000","228,000","228,000",-,"-20,000",-,-,-,-,-,"4,310,000","1,260,000","2,738,000","3,050,000","3,050,000","3,050,000",-,"312,000",0,"2,738,000",0.26,0.25,"10,516,334","11,273,773",-,"9,416,000","3,050,000","3,050,000","238,000","228,000","3,050,000",-,-,0,0
