,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Defined Pension Benefit,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Long Term Provisions,Employee Benefits,Non Current Pension And Other Post-Retirement Benefit Plans,Current Deferred Liabilities,Current Deferred Taxes Liabilities,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Non Current Deferred Revenue,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
10,10/31/2012,"811,106,000","94,326,000","25,128,000","3,436,000",-,"25,128,000","69,198,000","69,198,000","69,198,000","7,223,000","199,280,000","94,531,000","98,576,000",-,"6,173,000","5,344,000","60,919,000","408,848,000","411,492,000",-,"101,041,000","133,285,000","172,172,000","106,035,000","2,644,000","439,000","7,315,000",-,"439,000",-,"4,402,000","6,644,000","860,000","2,432,000","2,081,000","1,271,000","-2,242,000","14,528,000","12,311,000","2,217,000","883,000","883,000","426,000","14,914,000","762,106,000","487,754,000","487,754,000","14,957,000","487,754,000",-,"72,251,000","72,251,000","33,435,000","167,000","167,000","10,123,000","167,000","167,000",-,"2,030,000",-,-,-,-,-,"33,452,000","64,997,000","11,318,000","11,318,000",-,"656,000","1,308,000",-,-,-,"327,000","327,000","7,223,000","26,000","124,610,000","49,000,000","47,523,000","22,086,000","3,395,000","18,691,000","21,763,000","196,000","167,000","3,645,000",-,-,"1,477,000","58,841,000","3,395,000","44,128,000",-,"32,995,000","55,446,000","29,600,000","11,318,000","37,704,000","1,840,668","1,836,468","135,800","4,200"
11,10/31/2011,"686,360,000","77,710,000","24,111,000","3,096,000",-,"24,111,000","53,599,000","53,599,000","53,599,000","7,815,000","192,538,000","68,279,000","117,269,000","6,990,000","43,176,000","5,425,000","60,420,000","303,495,000","305,808,000",-,"93,245,000","119,283,000","86,769,000","6,511,000","2,313,000","245,000","7,246,000",-,"245,000",-,"4,084,000","6,256,000","834,000","2,179,000","2,069,000","1,174,000","-2,172,000","16,444,000","14,376,000","2,068,000",-,-,"1,203,000","18,184,000","638,025,000","481,114,000","481,114,000","11,666,000","481,114,000","13,424,000","50,059,000","50,059,000","24,434,000",0,0,"13,821,000",0,0,-,"1,702,000",-,-,-,-,-,"24,434,000","63,217,000","11,670,000","11,670,000",-,-,"1,071,000",-,"215,000","215,000","215,000","215,000","7,815,000","32,000","31,718,000","48,335,000","46,852,000","21,812,000","3,395,000","18,417,000","24,339,000","281,000","116,000","536,000",-,-,"1,483,000","58,522,000","3,395,000","43,457,000",-,"30,408,000","55,127,000","27,013,000","11,670,000",-,"1,807,700","1,804,900","135,800","2,800"
12,10/31/2010,"619,545,000","72,368,000","21,710,000","2,574,000",-,"21,710,000","50,658,000","50,658,000","50,658,000","7,757,000","171,612,000","59,542,000","102,355,000","9,715,000","32,425,000","5,485,000","51,675,000","270,020,000","272,329,000",-,"83,481,000","109,750,000","71,507,000","7,591,000","2,309,000",0,"6,905,000",-,"8,132,000",-,"4,247,000","6,532,000","830,000","1,975,000","2,579,000","1,148,000","-2,285,000","16,553,000","14,460,000","2,093,000",-,-,"1,223,000","19,828,000","575,750,000","429,971,000","429,971,000","12,508,000","429,971,000",-,"49,121,000","49,121,000","23,695,000","352,000","352,000","14,210,000","352,000","352,000",-,"1,619,000",-,-,-,-,-,"23,695,000","53,685,000","12,506,000","12,506,000",-,-,"923,000",-,-,-,"460,000","460,000",-,"582,000","29,073,000","43,795,000","42,302,000","20,125,000","3,395,000","16,730,000","20,959,000","305,000","92,000","1,005,000",-,-,"1,493,000","54,808,000","3,395,000","38,907,000",-,"25,749,000","51,413,000","22,354,000","12,506,000",-,"1,759,390","1,759,390","135,800",-
13,10/31/2009,"557,219,000","54,465,000","21,517,000","2,414,000",-,"21,517,000","32,948,000","32,948,000","32,948,000","9,946,000","148,823,000","54,320,000","84,841,000","9,662,000","28,473,000","5,465,000","49,445,000","253,128,000","255,496,000",-,"76,176,000","102,509,000","65,665,000","189,831,000","2,368,000","12,042,000","5,668,000",-,"6,374,000",-,"4,078,000","6,121,000","804,000","1,766,000","2,370,000","1,181,000","-2,043,000","17,561,000","15,015,000","2,546,000",-,-,"1,156,000","24,254,000","516,940,000","391,034,000","391,034,000","5,480,000","385,554,000","12,496,000","34,113,000","34,113,000","17,641,000","14,672,000","13,341,000","13,106,000","235,000","235,000",-,"1,331,000",-,-,-,-,-,"17,641,000","48,152,000","12,383,000","12,383,000",-,-,"855,000",-,-,-,-,-,-,"550,000","30,708,000","40,279,000","38,720,000","18,752,000","3,395,000","15,357,000","18,632,000","321,000",-,"1,015,000",-,-,"1,559,000","51,103,000","3,395,000","35,325,000",-,"21,159,000","47,708,000","17,764,000","12,383,000",-,"1,719,170","1,719,170","157,800",-
14,10/31/2008,"563,214,286","60,371,573","17,946,128","2,517,000","2,516,835","15,429,293","42,425,445","42,425,445","42,425,000","11,040,164","144,125,782","53,095,238","91,030,544","6,104,000","28,436,000","5,159,000","83,548,000","219,623,617","221,159,211",-,"71,160,000","86,997,000","63,003,000","221,159,211","1,535,594","15,923,000","6,433,000",-,"9,490,000",-,"3,833,574","6,278,000","731,000","1,504,000","2,969,000","1,074,000","-2,445,000","17,983,405","14,842,000","3,141,000",-,-,"637,000","106,236,171","529,980,760","375,693,843","363,658,009","138,766,000","363,658,009","12,035,835","37,171,717","18,654,000","18,518,000","13,510,101","13,510,101","2,334,055",-,-,"11,176,046","976,000",-,-,-,-,-,"18,518,000","74,473,000","12,436,267","12,436,267",-,-,"837,000",-,-,-,-,-,-,"550,000","91,168,831","33,233,526","31,673,882","1,874,699","1,874,699","13,241,000","17,857,143","13,590,669",-,"-1,648,629",-,-,"1,559,644","44,110,149","1,874,699","29,799,182",-,"13,690,476","42,235,450","11,815,777","12,436,267",-,"1,622,394","1,622,394","75,000",-
15,10/31/2007,"422,123,735","44,184,089","16,535,806","1,790,000","1,789,802","14,746,003","27,648,283","27,648,283","27,648,000","9,279,160","123,035,664","77,636,931","45,398,732","5,454,000","23,127,000","4,515,000","36,052,000","175,915,240","177,210,292",-,"45,493,000","73,232,000","58,485,000","177,210,292","1,295,053","15,822,000","8,524,000",-,"7,298,000",-,"1,821,966","3,888,000","214,000","743,000","2,123,000","808,000","-2,066,000","10,021,758","7,918,000","2,104,000",-,-,"618,000","57,865,859","400,195,819","276,392,962","231,529,657","83,484,000","231,529,657","44,863,305","40,769,085","16,574,000","24,195,000","18,509,129","18,509,129","1,960,079","916,000","916,000","16,549,049",-0.001,-,-,-,-,-,"24,195,000","39,028,000","9,449,437","9,449,437",-,-,"777,000",-,-,-,-,-,-,"1,449,000","55,075,206","21,927,916","21,403,841","424,747","424,747","6,577,000","15,954,025","6,695,677",-,"-1,670,608",-,-,"524,075","30,853,278","424,747","20,979,094",-,"11,382,083","30,428,531","10,957,336","9,449,437",-,"1,437,450","1,437,450",-,-
16,10/31/2006,"392,913,722","41,743,521","10,782,004","2,019,000","2,019,522","8,762,482","30,961,517","30,961,517","30,961,000","8,676,091","152,303,377","105,327,050","46,976,327",-,-,"4,379,000","27,845,000","160,608,101","161,925,278",-,"40,514,000","67,986,000","53,425,000","161,925,278","1,317,177","11,899,473","1,458,544","1,458,544","10,440,929",-,"1,862,448","3,789,000","229,000","760,000","2,045,000","755,000","-1,927,000","9,342,533","7,396,000","1,946,000",-,-,"603,000","6,478,178","370,842,589","260,907,663","250,362,392","114,271,000","250,362,392","10,545,271","45,767,979","18,655,000","27,113,000","11,896,107","11,896,107","1,980,254","358,000","358,000","9,915,853","826,000",-,-,-,-,-,"27,113,000","29,337,000","8,694,042","8,694,042",-,-,"581,000",-,-,-,-,-,-,-,"43,576,798","22,071,132","19,631,998","425,222","425,222","6,334,000","13,724,896","6,399,641",-,"-917,761","-918,000",-,"2,439,134","28,326,041","425,222","19,206,777",-,"10,289,465","27,900,819","9,864,243","8,694,042",-,"1,437,340","1,437,340",-,-
17,10/31/2005,"365,209,588","39,793,364","13,418,349",-,"1,673,161","11,745,188","26,375,015","26,375,015",-,"5,988,901","141,747,550","99,426,142","42,321,407",-,-,-,-,"152,243,476","153,536,427",-,-,-,-,"153,536,427","1,292,951","13,374,661","1,198,489","1,198,489","12,176,172",-,"1,800,685",-,-,-,-,-,-,"8,642,107",-,-,-,-,-,"1,618,845","347,634,904","246,981,934","237,455,426",-,"237,455,426","9,526,508","35,690,164",-,-,"12,283,623","12,283,623","1,866,808",-,-,"10,416,814",-,-,-,-,-,-,-,-,"6,933,522","6,933,522",-,-,-,-,-,-,-,-,-,-,"45,745,661","17,574,684","15,866,100","895,029","895,029",-,"9,755,579","5,912,150",-,"-695,478",-,"-1,181","1,708,584","22,799,622","895,029","14,971,071",-,"7,223,993","21,904,593","6,328,964","6,933,522",-,"1,425,566","1,425,566",-,-
18,10/31/2004,"311,026,579","30,926,603","9,038,040",-,"1,404,535","7,633,504","21,888,564","21,888,564",-,"5,507,193","131,977,566","66,893,441","65,084,126",-,-,-,-,"123,923,433","125,106,072",-,-,-,-,"125,106,072","1,182,638","11,488,661","1,452,085","1,452,085","10,036,576",-,"1,330,163",-,-,-,-,-,-,"4,368,447",-,-,-,-,-,"1,504,511","295,799,805","206,893,441","200,769,325",-,"200,769,325","6,124,116","27,516,459",-,-,"12,200,683","12,200,683","1,532,553",-,-,"10,668,130",-,-,-,-,-,-,-,-,"5,643,745","5,643,745",-,-,-,-,-,-,-,-,-,-,"43,545,477","15,226,774","13,977,079","1,309,437","1,309,437",-,"9,540,356","3,393,075",-,"-264,570",-,"-1,219","1,249,695","19,620,824","1,309,437","12,667,642",-,"9,608,632","18,311,387","8,299,195","5,643,745",-,"1,313,908","1,313,908",-,-
19,10/31/2003,"273,531,584","25,193,195","7,718,581",-,"1,467,757","6,250,824","17,474,614","17,474,614",-,"6,645,127","79,665,040","54,889,885","24,775,155",-,-,-,-,"118,057,497","120,069,893",-,-,-,-,"120,069,893","2,012,396",-,-,-,-,-,"1,417,645",-,-,-,-,-,-,"5,000,659",-,-,-,-,-,"37,552,420","259,170,513","182,880,127","177,896,611",-,"177,896,611","4,983,516","23,191,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,886,852","5,886,852",-,-,-,-,-,-,-,-,-,-,"47,212,185","14,361,071","13,110,906","1,535,013","1,535,013",-,"8,517,737","3,179,480",-,"-121,324",-,-,"1,250,165","18,997,758","1,535,013","11,575,893",-,"8,110,247","17,462,746","6,575,234","5,886,852",-,"1,312,522","1,312,522",-,-
20,10/31/2002,"278,040,498","19,598,131","6,537,383",-,"1,901,869","4,635,514","13,060,748","13,060,748",-,"7,719,626","82,197,819","53,395,639","28,802,181",-,-,-,-,"122,627,726","126,127,726",-,-,-,-,"126,127,726","3,500,000",-,-,-,-,-,"1,633,956",-,-,-,-,-,-,"6,517,134",-,-,-,-,-,"37,746,106","263,749,221","189,190,031","184,721,184",-,"184,721,184","4,468,847","25,713,396",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,342,679","4,342,679",-,-,-,-,-,-,-,-,-,-,"44,503,115","14,291,277","13,040,498","1,484,424","1,484,424",-,"8,710,280","2,845,794",-,-,-,-0.001,"1,250,779","17,383,178","1,484,424","11,556,075",-,"6,523,364","15,898,754","5,038,941","4,342,679",-,"1,290,798","1,290,798",-,-
21,10/31/2001,"287,838,438","26,149,817","5,945,088",-,"1,961,593","3,983,495","20,204,729","20,204,729",-,"9,122,362","97,194,096","66,184,733","31,009,364",-,-,-,-,"119,673,068","120,993,493",-,-,-,-,"120,993,493","1,320,425",-,-,-,-,-,"1,831,455",-,-,-,-,-,-,"6,616,410",-,-,-,-,-,"27,251,230","273,162,990","193,913,664","190,028,567",-,"190,028,567","3,885,098","36,073,639",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,891,287","4,891,287",-,-,-,-,-,-,-,-,-,-,"38,284,399","14,675,448","13,404,222","1,491,827","1,491,827",-,"9,652,436","2,258,372",-,-,-,"1,587","1,271,227","18,295,509","1,491,827","11,912,395",-,"6,787,811","16,803,682","5,295,985","4,891,287",-,"1,256,902","1,256,902",-,-
