,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Defined Pension Benefit,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Dividends Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Long Term Provisions,Employee Benefits,Non Current Pension And Other Post-Retirement Benefit Plans,Current Deferred Liabilities,Current Deferred Taxes Liabilities,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Non Current Deferred Revenue,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
43,7/31/2012,"806,283,000","90,625,000","20,249,000",-,-,"20,249,000","70,376,000","70,376,000","70,376,000","9,437,000","192,016,000","89,851,000","96,294,000",-,"5,871,000","5,322,000","66,786,000","405,204,000","407,722,000",-,-,"407,722,000",-,-,"2,518,000","468,000",-,-,"468,000",-,"4,267,000",-,-,-,-,-,-,"14,637,000","12,463,000","2,174,000","934,000","934,000",-,"16,587,000","758,216,000","485,237,000","485,237,000","197,852,000","287,385,000",-,"34,493,000","34,493,000",-,"250,000","250,000",-,"250,000","250,000",-,-,-,-,-,-,-,-,"32,563,000","69,784,000","20,778,000","20,778,000",-,"736,000",-,-,-,-,"518,000","518,000",-,"26,000","113,831,000","48,067,000","46,585,000","21,746,000","3,395,000","18,351,000","20,943,000","203,000","179,000","3,872,000",-,-,-,"1,482,000","67,363,000","3,395,000","43,190,000",-,"31,948,000","63,968,000","28,553,000","20,778,000","529,000","1,827,800","1,823,400","135,800","4,400"
44,4/30/2012,"773,186,000","92,955,000","21,363,000",-,-,"21,363,000","71,592,000","71,592,000","71,592,000","9,421,000","180,508,000","85,001,000","89,996,000",-,"5,511,000","5,196,000","55,772,000","394,336,000","396,730,000",-,-,"235,032,000","161,698,000",-,"2,394,000","413,000",-,-,"413,000",-,"4,174,000",-,-,-,-,-,-,"14,472,000","12,283,000","2,189,000","1,092,000","1,092,000",-,"14,847,000","727,267,000","495,133,000","495,133,000",-,"495,133,000",-,"67,293,000","67,293,000",-,"82,000","82,000",-,"82,000","82,000",-,-,-,-,-,-,-,-,-,"59,772,000","11,575,000","11,575,000",-,"595,000",-,-,-,-,"459,000","459,000",-,"31,000","92,327,000","45,919,000","44,434,000","3,395,000","3,395,000",-,"19,970,000","18,274,000","164,000","2,959,000",-,-,-,"1,485,000","56,009,000","3,395,000","41,039,000",-,"29,962,000","52,614,000","26,567,000","11,575,000",-,"1,824,400","1,820,400","135,800","4,000"
45,1/31/2012,"773,666,000","80,457,000","15,876,000",-,-,"15,876,000","64,581,000","64,581,000","64,581,000","7,606,000","186,704,000","83,757,000","97,435,000",-,"5,512,000","5,235,000","66,555,000","391,750,000","394,032,000",-,"97,726,000","296,306,000",-,-,"2,282,000","386,000",-,-,"386,000",-,"4,186,000",-,-,-,-,-,-,"14,712,000","12,438,000","2,274,000","1,041,000","1,041,000",-,"15,034,000","728,118,000","496,364,000","492,051,000",-,"492,051,000","4,313,000","58,883,000","58,883,000",-,"97,000","97,000",-,"97,000","97,000",-,-,-,-,-,-,-,-,-,"68,619,000","11,589,000","11,589,000",-,"799,000",-,-,-,-,"8,116,000","510,000","7,606,000","32,000","83,619,000","45,548,000","44,059,000","3,395,000","3,395,000",-,"19,003,000","17,941,000","157,000","3,877,000",-,-,-,"1,489,000","55,648,000","3,395,000","40,664,000",-,"29,347,000","52,253,000","25,952,000","11,589,000",-,"1,811,200","1,807,400","135,800","3,800"
46,10/31/2011,"686,360,000","77,710,000","24,111,000","3,096,000",-,"24,111,000","53,599,000","53,599,000","53,599,000","7,815,000","192,538,000","68,279,000","117,269,000","6,990,000","43,176,000","5,425,000","60,420,000","303,495,000","305,808,000",-,"93,245,000","119,283,000","86,769,000","6,511,000","2,313,000","245,000","7,246,000",-,"245,000",-,"4,084,000","6,256,000","834,000","2,179,000","2,069,000","1,174,000","-2,172,000","16,444,000","14,376,000","2,068,000",-,-,"1,203,000","18,184,000","638,025,000","481,114,000","481,114,000","11,666,000","481,114,000","13,424,000","50,059,000","50,059,000","24,434,000",0,0,"13,821,000",0,0,-,-,"1,702,000",-,-,-,-,-,"24,434,000","63,217,000","11,670,000","11,670,000",-,-,"1,071,000",-,"215,000","215,000","215,000","215,000","7,815,000","32,000","31,718,000","48,335,000","46,852,000","21,812,000","3,395,000","18,417,000","24,339,000","281,000","116,000","536,000",-,-,-,"1,483,000","58,522,000","3,395,000","43,457,000",-,"30,408,000","55,127,000","27,013,000","11,670,000",-,"1,807,700","1,804,900","135,800","2,800"
47,7/31/2011,"664,812,000","87,463,000","19,308,000",-,-,"19,308,000","68,155,000","68,155,000","68,155,000","9,293,000","178,177,000","64,840,000","106,154,000","7,183,000",-,"4,942,000","51,741,000","292,623,000","294,911,000",-,"87,227,000","207,684,000",-,-,"2,288,000",-,-,-,-,-,"4,061,000",-,-,-,-,-,-,"15,855,000","13,814,000","2,041,000",-,-,-,"20,657,000","620,085,000","458,481,000","458,481,000","173,161,000","285,320,000",-,"32,064,000","32,064,000",-,"36,000","36,000",-,"36,000","36,000",-,-,-,-,-,-,-,-,-,"55,733,000","21,493,000","21,493,000",-,-,-,-,-,-,"144,000","144,000",-,"580,000","51,554,000","44,727,000","43,275,000","20,893,000","3,395,000","17,498,000","23,445,000","282,000","104,000","-1,241,000",-,-,-,"1,452,000","64,768,000","3,395,000","39,880,000",-,"27,420,000","61,373,000","24,025,000","21,493,000","2,185,000","1,782,800","1,780,200","135,800","2,600"
48,4/30/2011,"629,867,000","67,099,000","16,758,000",-,-,"16,758,000","50,341,000","50,341,000","50,341,000","9,383,000","177,863,000","66,637,000","103,408,000","7,818,000",-,"4,921,000","50,208,000","280,748,000","283,060,000",-,-,"200,776,000",-,"82,284,000","2,312,000","311,000",-,-,"311,000",-,"4,354,000",-,-,-,-,-,-,"15,849,000","13,685,000","2,164,000",-,-,-,"19,131,000","587,076,000","437,936,000","437,936,000","156,705,000","281,231,000",-,"24,146,000","24,146,000",-,0,0,-,0,0,-,-,-,-,-,-,-,-,-,"55,033,000","12,504,000","12,504,000",-,-,-,-,-,-,"2,000","2,000",-,"580,000","56,875,000","42,791,000","41,330,000","3,395,000","3,395,000",-,"22,623,000","17,569,000","104,000","-2,153,000",-,-,-,"1,461,000","53,834,000","3,395,000","37,935,000",-,"25,481,000","50,439,000","22,086,000","12,504,000",-,"1,777,400","1,774,800","135,800","2,600"
49,1/31/2011,"616,368,000","69,671,000","20,242,000",-,-,"20,242,000","49,429,000","49,429,000","49,429,000","7,822,000","178,233,000","63,922,000","106,604,000","7,707,000",-,"5,277,000","40,484,000","275,110,000","277,457,000",-,"84,385,000","110,050,000","76,115,000","6,907,000","2,347,000","350,000",-,-,-,-,"3,837,000",-,-,-,-,-,-,"16,556,000","14,212,000","2,344,000",-,-,-,"19,028,000","573,380,000","438,458,000","438,458,000",-,"438,458,000",-,"49,524,000","49,524,000",-,0,0,-,0,0,-,-,-,-,-,-,-,-,-,"44,729,000","12,534,000","12,534,000",-,-,-,-,-,-,-,-,-,"582,000","27,553,000","42,988,000","41,524,000","20,370,000","3,395,000","16,975,000","21,914,000","294,000","83,000","-971,000",-,-,-,"1,464,000","54,058,000","3,395,000","38,129,000",-,"24,968,000","50,663,000","21,573,000","12,534,000",-,"1,768,200","1,766,200","135,800","2,000"
50,10/31/2010,"619,545,000","72,368,000","21,710,000","2,574,000",-,"19,136,000","50,658,000","50,658,000","50,658,000","7,757,000","173,861,000","46,924,000","86,194,000","8,318,000","32,425,000","5,485,000","51,675,000","270,020,000","272,329,000",-,"83,481,000","109,750,000","71,507,000","7,591,000","2,309,000","15,037,000","6,905,000",-,"8,132,000",-,"4,247,000","6,532,000","830,000","1,975,000","2,579,000","1,148,000","-2,285,000","16,553,000","14,460,000","2,093,000",-,-,"1,223,000","1,319,000","577,243,000","429,971,000","429,971,000","12,508,000","417,463,000",-,"25,426,000","25,426,000","23,695,000","16,641,000","15,022,000","14,210,000","812,000","812,000",-,-,"1,619,000",-,-,-,-,-,"23,695,000","53,685,000","12,506,000","12,506,000",-,-,"923,000",-,-,-,"460,000","460,000",-,"582,000","13,814,000","42,302,000","42,302,000","20,125,000","3,395,000","16,730,000","20,959,000","305,000","92,000","1,005,000",-,-,-,"1,493,000","54,808,000","3,395,000","38,907,000",-,"25,749,000","51,413,000","22,354,000","12,506,000",-,"1,759,390","1,759,390","135,800",-
51,7/31/2010,"603,467,000","76,454,000","23,446,000",-,-,"23,446,000","53,008,000","53,008,000","53,008,000","7,698,000","171,254,000","58,398,000","103,018,000","9,838,000",-,"5,628,000","48,477,000","258,603,000","260,901,000",-,-,"107,759,000","67,600,000","85,542,000","2,298,000",-,-,-,-,-,"3,934,000",-,-,-,-,-,-,"16,607,000","14,442,000","2,165,000",0,0,-,"14,812,000","560,630,000","421,197,000","421,197,000",-,"421,197,000",-,"25,239,000","25,239,000",-,"447,000","447,000",-,"447,000","447,000",-,-,-,-,-,-,-,-,-,"50,391,000","12,384,000","12,384,000",-,-,-,-,-,-,"317,000","317,000",-,"550,000","50,105,000","42,837,000","41,336,000","19,838,000","3,395,000","16,443,000","20,548,000","313,000","88,000","725,000",-,-,-,"1,501,000","53,720,000","3,395,000","37,941,000",-,"24,729,000","50,325,000","21,334,000","12,384,000",-,"1,753,400","1,750,800","135,800","2,600"
52,4/30/2010,"573,905,000","66,964,000","24,672,000",-,-,"24,672,000","42,292,000","42,292,000","42,292,000","7,973,000","162,073,000","57,799,000","95,307,000","8,967,000",-,"5,298,000","41,764,000","254,001,000","256,319,000",-,"76,655,000","97,891,000","64,394,000","17,379,000","2,318,000",-,-,-,-,-,"3,862,000",-,-,-,-,-,-,"16,567,000","14,280,000","2,287,000","354,000","354,000",-,"15,049,000","533,990,000","404,492,000","404,492,000",-,"404,492,000",-,"44,410,000","44,410,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"44,521,000","12,328,000","12,328,000",-,-,-,-,-,-,"95,000","95,000",-,"550,000","27,594,000","39,915,000","38,424,000","19,397,000","3,394,000","16,003,000","19,956,000","252,000",-,"-1,181,000",-,-,-,"1,491,000","50,752,000","3,394,000","35,030,000",-,"21,857,000","47,358,000","18,463,000","12,328,000",-,"1,736,400","1,736,400","135,800",-
53,1/31/2010,"567,454,000","63,325,000","25,639,000",-,-,"25,639,000","37,686,000","37,686,000","37,686,000","8,483,000","151,932,000","53,379,000","89,173,000","9,380,000",-,"5,419,000","46,427,000","254,097,000","256,557,000",-,"75,751,000","95,510,000","66,420,000","18,876,000","2,460,000",-,-,-,-,-,"3,961,000",-,-,-,-,-,-,"17,312,000","14,855,000","2,457,000",-,-,-,"16,498,000","526,446,000","401,690,000",-,-,-,-,"37,134,000","37,134,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"45,603,000","12,382,000","12,382,000",-,-,-,-,-,-,-,-,-,"550,000","29,087,000","41,008,000","39,474,000","18,941,000","3,393,000","15,548,000","19,356,000","310,000",-,"867,000",-,-,-,"1,534,000","51,856,000","3,393,000","36,081,000",-,"22,162,000","48,463,000","18,769,000","12,382,000",-,"1,724,000","1,724,000","135,800",-
54,10/31/2009,"557,219,000","54,465,000","21,517,000","2,414,000",-,"19,103,000","32,948,000","32,948,000","32,948,000","9,946,000","148,823,000","41,283,000","72,260,000","6,807,000","28,473,000","5,465,000","49,445,000","253,128,000","255,496,000",-,"76,176,000","102,509,000","65,665,000","11,146,000","2,368,000","12,042,000","5,668,000",-,"6,374,000",-,"4,078,000","6,121,000","804,000","1,766,000","2,370,000","1,181,000","-2,043,000","17,561,000","15,015,000","2,546,000",-,-,"1,156,000","1,110,000","518,499,000","391,034,000","391,034,000","5,480,000","385,554,000","12,496,000","16,472,000","16,472,000","17,641,000","14,672,000","13,341,000","13,106,000","235,000","235,000",-,-,"1,331,000",-,-,-,-,-,"17,641,000","48,152,000","12,383,000","12,383,000",-,-,"855,000",-,-,-,-,-,-,"550,000","16,740,000","38,720,000","38,720,000","18,752,000","3,395,000","15,357,000","18,632,000","321,000",-,"1,015,000",-,-,-,"1,559,000","51,103,000","3,395,000","35,325,000",-,"21,159,000","47,708,000","17,764,000","12,383,000",-,"1,719,170","1,719,170","157,800",-
55,7/31/2009,"544,590,000","17,959,000","17,959,000",-,-,"17,959,000",-,-,-,-,"183,307,000","49,756,000","121,328,000","12,223,000",-,"5,865,000","57,374,000","234,350,000","236,329,000",-,-,-,"61,843,000","174,486,000","1,979,000",-,-,-,-,-,"3,887,000",-,-,-,-,-,-,"17,629,000","14,951,000","2,678,000",-,-,-,"24,219,000","505,241,000","388,478,000",-,-,-,-,"19,852,000","19,852,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"55,536,000","12,419,000","12,419,000",-,-,-,-,-,-,-,-,-,"550,000","28,406,000","39,349,000","37,788,000","18,468,000","3,395,000","15,073,000","18,383,000","339,000",-,"598,000",-,-,-,"1,561,000","50,207,000","3,395,000","34,393,000",-,"20,159,000","46,812,000","16,764,000","12,419,000",-,"1,708,200","1,708,200","135,800",-
56,4/30/2009,"574,882,000","13,242,000","13,242,000",-,-,"13,242,000",-,-,-,-,"200,534,000","59,964,000","128,090,000","12,480,000",-,"6,271,000","74,376,000","229,845,000","231,761,000",-,"86,857,000",-,"60,135,000","84,769,000","1,916,000",-,-,-,-,-,"4,166,000",-,-,-,-,-,-,"19,446,000","16,384,000","3,062,000",-,-,-,"27,002,000","533,634,000","401,955,000",-,-,-,-,"18,747,000","18,747,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"68,917,000","12,469,000","12,469,000",-,-,-,-,-,-,-,-,-,"550,000","30,996,000","41,248,000","39,627,000","18,270,000","3,395,000","14,875,000","18,039,000","350,000",-,"2,968,000",-,-,-,"1,621,000","52,096,000","3,395,000","36,232,000",-,"20,181,000","48,701,000","16,786,000","12,469,000",-,"1,701,200","1,701,200","135,800",-
57,1/31/2009,"585,365,044","56,391,347","19,684,120",-,"2,850,295","16,833,825","36,707,227","36,707,227",-,"11,776,057","155,244,592","51,236,480","104,008,112",-,-,-,-,"226,444,199","228,227,630",-,-,-,-,"228,227,630","1,783,432",-,-,-,-,-,"4,202,311",-,-,-,-,-,-,"19,970,501",-,-,-,-,-,"111,336,037","545,688,299","402,229,597","402,229,597",-,"402,229,597",-,"20,682,153",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,495,084","12,495,084",-,-,-,-,-,-,-,-,-,-,"110,281,465","39,676,745","38,050,639","2,770,403","2,770,403",-,"17,985,497","15,120,452",-,"2,173,058",-,-,"1,229","1,626,106","50,545,723","2,770,403","35,280,236",-,"18,080,138","47,775,320","15,309,735","12,495,084",-,"1,697,400","1,697,400","110,800",-
58,10/31/2008,"563,214,286","60,371,573","17,946,128","2,517,000","2,516,835","15,429,293","42,425,445","42,425,445","42,425,000","11,040,164","144,125,782","53,095,238","91,030,544","6,104,000","28,436,000","5,159,000","83,548,000","219,623,617","221,159,211",-,"71,160,000","86,997,000","63,003,000","221,159,211","1,535,594","15,923,000","6,433,000",-,"9,490,000",-,"3,833,574","6,278,000","731,000","1,504,000","2,969,000","1,074,000","-2,445,000","17,983,405","14,842,000","3,141,000",-,-,"637,000","106,236,171","529,980,760","375,693,843","363,658,009","138,766,000","363,658,009","12,035,835","37,171,717","18,654,000","18,518,000","13,510,101","13,510,101","2,334,055",-,-,-,"11,176,046","976,000",-,-,-,-,-,"18,518,000","74,473,000","12,436,267","12,436,267",-,-,"837,000",-,-,-,-,-,-,"550,000","91,168,831","33,233,526","31,673,882","1,874,699","1,874,699","13,241,000","17,857,143","13,590,669",-,"-1,648,629",-,-,-,"1,559,644","44,110,149","1,874,699","29,799,182",-,"13,690,476","42,235,450","11,815,777","12,436,267",-,"1,622,394","1,622,394","75,000",-
59,7/31/2008,"508,839,000","49,302,000","15,164,000",-,"2,719,000","12,445,000","34,138,000","34,138,000",-,"10,844,000","143,136,000","73,670,000","69,466,000",-,-,-,-,"219,796,000","221,243,000",-,-,-,-,"221,243,000","1,447,000",-,-,-,-,-,"3,687,000",-,-,-,-,-,-,"17,530,000",-,-,-,-,-,"64,544,000","477,010,000","354,218,000","306,776,000",-,"306,776,000","47,442,000","39,551,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13,478,000","13,478,000",-,-,-,-,-,-,-,-,-,-,"69,763,000","31,829,000","31,293,000","1,625,000","1,625,000",-,"17,362,000","13,445,000",-,"-1,139,000",-,-,-,"536,000","44,771,000","1,625,000","29,668,000",-,"13,763,000","43,146,000","12,138,000","13,478,000",-,"1,614,600","1,614,600",-,-
60,4/30/2008,"503,620,655","51,185,453","18,118,344",-,"2,519,590","15,598,754","33,067,109","33,067,109",-,"10,847,900","147,837,050","83,084,187","64,752,863",-,-,-,-,"208,426,763","209,796,062",-,-,-,-,"209,796,062","1,369,299",-,-,-,-,-,"3,715,089",-,-,-,-,-,-,"17,985,734",-,-,-,-,-,"63,622,664","472,491,461","185,490,255","185,490,255",-,"185,490,255",-,"38,395,620",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,466,345","12,466,345",-,-,-,-,-,-,-,-,-,-,"236,139,241","31,129,194","30,594,736","1,125,176","1,125,176",-,"16,863,572","13,200,723",-,"-594,736",-,-,0.001,"534,459","43,061,081","1,125,176","29,469,560",-,"12,609,001","41,935,905","11,483,826","12,466,345",-,"1,605,800","1,605,800",-,-
61,1/31/2008,"435,152,610","49,369,478","15,135,542",-,"2,036,145","13,099,398","34,233,936","34,233,936",-,"10,632,530","119,713,855","73,650,602","46,063,253",-,-,-,-,"181,831,325","183,193,775",-,-,-,-,"183,193,775","1,362,450",-,-,-,-,-,"1,817,269",-,-,-,-,-,-,"9,849,398",-,-,-,-,-,"61,938,755","411,690,763","285,682,731","239,042,169",-,"239,042,169","46,640,562","43,314,257",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,938,755","11,938,755",-,-,-,-,-,-,-,-,-,-,"70,755,020","23,461,847","22,940,763","875,502","875,502",-,"16,498,996","6,753,012",-,"-1,186,747",-,-,-,"521,084","34,879,518","875,502","22,065,261",-,"13,091,365","34,004,016","12,215,863","11,938,755",-,"1,438,000","1,438,000",-,-
62,10/31/2007,"422,123,735","44,184,089","16,535,806","1,790,000","1,789,802","14,746,003","27,648,283","27,648,283","27,648,000","9,279,160","123,035,664","77,636,931","45,398,732","5,454,000","23,127,000","4,515,000","36,052,000","175,915,240","177,210,292",-,"45,493,000","73,232,000","58,485,000","177,210,292","1,295,053","15,822,000","8,524,000",-,"7,298,000",-,"1,821,966","3,888,000","214,000","743,000","2,123,000","808,000","-2,066,000","10,021,758","7,918,000","2,104,000",-,-,"618,000","57,865,859","400,195,819","276,392,962","231,529,657","83,484,000","231,529,657","44,863,305","40,769,085","16,574,000","24,195,000","18,509,129","18,509,129","1,960,079","916,000","916,000",-,"16,549,049",-0.001,-,-,-,-,-,"24,195,000","39,028,000","9,449,437","9,449,437",-,-,"777,000",-,-,-,-,-,-,"1,449,000","55,075,206","21,927,916","21,403,841","424,747","424,747","6,577,000","15,954,025","6,695,677",-,"-1,670,608",-,-,-,"524,075","30,853,278","424,747","20,979,094",-,"11,382,083","30,428,531","10,957,336","9,449,437",-,"1,437,450","1,437,450",-,-
63,7/31/2007,"403,889,895","39,233,308","13,328,719",-,"1,985,944","11,342,775","25,904,590","25,904,590",-,"9,191,779","148,948,994","104,211,479","44,737,515",-,-,-,-,"171,952,934","173,309,552",-,-,-,-,"173,309,552","1,356,618",-,-,-,-,-,"1,824,087",-,-,-,-,-,-,"10,670,855",-,-,-,-,-,"22,067,937","382,349,058","267,736,130","267,736,130",-,"267,736,130",-,"42,782,451",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,005,324","10,005,324",-,-,-,-,-,-,-,-,-,-,"61,825,152","21,540,837","21,003,088","424,875","424,875",-,"15,377,489","6,642,530",-,"-1,442,871",-,-,"1,065","537,749","31,008,412","424,875","20,578,213",-,"10,332,233","30,583,537","9,907,358","10,005,324",-,"1,436,600","1,436,600",-,-
64,4/30/2007,"396,734,332","37,224,626","11,790,349",-,"1,994,454","9,795,896","25,434,276","25,434,276",-,"9,233,500","118,509,151","69,092,623","49,416,528",-,-,-,-,"169,903,494","171,281,198",-,-,-,-,"171,281,198","1,377,704",-,-,-,-,-,"1,904,603",-,-,-,-,-,-,"11,307,820",-,-,-,-,-,"48,651,137","374,946,201","270,161,952","270,161,952",-,"270,161,952",-,"36,464,781",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,210,205","9,210,205",-,-,-,-,-,-,-,-,-,-,"59,109,262","21,788,131","21,774,820","424,847","424,847",-,"14,865,225","6,579,035",-,"-94,287",-,-,-,"13,311","30,985,025","424,847","21,349,972",-,"10,466,999","30,560,177","10,042,152","9,210,205",-,"1,439,800","1,439,800",-,-
65,1/31/2007,"408,216,343","43,194,591","10,837,155",-,"2,112,875","8,724,280","32,357,437","32,357,437",-,"8,424,456","157,061,728","104,941,799","52,119,929",-,-,-,-,"162,871,252","164,237,507",-,-,-,-,"164,237,507","1,366,255",-,-,-,-,-,"1,876,543",-,-,-,-,-,-,"10,071,723",-,-,-,-,-,"24,716,049","384,593,768","269,688,419","269,688,419",-,"269,688,419",-,"46,826,573",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,208,701","9,208,701",-,-,-,-,-,-,-,-,-,-,"58,870,076","23,622,575","21,015,873","6,841,858","424,456","6,417,402","14,375,073","68,195",-,"-266,902",-,-,"-2,352","2,606,702","30,224,574","424,456","20,591,417",-,"10,944,151","29,800,118","10,519,694","9,208,701",-,"1,438,000","1,438,000",-,-
66,10/31/2006,"392,913,722","41,743,521","10,782,004","2,019,000","2,019,522","8,762,482","30,961,517","30,961,517","30,961,000","8,676,091","152,303,377","105,327,050","46,976,327",-,-,"4,379,000","27,845,000","160,608,101","161,925,278",-,"40,514,000","67,986,000","53,425,000","161,925,278","1,317,177","11,899,473","1,458,544","1,458,544","10,440,929",-,"1,862,448","3,789,000","229,000","760,000","2,045,000","755,000","-1,927,000","9,342,533","7,396,000","1,946,000",-,-,"603,000","6,478,178","370,842,589","260,907,663","250,362,392","114,271,000","250,362,392","10,545,271","45,767,979","18,655,000","27,113,000","11,896,107","11,896,107","1,980,254","358,000","358,000",-,"9,915,853","826,000",-,-,-,-,-,"27,113,000","29,337,000","8,694,042","8,694,042",-,-,"581,000",-,-,-,-,-,-,-,"43,576,798","22,071,132","19,631,998","425,222","425,222","6,334,000","13,724,896","6,399,641",-,"-917,761","-918,000",-,-,"2,439,134","28,326,041","425,222","19,206,777",-,"10,289,465","27,900,819","9,864,243","8,694,042",-,"1,437,340","1,437,340",-,-
67,7/31/2006,"385,844,553","40,048,648","12,194,818",-,"1,958,366","10,236,452","27,853,830","27,853,830",-,"7,244,032","121,559,000","73,733,454","47,825,546",-,-,-,-,"158,746,465","160,026,021",-,-,-,-,"160,026,021","1,279,557",-,-,-,-,-,"1,864,464",-,-,-,-,-,-,"9,418,486",-,-,-,-,-,"46,963,457","363,988,008","255,786,854","255,786,854",-,"255,786,854",-,"43,584,116",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,914,809","6,914,809",-,-,-,-,-,-,-,-,-,-,"57,702,229","21,856,545","19,427,537","425,387","425,387",-,"13,544,519","6,409,096",-,"-951,465",-,-,-,"2,429,008","26,342,346","425,387","19,002,150",-,"10,009,051","25,916,959","9,583,663","6,914,809",-,"1,441,600","1,441,600",-,-
68,4/30/2006,"388,595,512","44,685,721","12,341,186",-,"2,046,444","10,294,742","32,344,535","32,344,535",-,"7,034,721","148,086,413","105,239,478","42,846,935",-,-,-,-,"156,572,513","157,863,124",-,-,-,-,"157,863,124","1,290,611","3,763,537",-,-,-,-,"1,856,648",-,-,-,-,-,-,"4,041,532",-,-,-,-,-,"22,554,427","366,782,405","252,990,957","252,990,957",-,"252,990,957",-,"44,020,319",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,534,442","9,534,442",-,-,-,-,-,-,-,-,-,-,"60,236,686","21,813,107","19,283,242","6,670,760","425,366","6,245,395","13,069,108","51,356",-,"-506,866",-,-,"-1,116","2,529,865","28,817,684","425,366","18,857,877",-,"15,241,710","28,392,319","14,816,345","9,534,442",-,"1,437,600","1,437,600",-,-
69,1/31/2006,"384,377,560","38,230,542","13,383,022",-,"2,157,487","11,225,535","24,847,519","24,847,519",-,"6,698,908","158,484,297","108,781,293","49,703,004",-,-,-,-,"154,959,035","156,316,568",-,-,-,-,"156,316,568","1,357,533",-,-,-,-,-,"1,701,183",-,-,-,-,-,-,"9,650,660",-,-,-,-,-,"14,652,936","363,057,579","256,284,706","256,284,706",-,"256,284,706",-,-,-,-,-,-,-,-,-,-,-,-,"38,876,878","38,876,878",-,-,"38,876,878",-,-,"9,017,979","9,017,979",-,-,-,-,-,-,-,-,-,-,"58,878,015","21,319,982","18,472,918","424,442","424,442",-,"12,652,481","6,061,675",-,"-665,680",-,-,0.001,"2,847,064","27,490,897","424,442","18,048,475",-,"8,822,258","65,943,332","8,397,815","47,894,857","34,511,834","1,423,600","1,423,600",-,-
