,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Defined Pension Benefit,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Dividends Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Long Term Provisions,Employee Benefits,Non Current Pension And Other Post-Retirement Benefit Plans,Current Deferred Liabilities,Current Deferred Taxes Liabilities,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Non Current Deferred Revenue,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
10,10/31/2020,"1,715,865,000","339,756,000","170,594,000","6,445,000",-,"164,149,000","169,162,000","169,162,000","169,162,000","14,941,000","344,251,000","148,318,000","240,966,000",-,"103,285,000","12,174,000","54,242,000","865,841,000","874,130,000","2,502,000","255,799,000","217,794,000","252,219,000","148,318,000","8,289,000","33,951,000","13,135,000",-,"33,951,000","1,150,000","10,136,000","13,791,000","1,924,000","7,306,000","2,241,000","2,320,000","-3,655,000","19,273,000","17,148,000","2,125,000","2,444,000","2,444,000","9,000","18,856,000","1,620,366,000","1,154,510,000","1,154,510,000","28,969,000","1,125,541,000",-,"188,876,000","188,876,000","34,999,000","35,143,000","35,143,000","35,143,000","275,000","275,000",-,-,"2,900,000","121,540,000","121,540,000","20,704,000","90,290,000","10,546,000","94,664,000","53,203,000","40,963,000","40,963,000","6,095,000","1,569,000","3,302,000","3,302,000",-,-,"284,000","284,000",-,-,"53,007,000","95,499,000","95,499,000","28,137,000","5,650,000","22,487,000","53,845,000","121,000","41,000","13,437,000",-,-,-,-,"136,462,000","5,650,000","89,849,000","6,095,000","76,226,000","130,812,000","70,576,000","40,963,000","81,805,000","1,816,108","1,815,608","226,000",500
11,7/31/2020,"1,697,305,000","326,601,000","166,929,000","5,410,000",-,"161,519,000","159,672,000","159,672,000","159,672,000","13,394,000","458,982,000","131,565,000","213,013,000",-,"114,404,000","10,014,000","77,320,000","741,864,000","749,997,000","3,053,000","268,409,000","215,034,000","246,137,000","17,364,000","8,133,000","34,787,000","12,160,000",-,"22,627,000","1,136,000","9,625,000",-,-,-,-,-,-,"19,461,000","17,229,000","2,232,000","1,956,000","1,956,000","13,000","2,152,000","1,604,839,000","870,568,000","870,568,000","20,171,000","850,397,000",-,"171,881,000","171,881,000","33,783,000","25,845,000","23,270,000","22,969,000","301,000","301,000",-,-,"2,575,000","153,672,000","153,672,000","29,234,000","113,624,000","10,814,000","134,122,000","80,685,000","135,636,000","130,128,000","5,508,000","1,505,000","3,787,000","3,787,000",-,-,"295,000","295,000",-,-,"26,843,000","92,466,000","92,466,000","28,161,000","5,800,000","22,361,000","49,934,000","128,000","64,000","14,307,000",-,-,-,-,"222,594,000","5,800,000","86,666,000","5,508,000","73,005,000","370,466,000","67,205,000","289,308,000","116,871,000","1,813,000","1,812,100","232,000",900
12,4/30/2020,"1,673,745,000","321,181,000","153,390,000","5,297,000",-,"148,093,000","167,791,000","167,791,000","167,791,000","14,395,000","406,288,000","118,662,000","169,956,000",-,"117,670,000","10,175,000","73,836,000","765,849,000","772,774,000","3,035,000","293,533,000","216,912,000","243,450,000","15,844,000","6,925,000","47,387,000","12,820,000",-,"34,567,000","1,231,000","9,858,000",-,-,-,-,-,-,"20,192,000","17,823,000","2,369,000","1,623,000","1,623,000","13,000","1,717,000","1,580,411,000","860,281,000","860,281,000","24,545,000","835,736,000",-,"163,717,000","163,717,000","28,731,000","36,932,000","34,861,000","34,730,000","131,000","131,000",-,-,"2,071,000","148,662,000","148,662,000","32,187,000","105,836,000","10,639,000","122,895,000","72,990,000","143,470,000","137,774,000","5,696,000","1,419,000","3,045,000","3,045,000",-,-,"283,000","283,000",-,-,"26,717,000","93,334,000","93,334,000","27,566,000","5,800,000","21,766,000","49,702,000","124,000","28,000","15,970,000",-,-,-,-,"231,108,000","5,800,000","87,534,000","5,696,000","73,142,000","373,970,000","67,342,000","292,132,000","133,046,000","1,803,700","1,803,400","232,000",300
13,1/31/2020,"1,457,429,000","204,925,000","39,130,000","5,073,000",-,"34,057,000","165,795,000","165,795,000","165,795,000","14,155,000","399,094,000","149,934,000","143,438,000",-,"105,722,000","9,456,000","45,604,000","710,059,000","714,742,000","2,150,000","241,617,000","217,672,000","238,560,000","14,743,000","4,683,000","40,255,000","11,345,000",-,"28,910,000","1,193,000","9,624,000",-,-,-,-,-,-,"19,469,000","17,047,000","2,422,000","1,803,000","1,803,000","13,000","1,779,000","1,368,627,000","686,062,000","686,062,000","17,223,000","668,839,000",-,"126,296,000","126,296,000","37,488,000","35,421,000","33,329,000","33,314,000","15,000","15,000",-,-,"2,092,000","151,170,000","151,170,000","23,958,000","120,774,000","6,438,000","149,528,000","45,535,000","142,058,000","136,412,000","5,646,000","969,000","3,036,000","3,036,000",-,-,"193,000","193,000",-,-,"28,359,000","88,802,000","88,802,000","27,573,000","5,800,000","21,773,000","50,119,000","161,000","138,000","11,087,000",-,-,-,-,"225,214,000","5,800,000","83,002,000","5,646,000","69,333,000","370,584,000","63,533,000","293,228,000","248,452,000","1,810,000","1,808,200","232,000","1,800"
14,10/31/2019,"1,415,290,000","196,381,000","30,446,000","4,863,000",-,"25,583,000","165,935,000","165,935,000","165,935,000","13,494,000","252,144,000","146,000,000","141,040,000",-,"111,104,000","9,316,000","48,894,000","830,608,000","835,055,000","2,124,000","236,517,000","216,898,000","235,640,000","146,000,000","4,447,000","20,575,000","11,548,000",-,"20,575,000","1,297,000","5,513,000","8,778,000","987,000","3,488,000","2,164,000","2,139,000","-3,265,000","19,479,000","16,976,000","2,503,000","1,799,000","1,799,000","13,000","17,087,000","1,327,589,000","913,862,000","913,862,000","16,751,000","897,111,000",-,"125,856,000","125,856,000","29,656,000","23,746,000","23,746,000","23,746,000","169,000","169,000",-,-,"3,245,000","140,251,000","140,251,000","20,636,000","110,867,000","8,748,000","134,787,000","50,051,000","37,869,000","37,869,000",-,"1,095,000","2,781,000","2,781,000",-,-,"193,000","193,000",-,-,"41,418,000","87,701,000","87,701,000","27,513,000","5,800,000","21,713,000","49,497,000","157,000","47,000","10,581,000",-,-,-,0,"125,570,000","5,800,000","81,901,000",-,"68,222,000","119,770,000","62,422,000","37,869,000","7,423,000","1,813,087","1,812,487","232,000",600
15,7/31/2019,"1,405,442,000","202,353,000","39,709,000","5,012,000",-,"34,697,000","162,644,000","162,644,000","162,644,000","15,219,000","371,617,000","130,313,000","126,441,000",-,"114,863,000","9,108,000","52,555,000","689,617,000","693,386,000","1,837,000","233,374,000","214,978,000","231,349,000","11,848,000","3,769,000","35,065,000","11,571,000",-,"23,494,000","1,303,000","5,463,000",-,-,-,-,-,-,"19,571,000","17,006,000","2,565,000","1,898,000","1,898,000","10,000","1,663,000","1,319,060,000","660,035,000","660,035,000","16,560,000","643,475,000",-,"123,208,000","123,208,000","35,299,000","31,253,000","28,323,000","28,214,000","109,000","109,000",-,-,"2,930,000","145,345,000","145,345,000","18,204,000","117,501,000","9,640,000","131,073,000","53,569,000","140,266,000","140,266,000",-,"1,461,000","2,520,000","2,520,000",-,-,"195,000","195,000",-,-,"30,135,000","86,382,000","86,382,000","27,522,000","5,800,000","21,722,000","48,818,000","157,000","48,000","9,933,000",-,-,-,0,"226,648,000","5,800,000","80,582,000",-,"66,811,000","366,193,000","61,011,000","285,611,000","245,902,000","1,819,800","1,819,200","218,000",600
16,4/30/2019,"1,356,588,000","183,411,000","33,462,000","5,009,000",-,"28,453,000","149,949,000","149,949,000","149,949,000","16,189,000","363,386,000","121,470,000","119,125,000",-,"122,791,000","9,027,000","43,624,000","677,268,000","681,046,000","2,318,000","229,423,000","210,712,000","227,258,000","11,335,000","3,778,000","33,213,000","11,756,000",-,"21,457,000","1,408,000","5,500,000",-,-,-,-,-,-,"19,855,000","17,232,000","2,623,000","2,136,000","2,136,000","10,000","1,561,000","1,271,690,000","699,536,000","699,536,000","19,669,000","679,867,000",-,"107,885,000","107,885,000","36,365,000","28,225,000","25,687,000","25,538,000","149,000","149,000",-,-,"2,538,000","127,037,000","127,037,000","16,400,000","101,891,000","8,746,000","94,148,000","42,199,000","138,470,000","138,470,000",-,"1,522,000","2,230,000","2,230,000",-,-,"192,000","192,000",-,-,"30,246,000","84,898,000","84,898,000","27,068,000","5,350,000","21,718,000","47,980,000","162,000","55,000","9,743,000",-,-,-,0,"223,368,000","5,350,000","79,548,000",-,"65,043,000","345,055,000","59,693,000","265,507,000","232,045,000","1,829,100","1,828,400","200,000",700
17,1/31/2019,"1,322,506,000","168,482,000","36,052,000","4,381,000",-,"31,671,000","132,430,000","132,430,000","132,430,000","17,881,000","350,009,000","110,957,000","114,797,000",-,"124,255,000","8,679,000","45,094,000","661,579,000","665,308,000","1,998,000","218,829,000","207,668,000","225,700,000","11,113,000","3,729,000","40,680,000","11,528,000",-,"29,152,000","1,285,000","5,353,000",-,-,-,-,-,-,"19,588,000","16,941,000","2,647,000","2,266,000","2,266,000","9,000","1,601,000","1,240,836,000","712,121,000","712,121,000","16,766,000","695,355,000",-,"94,762,000","94,762,000","38,890,000","34,273,000","32,110,000","32,073,000","37,000","37,000",-,-,"2,163,000","124,222,000","124,222,000","16,345,000","97,216,000","10,661,000","65,775,000","42,665,000","130,727,000","130,727,000",-,"1,515,000","2,062,000","2,062,000",-,-,"187,000","187,000",-,-,"32,527,000","81,670,000","81,670,000","27,011,000","5,350,000","21,661,000","46,660,000","158,000","142,000","7,983,000",-,-,-,0,"212,397,000","5,350,000","76,320,000",-,"62,082,000","331,269,000","56,732,000","254,949,000","218,897,000","1,832,800","1,830,800","200,000","2,000"
18,10/31/2018,"1,334,903,000","162,834,000","35,455,000","4,735,000",-,"30,720,000","127,379,000","127,379,000","127,379,000","17,267,000","245,404,000","127,897,000","114,804,000",-,"130,600,000","8,445,000","56,996,000","774,290,000","777,839,000","2,745,000","217,654,000","207,097,000","225,191,000","127,897,000","3,549,000","26,940,000","11,281,000",-,"26,940,000","950,000","5,324,000","8,486,000","971,000","3,378,000","2,144,000","1,993,000","-3,162,000","18,995,000","16,536,000","2,459,000","2,812,000","2,812,000","113,000","15,596,000","1,254,863,000","966,143,000","966,143,000","16,712,000","949,431,000",-,"93,389,000","93,389,000","39,478,000","28,385,000","28,385,000","28,385,000","84,000","84,000",-,-,"3,344,000","132,301,000","132,301,000","19,626,000","106,971,000","5,704,000","39,478,000","48,270,000","36,041,000","36,041,000",-,"1,502,000","1,747,000","1,747,000",-,-,"175,000","175,000",-,-,"43,157,000","80,040,000","79,047,000","26,221,000","5,000,000","21,221,000","46,145,000","193,000","151,000","6,639,000",-,-,-,"993,000","115,088,000","5,000,000","74,047,000",-,"60,052,000","110,088,000","55,052,000","36,041,000","586,000","1,832,496","1,830,396","184,000","2,100"
19,7/31/2018,"1,292,504,000","169,138,000","40,119,000","5,541,000",-,"34,578,000","129,019,000","129,019,000","129,019,000","15,090,000","237,102,000","124,061,000","106,950,000",-,"130,152,000","8,175,000","47,567,000","759,289,000","762,824,000",-,"214,585,000","202,401,000","221,777,000","124,061,000","3,535,000","26,818,000","10,778,000",-,"16,040,000","895,000","5,212,000",-,-,-,-,-,-,"18,843,000","16,360,000","2,483,000","2,724,000","2,724,000","65,000","1,586,000","1,214,817,000","946,167,000","946,167,000","19,609,000","926,558,000",-,"94,609,000","94,609,000","39,354,000","23,559,000","20,475,000","20,408,000","67,000","67,000",-,-,"3,084,000",-,-,-,-,-,"39,377,000","42,966,000","34,337,000","34,337,000",-,"1,362,000","2,026,000","2,026,000",-,-,"178,000","178,000",-,-,"30,236,000","77,687,000","76,694,000","25,949,000","4,850,000","21,099,000","44,223,000","195,000","171,000","6,498,000",-,-,-,"993,000","111,031,000","4,850,000","71,844,000",-,"57,851,000","106,181,000","53,001,000","34,337,000",-,"1,828,600","1,826,100","194,000","2,500"
