,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Credit Card,Other Customer Services,Fees & Commission Expense,Dividend Income,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Other Special Charges,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"47,604,000","28,784,000","51,566,000","35,434,000","35,434,000","13,159,000","2,973,000",-,"22,782,000","16,767,000","1,104,000","4,911,000","18,820,000","5,437,000","12,109,000","12,496,000","4,233,000",-,"2,952,000",-,"387,000",-,"307,000",0,0,-,-,"409,000","-1,685,000","27,781,000","3,673,000","1,693,000","1,980,000","2,318,000","16,994,000","16,994,000","13,874,000","3,120,000",-,"1,431,000","581,000","581,000","581,000","581,000","4,215,000","44,000",-,"-429,000","1,642,000","18,182,000","3,949,000","1,045,000","14,979,000","15,278,000","15,278,000","15,278,000",-,"299,000","14,979,000",-,-,-,-,"27,099,000","15,278,000","15,243,556","2,973,000","1,762,000","15,278,000","44,000","44,000",0,"9,556"
1,4/30/2023,"12,429,000","7,428,000","19,307,000","12,673,000","12,673,000","5,100,000","1,534,000",-,"11,879,000","9,042,000","313,000","2,524,000","5,001,000","1,359,000","3,345,000","3,456,000","2,744,000",-,"712,000",-,"111,000",-,"289,000","1,000","1,000",-,-,"7,000","-600,000","7,423,000","1,007,000","446,000","561,000","630,000","5,073,000","4,687,000","3,883,000","804,000",-,"386,000","170,000","170,000","170,000","170,000","543,000","-430,000",-,"391,000","39,000","3,976,000","866,000","241,000","3,141,000","3,351,000","3,351,000","3,351,000",-,"210,000","3,141,000",1.72,1.72,"1,828,300","1,830,300","6,828,000","3,351,000","3,687,260","1,534,000","479,000","3,351,000","-430,000","-430,000",0,"-93,740"
2,1/31/2023,"13,010,000","7,733,000","18,056,000","11,779,000","11,779,000","4,851,000","1,426,000",-,"10,323,000","7,795,000","333,000","2,195,000","5,277,000","1,374,000","3,161,000","3,253,000","2,484,000",-,"769,000",-,"92,000",-,"678,000",0,0,-,-,"64,000","-690,000","7,436,000","955,000","433,000","522,000","568,000","4,734,000","4,734,000","3,758,000","976,000",-,"313,000","142,000","142,000","142,000","142,000","1,037,000","-2,640,000",-,"1,037,000","1,603,000","2,244,000","947,000","285,000","1,499,000","1,582,000","1,582,000","1,582,000",-,"83,000","1,499,000",0.82,0.82,"1,820,700","1,823,100","7,043,000","1,582,000","3,166,000","1,426,000","431,000","1,582,000","-2,640,000","-2,640,000",0,"-1,056,000"
3,10/31/2022,"11,926,000","7,630,000","14,699,000","9,793,000","9,793,000","3,919,000","987,000",-,"7,069,000","5,255,000","290,000","1,524,000","4,296,000","1,310,000","2,633,000","2,730,000","-3,331,000",-,"750,000",-,"97,000",-,"-219,000",0,0,-,-,"14,000","-617,000","6,841,000","954,000","433,000","521,000","692,000","4,230,000","4,230,000","3,507,000","723,000",-,"403,000","147,000","147,000","147,000","147,000","818,000","3,210,000",-,"-2,216,000",0,"7,678,000","1,297,000","290,000","6,564,000","6,671,000","6,671,000","6,671,000",-,"107,000","6,564,000",-,-,-,-,"7,013,000","6,671,000","4,003,247","987,000","463,000","6,671,000","3,210,000","3,210,000",0,"542,247"
4,7/31/2022,"11,503,000","7,044,000","10,782,000","7,674,000","7,674,000","2,679,000","429,000",-,"3,738,000","2,670,000","265,000","803,000","4,459,000","1,406,000","3,150,000","3,250,000","2,499,000",-,"751,000",-,"100,000",-,"-132,000",0,0,-,-,"35,000","-351,000","6,773,000","887,000","417,000","470,000","545,000","4,156,000","4,156,000","3,327,000","829,000","329,000","329,000","145,000","145,000","145,000","145,000","1,040,000","-730,000",-,"730,000",-,"3,649,000","703,000","268,000","3,171,000","3,214,000","3,214,000","3,214,000",-,"43,000","3,171,000",1.76,1.75,"1,804,500","1,807,100","6,693,000","3,214,000","3,803,110","429,000","430,000","3,214,000","-730,000","-730,000",0,"-140,890"
5,4/30/2022,"11,165,000","6,377,000","8,029,000","6,188,000","6,188,000","1,710,000","131,000","443,000","1,652,000","1,047,000","216,000","389,000","4,788,000","1,347,000","3,165,000","3,263,000","2,581,000",-,"682,000",-,"98,000","443,000","-20,000",0,0,-,-,"296,000","-27,000","6,731,000","877,000","410,000","467,000","513,000","3,874,000","3,874,000","3,282,000","592,000","336,000","336,000","147,000","147,000","147,000","147,000","1,320,000","204,000",-,"20,000","-224,000","4,611,000","1,002,000","202,000","3,745,000","3,811,000","3,811,000","3,811,000",-,"66,000","3,745,000",2.08,2.07,"1,804,700","1,808,300","6,350,000","3,811,000","3,651,268","131,000","438,000","3,811,000","204,000","204,000",0,"44,268"
6,1/31/2022,"11,168,000","6,302,000","7,522,000","6,011,000","6,011,000","1,442,000","69,000","431,000","1,220,000","776,000","199,000","245,000","4,866,000","1,317,000","3,331,000","3,444,000","2,737,000",-,"707,000",-,"113,000","431,000","114,000",0,0,-,-,"104,000","-72,000","6,560,000","844,000","400,000","444,000","440,000","4,034,000","4,034,000","3,278,000","756,000","287,000","287,000","160,000","160,000","160,000","160,000","1,082,000","-50,000",-,"50,000",-,"4,486,000","984,000","231,000","3,690,000","3,733,000","3,733,000","3,733,000",-,"43,000","3,690,000",2.03,2.02,"1,820,500","1,824,100","6,230,000","3,733,000","3,772,050","69,000","435,000","3,733,000","-50,000","-50,000",0,"-10,950"
7,10/31/2021,"10,829,000","6,262,000","7,439,000","6,009,000","6,009,000","1,354,000","76,000","394,000","1,177,000","776,000","181,000","220,000","4,567,000","1,248,000","3,189,000","3,301,000","2,650,000",-,"651,000",-,"112,000","394,000","-12,000","-101,000","-101,000",-,-,"243,000","123,000","6,515,000","889,000","440,000","449,000","568,000","3,701,000","3,701,000","3,051,000","650,000","378,000","378,000","179,000","179,000","179,000","179,000","1,178,000","30,000",-,"-80,000",-,"4,467,000","910,000","224,000","3,718,000","3,781,000","3,781,000","3,781,000",-,"63,000","3,718,000",-,-,-,-,"6,385,000","3,781,000","3,757,111","76,000","475,000","3,781,000","30,000","30,000",0,"6,111"
8,7/31/2021,"10,603,000","6,004,000","7,306,000","5,933,000","5,933,000","1,299,000","74,000","362,000","1,302,000","871,000","190,000","241,000","4,599,000","1,313,000","3,114,000","3,223,000","2,591,000",-,"632,000",-,"109,000","362,000","-16,000","111,000","111,000",-,-,"77,000","37,000","6,314,000","827,000","409,000","418,000","390,000","3,882,000","3,882,000","3,046,000","836,000","286,000","286,000","174,000","174,000","174,000","174,000","1,041,000","-29,000",-,"29,000",-,"4,297,000","922,000","170,000","3,489,000","3,545,000","3,545,000","3,545,000",-,"56,000","3,489,000",1.92,1.92,"1,818,800","1,821,800","6,041,000","3,545,000","3,567,765","74,000","469,000","3,545,000","-29,000","-29,000",0,"-6,235"
9,4/30/2021,"10,120,000","5,835,000","7,226,000","5,827,000","5,827,000","1,318,000","81,000","443,000","1,391,000","964,000","176,000","251,000","4,285,000","1,088,000","2,984,000","3,092,000","2,535,000",-,"557,000",-,"108,000","443,000","69,000","-231,000","-231,000",-,-,"375,000","377,000","6,026,000","911,000","488,000","423,000","349,000","3,566,000","3,566,000","3,125,000","441,000","272,000",-,"173,000","173,000","173,000","173,000","1,027,000","-36,000",-,"36,000",-,"4,435,000","962,000","222,000","3,630,000","3,695,000","3,695,000","3,695,000",-,"65,000","3,630,000",2.00,1.99,"1,817,400","1,819,900","6,212,000","3,695,000","3,723,191","81,000","543,000","3,695,000","-36,000","-36,000",0,"-7,809"
10,1/31/2021,"10,714,000","6,030,000","7,610,000","6,190,000","6,190,000","1,344,000","76,000","395,000","1,580,000","1,131,000","170,000","279,000","4,684,000","1,228,000","3,008,000","3,106,000","2,511,000",-,"595,000",-,"98,000","395,000","272,000","62,000","62,000",-,-,"114,000","-313,000","6,404,000","949,000","545,000","404,000","313,000","3,936,000","3,936,000","3,156,000","780,000","267,000","267,000","180,000","180,000","180,000","180,000","1,026,000","-62,000",-,"62,000",-,"3,935,000","827,000","169,000","3,212,000","3,277,000","3,277,000","3,277,000",-,"65,000","3,212,000",1.77,1.77,"1,814,200","1,815,800","5,717,000","3,277,000","3,325,980","76,000","579,000","3,277,000","-62,000","-62,000",0,"-13,020"
11,10/31/2020,"11,750,000","6,367,000","7,764,000","6,278,000","6,278,000","1,416,000","70,000","404,000","1,397,000","891,000","169,000","337,000","5,383,000","1,130,000","2,800,000","2,894,000","2,328,000",-,"566,000",-,"94,000","404,000","246,000","16,000","16,000",-,-,"1,191,000","-917,000","6,228,000","1,002,000","640,000","362,000","347,000","3,735,000","3,511,000","2,881,000","630,000",-,"224,000","207,000","207,000","207,000","207,000","937,000","-17,000",-,"17,000",-,"4,588,000","-202,000","353,000","5,079,000","5,143,000","5,143,000","5,143,000",0,"64,000","5,079,000",2.80,2.80,"1,812,700","1,813,900","5,450,000","5,143,000","5,155,495","70,000","636,000","5,143,000","-17,000","-17,000",0,"-4,505"
12,7/31/2020,"11,032,000","6,483,000","8,066,000","6,527,000","6,527,000","1,484,000","55,000","359,000","1,583,000","1,053,000","185,000","345,000","4,549,000","1,177,000","2,667,000","2,756,000","2,298,000",-,"458,000",-,"89,000","359,000","474,000","231,000","231,000",-,-,"-456,000","-2,188,000","6,454,000","771,000","450,000","321,000","248,000","4,007,000","3,855,000","3,050,000","805,000",-,"152,000","203,000","203,000","203,000","203,000","1,225,000","-25,000",-,"25,000",-,"2,365,000","445,000","328,000","2,180,000","2,248,000","2,248,000","2,248,000",0,"68,000","2,180,000",1.21,1.21,"1,802,300","1,803,500","4,295,000","2,248,000","2,268,300","55,000","503,000","2,248,000","-25,000","-25,000",0,"-4,700"
13,4/30/2020,"10,434,000","6,460,000","9,423,000","7,324,000","7,324,000","1,994,000","105,000","416,000","2,963,000","2,146,000","201,000","616,000","3,974,000","1,127,000","2,775,000","2,869,000","2,359,000",-,"510,000",-,"94,000","416,000","368,000","-186,000","-186,000",-,-,"-110,000","-3,218,000","5,675,000","783,000","462,000","321,000","284,000","3,768,000","3,598,000","2,927,000","671,000",-,"170,000","205,000","205,000","205,000","205,000","635,000","-23,000",-,"23,000",-,"1,518,000","250,000","247,000","1,447,000","1,515,000","1,515,000","1,515,000",0,"68,000","1,447,000",0.80,0.80,"1,803,000","1,804,400","3,242,000","1,515,000","1,534,212","105,000","509,000","1,515,000","-23,000","-23,000",0,"-3,788"
14,1/31/2020,"10,680,000","6,301,000","10,394,000","8,022,000","8,022,000","2,252,000","120,000","535,000","4,093,000","3,073,000","234,000","786,000","4,379,000","1,131,000","2,884,000","2,969,000","2,349,000",-,"620,000",-,"85,000","535,000","316,000","48,000","48,000",-,-,"-156,000","-919,000","6,299,000","721,000","438,000","283,000","265,000","4,007,000","3,813,000","3,033,000","780,000",-,"194,000","202,000","202,000","202,000","202,000","1,104,000","-19,000",-,"19,000",-,"3,443,000","659,000","205,000","2,922,000","2,989,000","2,989,000","2,989,000",0,"67,000","2,922,000",1.61,1.61,"1,810,900","1,813,600","5,382,000","2,989,000","3,004,363","120,000","493,000","2,989,000","-19,000","-19,000",0,"-3,637"
15,10/31/2019,"10,254,000","6,175,000","10,538,000","8,117,000","8,117,000","2,295,000","126,000","447,000","4,363,000","3,313,000","228,000","822,000","4,079,000","1,124,000","2,803,000","2,889,000","2,311,000",-,"578,000",-,"86,000","447,000","237,000","-52,000","-52,000",-,-,"-33,000","-891,000","5,978,000","793,000","475,000","318,000","379,000","3,655,000","3,449,000","2,744,000","705,000",-,"206,000","211,000","211,000","211,000","211,000","940,000","-184,000",-,"184,000",-,"3,201,000","646,000","301,000","2,788,000","2,856,000","2,856,000","2,856,000",0,"68,000","2,788,000",1.54,1.54,"1,811,700","1,814,500","5,284,000","2,856,000","3,002,832","126,000","377,000","2,856,000","-184,000","-184,000",0,"-37,168"
16,7/31/2019,"10,415,000","6,024,000","10,644,000","8,161,000","8,161,000","2,304,000","179,000","383,000","4,620,000","3,489,000","223,000","908,000","4,391,000","1,088,000","2,828,000","2,912,000","2,282,000",-,"630,000",-,"84,000","383,000","398,000","62,000","62,000",-,-,"15,000","-655,000","5,949,000","732,000","446,000","286,000","296,000","3,758,000","3,561,000","2,849,000","712,000",-,"197,000","195,000","195,000","195,000","195,000","968,000","-53,000",-,"53,000",-,"3,758,000","813,000","303,000","3,186,000","3,248,000","3,248,000","3,248,000",0,"62,000","3,186,000",1.75,1.74,"1,825,300","1,828,600","5,369,000","3,248,000","3,289,534","179,000","345,000","3,248,000","-53,000","-53,000",0,"-11,466"
17,4/30/2019,"10,145,000","5,872,000","10,273,000","7,745,000","7,745,000","2,338,000","190,000","384,000","4,401,000","3,349,000","222,000","830,000","4,273,000","1,035,000","2,803,000","2,886,000","2,272,000",-,"614,000",-,"83,000","384,000","237,000","161,000","161,000",-,-,"37,000","-633,000","5,808,000","736,000","454,000","282,000","320,000","3,673,000","3,467,000","2,799,000","668,000",-,"206,000","199,000","199,000","199,000","199,000","880,000","-25,000",-,"25,000",-,"3,679,000","773,000","266,000","3,110,000","3,172,000","3,172,000","3,172,000",0,"62,000","3,110,000",1.70,1.70,"1,826,600","1,830,000","5,239,000","3,172,000","3,191,747","190,000","344,000","3,172,000","-25,000","-25,000",0,"-5,253"
18,1/31/2019,"9,915,000","5,860,000","10,544,000","7,902,000","7,902,000","2,454,000","188,000","334,000","4,684,000","3,524,000","246,000","914,000","4,055,000","1,035,000","2,741,000","2,824,000","2,181,000",-,"643,000",-,"83,000","334,000","175,000","36,000","36,000",-,-,"68,000","-850,000","5,837,000","739,000","460,000","279,000","327,000","3,714,000","3,554,000","2,852,000","702,000",-,"160,000","195,000","195,000","195,000","195,000","862,000","-637,000",-,"637,000",-,"2,591,000","503,000","322,000","2,332,000","2,392,000","2,410,000","2,410,000","-18,000","60,000","2,332,000",1.27,1.27,"1,833,100","1,836,200","5,010,000","2,392,000","2,905,337","188,000","339,000","2,392,000","-637,000","-637,000",0,"-123,663"
19,10/31/2018,"10,045,000","5,756,000","9,994,000","7,519,000","7,519,000","2,281,000","194,000","375,000","4,238,000","3,126,000","238,000","874,000","4,289,000","1,047,000","2,715,000","2,792,000","2,184,000",-,"608,000",-,"77,000","375,000","322,000","10,000","10,000",-,-,"195,000","-670,000","5,934,000","728,000","452,000","276,000","421,000","3,621,000","3,364,000","2,680,000","684,000",-,"257,000","217,000","217,000","217,000","217,000","947,000","-25,000",-,"25,000",-,"3,416,000","691,000","235,000","2,891,000","2,942,000","2,960,000","2,960,000","-18,000","51,000","2,891,000",1.58,1.58,"1,826,500","1,830,500","5,086,000","2,942,000","2,961,950","194,000","366,000","2,942,000","-25,000","-25,000",0,"-5,050"
20,7/31/2018,"9,814,000","5,655,000","9,511,000","7,184,000","7,184,000","2,130,000","197,000","346,000","3,856,000","2,850,000","231,000","775,000","4,159,000","1,030,000","2,792,000","2,863,000","2,240,000",-,"623,000",-,"71,000","346,000","125,000","11,000","11,000",-,-,"201,000","-561,000","5,620,000","721,000","434,000","287,000","313,000","3,473,000","3,267,000","2,640,000","627,000",-,"206,000","186,000","186,000","186,000","186,000","927,000","-53,000",-,"53,000",-,"3,580,000","705,000","230,000","3,028,000","3,087,000","3,105,000","3,105,000","-18,000","59,000","3,028,000",1.65,1.65,"1,830,000","1,834,000","5,094,000","3,087,000","3,129,563","197,000","336,000","3,087,000","-53,000","-53,000",0,"-10,437"
21,4/30/2018,"9,391,000","5,398,000","8,609,000","6,618,000","6,618,000","1,808,000","183,000","267,000","3,211,000","2,404,000","223,000","584,000","3,993,000","1,024,000","2,523,000","2,599,000","2,049,000",-,"550,000",-,"76,000","267,000","318,000","-28,000","-28,000",-,-,"156,000","-556,000","5,234,000","702,000","437,000","265,000","262,000","3,239,000","3,055,000","2,497,000","558,000",-,"184,000","216,000","216,000","216,000","216,000","815,000","-70,000",-,"70,000",-,"3,531,000","746,000","131,000","2,846,000","2,898,000","2,916,000","2,916,000","-18,000","52,000","2,846,000",1.54,1.54,"1,843,600","1,847,500","4,842,000","2,898,000","2,953,211","183,000","356,000","2,898,000","-70,000","-70,000",0,"-14,789"
22,1/31/2018,"9,278,000","5,430,000","8,308,000","6,469,000","6,469,000","1,700,000","139,000","246,000","2,878,000","2,109,000","231,000","538,000","3,848,000","944,000","2,622,000","2,704,000","2,109,000",-,"595,000",-,"82,000","246,000","287,000","-59,000","-59,000",-,-,"54,000","-693,000","5,221,000","687,000","442,000","245,000","251,000","3,291,000","3,135,000","2,560,000","575,000",-,"156,000","196,000","196,000","196,000","196,000","796,000","-118,000",-,"118,000",-,"3,246,000","1,040,000","147,000","2,283,000","2,335,000","2,353,000","2,353,000","-18,000","52,000","2,283,000",1.24,1.24,"1,841,700","1,846,200","4,737,000","2,335,000","2,415,193","139,000","333,000","2,335,000","-118,000","-118,000",0,"-37,807"
23,10/31/2017,"8,992,000","5,330,000","7,886,000","6,258,000","6,258,000","1,487,000","141,000","212,000","2,556,000","1,858,000","236,000","462,000","3,662,000","943,000","2,517,000","2,591,000","2,031,000",-,"560,000",-,"74,000","212,000","141,000","41,000","41,000",-,-,"20,000","-578,000","5,327,000","694,000","442,000","252,000","324,000","3,245,000","3,042,000","2,427,000","615,000",-,"203,000","186,000","186,000","186,000","186,000","878,000","162,000",-,"-162,000",-,"3,249,000","640,000","103,000","2,627,000","2,677,000","2,712,000","2,712,000","-35,000","50,000","2,627,000",1.42,1.42,"1,845,800","1,849,900","4,752,000","2,677,000","2,546,914","141,000","332,000","2,677,000","162,000","162,000",0,"31,914"
24,7/31/2017,"9,210,000","5,267,000","7,624,000","6,045,000","6,045,000","1,464,000","115,000","275,000","2,357,000","1,729,000","213,000","415,000","3,943,000","956,000","2,690,000","2,766,000","2,128,000",-,"638,000",-,"76,000","275,000","237,000","37,000","37,000",-,-,"23,000","-505,000","5,262,000","705,000","456,000","249,000","272,000","3,219,000","3,046,000","2,527,000","519,000",-,"173,000","173,000","173,000","173,000","173,000","893,000","-36,000","-42,000","-6,000",-,"3,407,000","760,000","122,000","2,693,000","2,740,000","2,769,000","2,769,000","-29,000","47,000","2,693,000",1.46,1.46,"1,846,500","1,850,200","4,762,000","2,740,000","2,767,972","115,000","337,000","2,740,000","-36,000","-36,000",0,"-8,028"
25,4/30/2017,"8,391,000","5,109,000","7,195,000","5,655,000","5,655,000","1,425,000","115,000","360,000","2,086,000","1,553,000","203,000","330,000","3,282,000","909,000","2,522,000","2,604,000","2,038,000",-,"566,000",-,"82,000","360,000","-288,000","36,000","36,000",-,-,"103,000","-500,000","5,225,000","694,000","445,000","249,000","280,000","3,200,000","3,016,000","2,478,000","538,000",-,"184,000","175,000","175,000","175,000","175,000","876,000","-17,000",-,"17,000",-,"2,649,000","257,000","111,000","2,427,000","2,475,000","2,503,000","2,503,000","-28,000","48,000","2,427,000",1.31,1.31,"1,854,400","1,858,700","4,609,000","2,475,000","2,490,351","115,000","320,000","2,475,000","-17,000","-17,000",0,"-1,649"
26,1/31/2017,"9,038,000","5,141,000","7,127,000","5,705,000","5,705,000","1,347,000","75,000","281,000","1,986,000","1,475,000","211,000","300,000","3,897,000","952,000","2,582,000","2,664,000","2,040,000",-,"624,000",-,"82,000","281,000","213,000","14,000","14,000",-,-,"136,000","-633,000","5,394,000","693,000","451,000","242,000","289,000","3,326,000","3,160,000","2,586,000","574,000",-,"166,000","170,000","170,000","170,000","170,000","916,000","5,000",-,"-5,000",-,"3,016,000","596,000","113,000","2,456,000","2,504,000","2,533,000","2,533,000","-29,000","48,000","2,456,000",1.32,1.32,"1,855,800","1,860,300","4,508,000","2,504,000","2,499,990","75,000","318,000","2,504,000","5,000","5,000",0,990
27,10/31/2016,"8,667,000","5,072,000","6,876,000","5,589,000","5,589,000","1,219,000","68,000","241,000","1,804,000","1,340,000","210,000","254,000","3,595,000","945,000","2,492,000","2,570,000","1,988,000",-,"582,000",-,"78,000","241,000","83,000","28,000","28,000",-,-,"47,000","-548,000","5,354,000","720,000","481,000","239,000","379,000","3,104,000","2,906,000","2,321,000","585,000",-,"198,000","182,000","182,000","182,000","182,000","969,000","-1,000",-,"1,000",-,"2,764,000","555,000","94,000","2,231,000","2,274,000","2,303,000","2,303,000","-29,000","43,000","2,231,000",1.20,1.20,"1,855,400","1,858,800","4,524,000","2,274,000","2,274,796","68,000","350,000","2,274,000","-1,000","-1,000",0,-204
28,7/31/2016,"8,624,000","4,924,000","6,595,000","5,433,000","5,433,000","1,100,000","62,000","215,000","1,671,000","1,194,000","217,000","260,000","3,700,000","959,000","2,513,000","2,590,000","1,998,000",-,"592,000",-,"77,000","215,000","174,000","37,000","37,000",-,-,"17,000","-556,000","5,258,000","663,000","432,000","231,000","300,000","3,208,000","3,018,000","2,326,000","692,000",-,"190,000","178,000","178,000","178,000","178,000","909,000","3,000",-,"-3,000",-,"2,813,000","576,000","121,000","2,293,000","2,329,000","2,358,000","2,358,000","-29,000","36,000","2,293,000",1.24,1.24,"1,853,400","1,856,600","4,368,000","2,329,000","2,326,615","62,000","334,000","2,329,000","3,000","3,000",0,615
29,4/30/2016,"8,179,000","4,880,000","6,470,000","5,297,000","5,297,000","1,115,000","58,000","211,000","1,590,000","1,126,000","208,000","256,000","3,299,000","924,000","2,363,000","2,443,000","1,900,000",-,"543,000",-,"80,000","211,000","97,000","1,000","1,000",-,-,"-86,000","-584,000","5,200,000","701,000","453,000","248,000","282,000","3,035,000","2,853,000","2,323,000","530,000",-,"182,000","173,000","173,000","173,000","173,000","1,009,000","14,000",-,"-14,000",-,"2,409,000","466,000","109,000","1,987,000","2,024,000","2,052,000","2,052,000","-28,000","37,000","1,987,000",1.07,1.07,"1,850,900","1,853,900","4,296,000","2,024,000","2,012,702","58,000","329,000","2,024,000","14,000","14,000",0,"2,702"
30,1/31/2016,"8,529,000","5,047,000","6,619,000","5,432,000","5,432,000","1,150,000","37,000","245,000","1,572,000","1,098,000","212,000","262,000","3,482,000","968,000","2,391,000","2,472,000","1,838,000","38,000","596,000",-,"81,000","245,000","41,000","-12,000","-12,000",-,-,"94,000","-642,000","5,229,000","685,000","459,000","226,000","271,000","3,156,000","2,983,000","2,328,000","655,000","67,000","173,000","175,000","175,000","175,000","175,000","942,000","2,000",-,"-2,000",-,"2,660,000","546,000","109,000","2,169,000","2,194,000","2,223,000","2,223,000","-29,000","25,000","2,169,000",1.17,1.17,"1,854,100","1,857,500","4,405,000","2,194,000","2,192,410","37,000","324,000","2,194,000","2,000","2,000",0,410
31,10/31/2015,"7,897,000","4,887,000","6,329,000","5,159,000","5,159,000","1,136,000","34,000","256,000","1,442,000","1,023,000","233,000","186,000","3,010,000","977,000","2,239,000","2,316,000","1,800,000","36,000","480,000",-,"77,000","256,000","-99,000","11,000","11,000",-,-,"-118,000","-509,000","5,113,000","681,000","447,000","234,000","305,000","3,065,000","2,867,000","2,230,000","637,000","69,000","198,000","171,000","171,000","171,000","171,000","891,000","-285,000",-,"285,000",-,"1,990,000","259,000","108,000","1,784,000","1,810,000","1,839,000","1,839,000","-29,000","26,000","1,784,000",0.96,0.96,"1,853,100","1,857,200","4,378,000","1,810,000","2,046,835","34,000","320,000","1,810,000","-285,000","-285,000",0,"-48,165"
32,7/31/2015,"7,927,000","4,697,000","6,266,000","5,144,000","5,144,000","1,086,000","36,000","307,000","1,569,000","1,069,000","236,000","264,000","3,230,000","970,000","2,197,000","2,276,000","1,805,000","39,000","432,000",-,"79,000","307,000","-7,000","14,000","14,000",-,-,"56,000","-437,000","4,852,000","662,000","437,000","225,000","258,000","3,053,000","2,861,000","2,261,000","600,000","68,000","192,000","167,000","167,000","167,000","167,000","712,000","39,000",-,0,"-39,000","2,677,000","502,000","91,000","2,213,000","2,238,000","2,266,000","2,266,000","-28,000","25,000","2,213,000",1.20,1.19,"1,851,100","1,855,700","4,260,000","2,238,000","2,206,332","36,000","315,000","2,238,000","39,000","39,000",0,"7,332"
33,4/30/2015,"7,673,000","4,580,000","6,067,000","4,941,000","4,941,000","1,090,000","36,000","340,000","1,487,000","1,039,000","241,000","207,000","3,093,000","912,000","2,128,000","2,214,000","1,748,000","40,000","426,000",-,"86,000","340,000","-65,000","-3,000","-3,000",-,-,"121,000","-375,000","4,794,000","643,000","418,000","225,000","228,000","3,053,000","2,872,000","2,308,000","564,000","70,000","181,000","166,000","166,000","166,000","166,000","704,000","-389,000",-,"337,000","52,000","2,115,000","344,000","88,000","1,807,000","1,831,000","1,859,000","1,859,000","-28,000","24,000","1,807,000",0.98,0.97,"1,848,300","1,853,400","4,205,000","1,831,000","2,156,593","36,000","-18,000","1,831,000","-389,000","-389,000",0,"-63,407"
34,1/31/2015,"7,532,000","4,560,000","6,168,000","5,075,000","5,075,000","1,057,000","36,000","311,000","1,608,000","1,111,000","273,000","224,000","2,972,000","899,000","2,012,000","2,094,000","1,631,000","35,000","428,000",-,"82,000","311,000","-52,000","57,000","57,000",-,-,"56,000","-362,000","4,782,000","625,000","417,000","208,000","241,000","3,100,000","2,943,000","2,244,000","699,000","66,000","157,000","158,000","158,000","158,000","158,000","658,000",-,-,-,-,"2,388,000","418,000","90,000","2,009,000","2,033,000","2,060,000","2,060,000","-27,000","24,000","2,009,000",1.09,1.09,"1,844,200","1,849,700","4,198,000","2,033,000","2,033,000","36,000","-15,000","2,033,000",-,-,0,0
35,10/31/2014,"7,129,000","4,457,000","6,064,000","4,996,000","4,996,000","1,052,000","16,000","312,000","1,607,000","1,109,000","284,000","214,000","2,672,000","1,001,000","1,983,000","2,062,000","1,735,000","39,000","288,000",-,"79,000","312,000","-119,000","20,000","20,000",-,-,"-213,000","-371,000","4,942,000","620,000","399,000","221,000","313,000","3,079,000","2,862,000","2,142,000","720,000","73,000","217,000","168,000","168,000","168,000","168,000","762,000",-,-,-,-,"2,030,000","370,000","86,000","1,687,000","1,719,000","1,746,000","1,746,000","-27,000","32,000","1,687,000",-,-,-,-,"4,086,000","1,719,000","1,719,000","16,000","320,000","1,719,000",-,-,0,0
