,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Defined Pension Benefit,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Due to Related Parties,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Current Capital Lease Obligation,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Long Term Provisions,Employee Benefits,Non Current Pension And Other Post-Retirement Benefit Plans,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number
41,9/30/2012,"1,023,292,000","293,502,000","89,242,000",-,-,"89,242,000",-,-,-,"204,260,000","204,260,000","204,260,000",-,-,-,"337,766,000","288,583,000","49,183,000",-,-,-,-,"242,456,000","243,417,000",-,-,"126,114,000",-,"117,303,000","897,000","-64,000","54,630,000",-,-,-,"6,724,000",-,-,-,-,-,-,-,"8,884,000","8,603,000","281,000",-,-,-,-,"79,330,000","980,459,000","319,832,000",-,-,-,-,"168,924,000","109,208,000","109,208,000","109,208,000",-,-,-,"27,588,000","27,588,000","27,588,000",-,"113,933,000",-,"149,719,000","149,719,000",-,-,-,-,-,-,-,"91,255,000","42,833,000","35,682,000","53,000","53,000","28,025,000","23,273,000","471,000","-15,198,000",-,"7,151,000","185,401,000","35,682,000",-,"26,798,000","212,989,000","26,798,000","177,307,000","88,065,000","1,523,352","1,491,734","31,619"
42,6/30/2012,"1,043,455,000","328,230,000","101,366,000",-,-,"101,366,000",-,-,-,"226,864,000","226,864,000",-,-,-,-,"332,348,000","284,058,000","48,290,000",-,-,-,-,"239,164,000","240,163,000",-,"61,813,000","7,176,000","116,734,000","54,440,000","928,000","-71,000","50,411,000",-,-,-,"6,846,000",-,-,-,-,-,-,-,"8,943,000","8,665,000","278,000",-,-,-,-,"77,513,000","1,001,350,000","312,683,000",-,-,-,-,"189,266,000","117,147,000","117,147,000","117,147,000",-,-,-,"19,184,000","19,184,000","19,184,000",-,"115,782,000",-,"154,838,000","154,838,000",-,-,-,-,-,-,-,"92,450,000","42,105,000","34,774,000","51,000","51,000","27,771,000","21,930,000","66,000","-14,912,000",-,"7,331,000","189,612,000","34,774,000",-,"25,831,000","208,796,000","25,831,000","174,022,000","72,656,000","1,484,695","1,480,656","4,039"
43,3/31/2012,"1,000,020,000","284,087,000","92,019,000",-,-,"92,019,000",-,-,-,"192,068,000","192,068,000",-,-,-,-,"352,256,000","300,597,000","51,659,000",-,-,-,-,"231,696,000","232,655,000",-,"59,363,000","147,687,000","25,605,000",-,"908,000","-51,000","42,801,000","42,801,000",-,-,"6,878,000",-,-,-,-,-,-,-,"8,593,000","8,333,000","260,000",-,-,-,-,"73,709,000","959,156,000","343,978,000","343,978,000","39,035,000","304,943,000",-,"167,457,000","67,569,000","67,569,000","67,569,000",-,-,-,"16,331,000","16,331,000","16,331,000",-,"114,500,000",-,"155,631,000","155,631,000",-,-,-,-,-,-,-,"93,690,000","40,864,000","33,585,000","49,000","49,000","27,097,000","22,262,000",0,"-15,823,000",-,"7,279,000","189,216,000","33,585,000",-,"24,992,000","205,547,000","24,992,000","171,962,000","79,943,000","1,413,033","1,413,033",-
44,12/31/2011,"1,049,165,000","349,808,000","112,845,000","110,573,000",-,"2,272,000","32,274,000","2,083,000","30,191,000","236,963,000","236,963,000",-,-,-,"2,022,000","240,044,000","227,005,000","11,089,000","2,000","1,950,000","2,542,000","56,254,000","233,413,000","234,357,000",-,"62,388,000","33,156,000","113,440,000","25,373,000","910,000","-34,000","49,536,000","49,536,000","43,446,000","601,000","7,193,000","14,975,000","872,000","4,060,000","4,614,000","2,241,000","3,188,000","-7,782,000","8,879,000","8,591,000","288,000","8,939,000","8,939,000",-,"21,205,000","70,751,000","1,008,080,000","353,548,000","353,548,000","40,147,000","313,401,000","15,664,000","176,559,000","75,943,000","75,943,000","75,176,000","767,000","767,000",-,"26,116,000","26,116,000","26,116,000",-,"127,760,000","1,998,000","162,655,000","162,655,000",-,"1,113,000",-,-,"429,000","429,000",-,"81,959,000","41,085,000","33,674,000","49,000","49,000","27,053,000","21,796,000","90,000","-15,134,000",-,"7,411,000","196,329,000","33,674,000",-,"24,795,000","222,445,000","24,795,000","188,771,000","75,926,000","1,412,841","1,408,213","4,627"
45,9/30/2011,"1,061,521,000","334,367,000","94,620,000",-,-,"94,620,000",-,-,-,"239,747,000","239,747,000",-,-,-,-,"320,311,000","300,342,000","19,969,000",-,-,-,-,"226,447,000","227,330,000",-,-,-,-,"227,330,000","883,000",-,"57,020,000",-,-,-,"6,936,000",-,-,-,-,-,-,-,"8,630,000","8,361,000","269,000",-,-,-,0,"107,810,000","1,019,043,000","314,952,000",-,-,-,-,"169,373,000","118,088,000","118,088,000","70,212,000",-,-,"47,876,000","23,176,000","23,176,000","23,176,000",-,"137,554,000",-,"164,177,000","164,177,000",-,-,-,-,-,-,-,"91,723,000","42,478,000","33,519,000","48,000","48,000","27,804,000","21,159,000",0,"-15,492,000",-,"8,959,000","197,696,000","33,519,000",-,"24,889,000","220,872,000","24,889,000","187,353,000","92,733,000","1,388,223","1,388,223",-
46,6/30/2011,"976,923,000","270,104,000","70,013,000",-,-,"70,013,000",-,-,-,"200,091,000","200,091,000",-,-,-,-,"354,319,000","302,626,000","51,693,000",-,-,-,-,"220,030,000","220,946,000",-,-,-,-,"220,946,000","916,000",-,"40,845,000",-,-,-,"6,651,000",-,-,-,-,-,-,-,"8,189,000","7,908,000","281,000",-,-,-,0,"76,785,000","936,616,000","286,455,000",-,-,-,-,"142,245,000","67,315,000","67,315,000","67,315,000",-,-,-,"20,373,000","20,373,000","20,373,000",-,"120,452,000",-,"164,159,000","164,159,000",-,-,-,-,-,-,-,"135,617,000","40,307,000","31,216,000","48,000","48,000","27,121,000","21,107,000","111,000","-16,949,000",-,"9,091,000","195,375,000","31,216,000",-,"23,027,000","215,748,000","23,027,000","184,532,000","114,519,000","1,387,300","1,383,722","3,577"
47,3/31/2011,"1,016,468,000","279,288,000","74,797,000",-,-,"74,797,000",-,-,-,"204,491,000","204,491,000",-,-,-,-,"373,883,000","314,201,000","59,682,000",-,-,-,-,"222,510,000","223,484,000",-,-,"223,484,000",-,-,"974,000",-,"47,275,000","47,275,000",-,-,"6,669,000",-,-,-,-,-,-,-,"8,727,000","8,433,000","294,000",-,-,-,0,"78,116,000","973,180,000","334,408,000","334,408,000","41,113,000","293,295,000",-,"141,078,000","64,693,000","64,693,000","64,693,000",-,-,-,"23,023,000","23,023,000","23,023,000",-,"134,846,000",-,"175,877,000","175,877,000",-,-,-,-,-,-,-,"99,255,000","43,288,000","34,057,000","48,000","48,000","26,455,000","22,565,000",0,"-15,011,000",-,"9,231,000","209,934,000","34,057,000",-,"25,330,000","232,957,000","25,330,000","198,900,000","124,103,000","1,385,915","1,385,915",-
48,12/31/2010,"1,032,005,000","287,434,000","66,991,000","65,467,000",-,"1,524,000","43,939,000","1,792,000","42,147,000","220,443,000","220,443,000",-,-,-,"1,895,000","295,514,000","276,960,000","16,707,000","452,000","1,847,000","3,954,000","50,477,000","218,842,000","219,891,000",-,"56,880,000","30,260,000","107,987,000","24,764,000","1,017,000","-32,000","43,927,000","43,927,000","38,769,000","452,000","6,725,000","13,677,000","882,000","3,944,000","3,801,000","1,958,000","3,092,000","-6,952,000","8,897,000","8,585,000","312,000","9,417,000","9,417,000",-,"26,909,000","79,457,000","988,990,000","325,057,000","325,057,000","37,493,000","287,564,000",-,"168,394,000","69,681,000","69,681,000","68,544,000","1,137,000","1,137,000",-,"21,683,000","21,683,000","21,683,000",-,"133,997,000","1,203,000","173,752,000","173,752,000",-,"1,724,000",-,-,"412,000","412,000",-,"93,087,000","43,015,000","33,282,000","47,000","47,000","25,316,000","23,026,000","552,000","-14,555,000",-,"9,733,000","207,034,000","33,282,000",-,"24,385,000","228,717,000","24,385,000","195,435,000","128,444,000","1,368,721","1,354,642","14,078"
49,9/30/2010,"1,067,388,000","276,663,000","51,033,000",-,-,"51,033,000",-,-,-,"225,630,000","225,630,000",-,-,-,-,"374,117,000","348,033,000","26,084,000",-,-,-,-,"222,660,000","223,769,000",-,-,-,-,"223,769,000","1,109,000",-,"46,493,000",-,-,-,"6,621,000",-,-,-,-,-,-,-,"9,214,000","8,874,000","340,000",-,-,-,"52,000","131,568,000","1,022,713,000","278,128,000",-,-,-,-,"198,373,000","102,337,000","102,337,000","69,907,000",-,-,"32,430,000","10,460,000","10,460,000","10,460,000",-,"140,948,000",-,"178,780,000","178,780,000",-,-,-,-,-,-,-,"113,687,000","44,675,000","34,088,000","47,000","47,000","24,570,000","22,656,000","93,000","-13,092,000",-,"10,587,000","212,868,000","34,088,000",-,"24,874,000","223,328,000","24,874,000","189,240,000","138,207,000","1,368,721","1,366,644","2,077"
50,6/30/2010,"1,137,948,000","329,877,000","79,755,000",-,-,"79,755,000",-,-,-,"250,122,000","250,122,000",-,-,-,-,"422,623,000","350,093,000","72,530,000",-,-,-,-,"227,205,000","228,495,000",-,"100,784,000","112,676,000",-,"15,035,000","1,253,000","-37,000","51,699,000",-,-,-,"6,701,000",-,-,-,-,-,-,-,"9,959,000","9,582,000","377,000",-,-,-,"69,000","89,815,000","1,091,364,000","287,400,000",-,-,-,-,"202,934,000","121,294,000","121,294,000",-,-,-,-,"22,128,000","22,128,000","22,128,000",-,"164,437,000",-,"182,710,000","182,710,000",-,-,-,-,-,-,0,"110,461,000","46,584,000","35,633,000","47,000","47,000","23,961,000","22,462,000",0,"-10,837,000",-,"10,951,000","218,343,000","35,633,000",-,"25,674,000","240,471,000","25,674,000","204,838,000","125,083,000","1,368,721","1,368,721",-
51,3/31/2010,"1,073,803,000","287,857,000","46,674,000",-,-,"46,674,000",-,-,-,"241,183,000","241,183,000",-,-,-,-,"414,425,000","340,904,000","73,521,000",-,-,-,-,"228,741,000","230,033,000",-,"58,308,000","5,951,000","83,195,000","82,579,000","1,269,000","-23,000","41,171,000",-,-,-,"6,551,000",-,-,-,-,-,-,-,"9,797,000","9,399,000","398,000",-,-,-,"95,000","85,166,000","1,026,047,000","275,316,000",-,-,-,-,"181,462,000","104,766,000","104,766,000",-,-,-,-,"13,773,000","13,773,000","13,773,000",-,"156,151,000",-,"185,147,000","185,147,000",-,-,-,-,-,-,0,"109,432,000","47,756,000","36,815,000","47,000","47,000","24,929,000","24,729,000","1,637,000","-11,253,000",-,"10,941,000","221,962,000","36,815,000",-,"27,018,000","235,735,000","27,018,000","198,920,000","152,246,000","1,368,375","1,332,717","35,658"
52,12/31/2009,"1,031,427,000","262,533,000","53,034,000","51,857,000",-,"1,177,000","39,343,000","1,827,000","37,516,000","209,499,000","209,499,000",-,-,-,"2,099,000","306,134,000","277,107,000","26,519,000","439,000","2,508,000","3,679,000","57,153,000","233,447,000","234,867,000",-,"112,929,000","108,810,000",-,"13,128,000","1,395,000","-25,000","51,448,000","47,715,000","3,733,000","970,000","6,436,000","13,002,000","867,000","3,766,000","3,233,000","1,920,000","3,216,000","-6,566,000","9,595,000","9,267,000","328,000","9,137,000","9,137,000",-,"14,570,000","76,325,000","983,099,000","322,908,000","322,908,000","36,214,000","286,694,000",-,"191,687,000","67,512,000","67,512,000","65,993,000","1,519,000","1,519,000",-,"7,645,000","7,645,000","7,645,000",-,"76,946,000","57,733,000","159,365,000","159,365,000",-,"1,770,000",-,-,"318,000","318,000",0,"97,215,000","48,328,000","37,517,000","47,000","47,000","25,258,000","24,706,000","856,000","-11,638,000",-,"10,811,000","196,882,000","37,517,000",-,"27,922,000","204,527,000","27,922,000","167,010,000","113,976,000","1,367,879","1,349,231","18,647"
53,9/30/2009,"1,064,208,000","272,017,000","50,109,000",-,-,"50,109,000",-,-,-,"221,908,000","221,908,000",-,-,-,-,"412,997,000","331,922,000","81,075,000",-,-,-,-,"242,186,000","242,186,000",-,-,-,-,-,-,-,"47,571,000",-,-,-,"6,451,000",-,-,-,-,-,-,-,"9,671,000","9,312,000","359,000",-,-,-,0,"73,315,000","1,011,194,000","286,073,000",-,-,-,-,"180,151,000","105,255,000","105,255,000",-,-,-,-,"8,177,000","8,177,000","8,177,000",-,"148,913,000",-,"165,977,000","165,977,000",-,-,-,-,-,-,"27,000","116,621,000","53,014,000","38,191,000","47,000","47,000","24,527,000","25,424,000","641,000","-11,166,000",-,"14,823,000","204,168,000","38,191,000",-,"28,520,000","212,345,000","28,520,000","174,154,000","124,045,000","1,350,570","1,350,570",-
54,6/30/2009,"1,092,904,000","297,227,000","57,143,000",-,-,"57,143,000",-,-,-,"240,084,000","240,084,000",-,-,-,-,"408,694,000","333,860,000","74,834,000",-,-,-,-,"243,191,000","243,191,000",-,-,-,-,-,-,-,"48,469,000",-,-,-,"6,474,000",-,-,-,-,-,-,-,"9,992,000","9,609,000","383,000",-,-,-,"1,037,000","77,820,000","1,042,085,000","295,349,000",-,-,-,-,"214,431,000","115,391,000","115,391,000",-,-,-,-,"10,511,000","10,511,000","10,511,000",-,"136,331,000",-,"160,449,000","160,449,000",-,-,-,-,-,-,"847,000","108,776,000","50,819,000","36,348,000","47,000","47,000","22,173,000","24,721,000","554,000","-10,039,000",-,"14,471,000","196,797,000","36,348,000",-,"26,356,000","207,308,000","26,356,000","170,960,000","113,817,000","1,367,221","1,351,988","15,232"
55,3/31/2009,"1,156,086,000","349,200,000","89,521,000",-,-,"89,521,000",-,-,-,"259,679,000","259,679,000",-,-,-,-,"410,587,000","340,526,000","70,061,000",-,-,-,-,"237,510,000","237,510,000",-,-,-,-,-,-,-,"57,769,000",-,-,-,"6,514,000",-,-,-,-,-,-,-,"10,305,000","9,901,000","404,000",-,-,-,"1,018,000","83,183,000","1,105,428,000","286,703,000",-,-,-,-,"255,636,000","126,255,000","126,255,000",-,-,-,-,"9,603,000","9,603,000","9,603,000",-,"160,872,000",-,"156,794,000","156,794,000",-,-,-,-,-,-,"849,000","108,716,000","50,658,000","36,009,000","47,000","47,000","20,786,000","25,434,000","948,000","-9,310,000",-,"14,649,000","192,803,000","36,009,000",-,"25,704,000","202,406,000","25,704,000","166,397,000","76,876,000","1,332,421","1,332,410",11.233
56,12/31/2008,"1,170,350,000","361,075,000","92,047,000","90,035,000",-,"2,012,000","32,606,000","3,152,000","29,454,000","269,028,000","269,028,000",-,-,-,"1,992,000","273,104,000","237,503,000","32,177,000","804,000","3,424,000","2,787,000","108,620,000","231,967,000","233,633,000",-,"114,754,000","107,027,000",-,"11,852,000","1,639,000","-27,000","68,843,000","65,013,000","3,830,000","533,000","6,350,000","12,212,000","860,000","3,830,000","2,592,000","1,874,000","3,056,000","-5,862,000","9,753,000","9,330,000","423,000","10,627,000","10,627,000",-,"24,353,000","72,338,000","1,138,048,000","355,169,000","355,169,000","58,183,000","296,986,000",-,"243,370,000","104,854,000","104,854,000","102,952,000","1,902,000","1,902,000",-,"10,964,000","10,964,000","10,964,000",-,"60,016,000","94,808,000","150,714,000","150,714,000",-,"1,802,000",-,-,"857,000","857,000","872,000","114,622,000","32,302,000","32,302,000","47,000","47,000","18,780,000","25,166,000","752,000","-10,939,000",-,"14,919,000","183,016,000","32,302,000",-,"22,549,000","193,980,000","22,549,000","161,678,000","69,631,000","1,366,981","1,343,094","23,887"
57,9/30/2008,"1,393,599,000","385,136,000","49,662,000",-,-,"49,662,000",-,-,-,"335,474,000","335,474,000",-,-,-,-,"534,176,000","443,264,000","90,912,000",-,-,-,-,"248,659,000","248,659,000",-,-,-,-,-,-,-,-,-,-,-,"6,439,000",-,-,-,-,-,-,-,"11,237,000","10,669,000","568,000",-,-,-,-,"207,952,000","1,335,901,000","312,593,000",-,-,-,-,"293,975,000","76,846,000","76,846,000",-,-,-,-,"11,734,000","11,734,000","11,734,000",-,"187,271,000",-,"165,038,000","165,038,000",-,-,-,-,-,-,-,"288,444,000","57,698,000","39,023,000","45,000","45,000","25,472,000","25,346,000","5,281,000","-6,559,000",-,"18,675,000","204,061,000","39,023,000",-,"27,786,000","215,795,000","27,786,000","176,772,000","127,110,000","1,415,918","1,308,830","107,088"
58,6/30/2008,"1,231,698,175","318,400,287","36,422,844",-,"30,995,839","5,427,005",-,-,-,"281,977,443","281,977,443",-,-,-,-,"486,833,593","445,452,681","41,380,912",-,-,-,-,"235,088,817","236,293,342",-,-,-,-,"236,293,342","1,204,525",-,-,-,-,-,"6,091,077",-,-,-,-,-,-,-,"10,406,527",-,-,-,-,-,-,"174,877,874","1,178,780,792","376,510,718","376,510,718",-,"376,510,718",-,"257,211,626",-,-,-,-,-,-,"12,099,401","12,099,401","12,099,401",-,-,-,"152,988,001","152,988,001",-,-,-,-,-,-,-,"379,971,046","52,917,383","36,904,041","45,974","45,974","30,002,796","25,273,578","9,814,992","-8,603,315",-,"16,013,342","189,892,042","36,904,041",-,"26,497,514","201,991,443","26,497,514","165,087,402","128,664,558","1,354,989","1,354,989",-
59,3/31/2008,"1,205,876,063","307,152,526","31,130,618",-,"27,724,777","3,405,841",-,-,-,"276,021,907","276,021,907",-,-,-,-,"506,828,644","445,899,395","60,929,249",-,-,-,-,"228,766,604","229,967,674",-,-,-,-,"229,967,674","1,184,209","-16,861","69,893,138",-,-,-,"5,901,210",-,-,-,-,-,-,-,"10,104,458",-,-,-,-,-,-,"77,229,482","1,154,168,570","390,217,759","390,217,759",-,"390,217,759",-,"255,444,041","74,678,573","74,678,573",-,-,-,-,"12,687,106","12,687,106","12,687,106",-,-,-,"142,588,111","142,588,111",-,-,-,-,-,-,-,"278,552,981","51,707,493","37,573,351","45,623","45,623","31,466,839","25,183,786","9,717,656","-9,405,239",-,"14,134,142","180,161,462","37,573,351",-,"27,468,893","192,848,567","27,468,893","155,275,216","124,144,598","1,169,564","1,169,564",-
60,12/31/2007,"1,360,680,000","338,927,000","42,218,000","38,459,000","38,494,157","3,759,000","28,314,000",-,"28,314,000","296,709,000","296,709,000",-,-,-,"52,000","474,349,000","433,598,000","37,222,000","277,000","3,529,000","2,562,000","99,550,000","285,131,000","286,385,000","47,975,000","117,197,000","107,728,000",-,"13,485,000","1,234,000","-20,000","69,069,000","65,691,000","3,378,000","565,000","6,149,000","11,767,000","892,000","3,869,000","2,234,000","1,764,000","3,008,000","-5,618,000","11,326,000","10,882,000","444,000","5,804,000","5,804,000",-,"231,000","67,017,000","1,317,481,000","426,369,000","426,369,000","90,864,000","335,505,000","11,366,055","300,381,000","70,978,000","70,978,000","67,637,000","3,341,000","3,341,000",-,"19,390,000","19,390,000","19,390,000",-,"122,720,000","79,173,000","160,157,000","160,157,000",-,"2,279,000",-,-,"787,000","787,000",-,"135,247,000","43,199,000","43,199,000","46,000","46,000","33,670,000","24,553,000","9,378,000","-5,692,000","-1,134","16,654,860","203,356,000","43,199,000",-,"31,873,000","222,746,000","31,873,000","179,547,000","137,329,000","1,505,041","1,341,409","163,633"
61,9/30/2007,"1,375,374,108","365,212,209","41,140,977",-,"37,824,956","3,316,020",-,-,-,"324,071,232","324,071,232",-,-,-,-,"573,337,834","530,687,673","42,650,161",-,-,-,-,"226,783,472","228,105,462",-,-,-,-,"228,105,462","1,315,014","-6,976","70,652,628",-,-,-,"6,139,056",-,-,-,-,-,-,-,"11,175,872",-,-,-,-,-,-,"122,073,036","1,170,770,301","334,207,651","334,207,651",-,"334,207,651",-,"302,403,155","12,979,220","12,979,220",-,-,-,-,"21,891,316","21,891,316","21,891,316",-,-,-,"15,184,862","15,184,862",-,-,-,-,-,-,-,"484,104,097","204,603,807","41,932,776","46,508","46,508","33,100,906","23,991,152","9,359,735","-5,846,056",-,"162,671,032","57,117,638","41,932,776",-,"30,756,903","79,008,953","30,756,903","37,076,178",-,"1,177,739","1,177,739",-
62,6/30/2007,"1,414,714,427","378,645,456","39,394,597",-,"36,557,052","2,837,545",-,-,-,"339,250,860","339,250,860",-,-,-,-,"616,360,350","552,142,430","64,217,920",-,-,-,-,"224,148,915","225,520,659",-,-,-,-,"225,520,659","1,371,745",-,"78,262,727",-,-,-,"6,130,709",-,-,-,-,-,-,-,"11,595,700",-,-,-,-,-,-,"99,570,573","1,354,393,093","459,188,723","459,188,723",-,"459,188,723",-,"291,835,894","78,083,166","78,083,166",-,-,-,-,"27,461,763","27,461,763","27,461,763",-,-,-,"160,823,912","160,823,912",-,-,-,-,-,-,-,"336,999,635","60,321,335","43,834,749","608,307","608,307","34,900,698","24,251,661","11,185,276","-4,739,420","-1,221","16,486,586","204,658,661","43,834,749",-,"32,239,050","232,120,424","32,239,050","188,285,675","148,891,078","1,207,627","1,207,627",-
63,3/31/2007,"1,359,670,267","359,618,997","33,149,441",-,"27,577,749","5,571,692",-,-,-,"326,469,556","326,469,556",-,-,-,-,"589,892,106","515,044,292","74,847,814",-,-,-,-,"212,828,913","214,277,431",-,-,-,-,"214,277,431","1,448,518",-,-,-,-,-,"6,039,544",-,-,-,-,-,-,-,"11,534,678",-,-,-,-,-,-,"179,756,030","1,300,020,960","328,321,521","328,321,521",-,"328,321,521",-,"284,460,092",-,-,-,-,-,-,"27,721,142","27,721,142","27,721,142",-,-,-,"155,890,717","155,890,717",-,-,-,-,-,-,-,"503,627,488","59,649,307","44,003,607","607,600","607,600","34,205,450","24,779,143","10,501,758","-5,086,827",-,"15,645,700","199,894,324","44,003,607",-,"32,468,929","227,615,466","32,468,929","183,611,859","150,462,418","1,209,935","1,209,935",-
64,12/31/2006,"1,255,956,000","356,216,000","37,168,000","29,040,000","29,064,175","8,128,000","32,385,000",-,"32,385,000","319,048,000","319,048,000",-,-,-,"55,000","432,596,000","392,628,000","35,325,000","773,000","4,643,000","1,401,000","60,372,000","204,539,000","206,015,000",-,"99,677,000","95,206,000",-,"11,132,000","1,484,000","8,000","61,628,000","58,040,000","3,588,000","477,000","5,990,000","11,916,000","934,000","3,904,000","1,946,000","1,739,000","3,393,000","-5,926,000","11,499,000","11,023,000","476,000","5,317,000","5,317,000",-,"53,346,000","62,575,000","1,212,370,000","388,378,000","309,962,000",-,"309,962,000","78,416,000","288,444,000","65,412,000","65,412,000","62,441,000","2,971,000","2,971,000",-,"21,556,000","21,556,000","21,556,000",-,"198,422,000","970,000","147,832,000","147,832,000",-,"2,104,000",-,-,"779,000","779,000",-,"98,473,000","43,586,000","43,586,000","607,000","607,000","32,306,000","24,817,000","9,111,000","-5,033,000","1,220","15,330,446","191,418,000","43,586,000",-,"32,087,000","212,974,000","32,087,000","169,388,000","132,220,000","1,401,911","1,226,052","175,859"
65,9/30/2006,"1,475,690,490","374,771,798","36,735,825",-,"29,854,590","6,881,235",-,-,-,"338,035,973","338,035,973",-,-,-,-,"549,395,348","469,473,323","79,922,025",-,-,-,-,"206,359,395","207,888,698",-,-,-,-,"207,888,698","1,529,303",-,-,-,-,-,"5,900,528",-,-,-,-,-,-,-,"11,762,228",-,-,-,-,-,-,"327,501,195","1,418,411,160","391,120,680","391,120,680",-,"391,120,680",-,"315,081,405",-,-,-,-,-,-,"22,781,723","22,781,723","22,781,723",-,-,-,"150,179,760","150,179,760",-,-,-,-,-,-,-,"539,247,593","57,279,330","41,715,765","607,463","607,463","27,700,290","24,406,215","7,773,015","-3,226,440","1,253","15,563,565","191,895,525","41,715,765",-,"29,953,538","214,677,248","29,953,538","172,961,483","136,225,658","1,243,221","1,243,221",-
66,6/30/2006,"1,406,982,405","367,770,422","39,049,454",-,"32,936,183","6,113,271",-,-,-,"328,720,968","328,720,968",-,-,-,-,"491,577,336","439,876,143","51,701,193",-,-,-,-,"198,635,362","200,337,373",-,-,-,-,"200,337,373","1,738,772","36,761",-,-,-,-,"5,716,258",-,-,-,-,-,-,-,"11,518,290",-,-,-,-,-,-,"331,764,738","1,353,281,441","377,994,743","377,994,743",-,"377,994,743",-,"283,188,188",-,-,-,-,-,-,"21,816,131","21,816,131","21,816,131",-,-,-,"142,982,415","142,982,415",-,-,-,-,-,-,-,"527,299,964","53,700,964","38,948,975","624,929","624,929","27,126,798","24,595,225","9,033,280","-4,364,697",-,"14,751,989","181,931,391","38,948,975",-,"27,430,685","203,747,522","27,430,685","164,798,547","125,749,093","1,255,079","1,255,079",-
67,3/31/2006,"1,434,114,754","386,119,357","41,525,574",-,"34,801,392","6,724,182",-,-,-,"344,593,783","344,593,783",-,-,-,-,"612,366,233","461,006,266","151,359,967",-,-,-,-,"215,570,362","217,624,792",-,-,-,-,"217,624,792","2,054,430",-,-,-,-,-,"7,432,471",-,-,-,-,-,-,-,"16,254,128",-,-,-,-,-,-,"196,372,202","1,375,394,579","383,493,600","383,493,600",-,"383,493,600",-,"302,884,289",-,-,-,-,-,-,"20,987,796","20,987,796","20,987,796",-,-,-,"141,557,401","141,557,401",-,-,-,-,-,-,-,"526,471,493","58,720,175","42,644,749","624,808","624,808","27,256,742","24,724,902","7,351,598","-2,610,104",-,"16,075,426","184,202,150","42,644,749",-,"26,390,621","205,189,946","26,390,621","162,545,197","121,019,623","1,276,222","1,276,222",-
68,12/31/2005,"1,342,223,184","386,914,845","33,799,488",-,"27,642,513","6,156,975",-,-,-,"353,115,357","353,115,357",-,-,-,-,"582,140,340","436,281,273","145,859,067",-,-,-,-,"206,157,912","208,404,714",-,-,-,-,"208,404,714","2,246,802",-,-,-,-,-,"7,445,001",-,-,-,-,-,-,-,"16,060,815",-,-,-,-,-,-,"143,504,271","1,292,140,308","365,101,374","365,101,374",-,"365,101,374",-,"310,536,747",-,-,-,-,-,-,"19,517,940","19,517,940","19,517,940",-,-,-,"133,289,619","133,289,619",-,-,-,-,-,-,-,"463,694,628","50,082,876","42,217,752","625,575","625,575","24,642,387","24,697,701","5,836,944","-1,910,967",-,"7,865,124","175,507,371","42,217,752",-,"26,156,937","195,025,311","26,156,937","152,807,559","119,008,071","1,298,629","1,298,629",-
