,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Defined Pension Benefit,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Due to Related Parties,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Current Capital Lease Obligation,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Long Term Provisions,Employee Benefits,Non Current Pension And Other Post-Retirement Benefit Plans,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number
29,9/30/2015,"858,420,000","227,836,000","95,730,000","94,643,000",-,"1,087,000","27,483,000","1,161,000","26,322,000","132,106,000","132,106,000",-,-,-,-,"177,103,000","166,475,000","10,218,000",-,"410,000",-,"34,624,000","274,825,000","275,776,000",-,"80,025,000","44,066,000","129,796,000","21,889,000","810,000","-141,000","54,361,000","54,361,000","48,501,000","515,000","4,519,000","4,519,000",-,-,-,-,"4,519,000",-,"8,735,000","8,526,000","209,000","5,521,000","5,521,000",-,"23,384,000","46,997,000","812,920,000","386,073,000","386,073,000","27,313,000","358,760,000",-,"51,313,000","46,861,000","46,861,000","46,097,000","764,000","764,000",-,"14,007,000","14,007,000","14,007,000",-,"62,260,000","184,000","190,126,000","190,126,000",-,"1,485,000",-,-,"155,000","155,000",-,"60,456,000","45,500,000","44,757,000","65,000","65,000","34,967,000","25,994,000","118,000","-16,151,000",-,"743,000","234,883,000","44,757,000",-,"36,022,000","248,890,000","36,022,000","204,133,000","108,403,000","1,845,645","1,840,350","5,295"
30,6/30/2015,"879,322,000","242,816,000","104,982,000","104,054,000",-,"928,000","28,851,000",-,"28,851,000","137,834,000","137,834,000",-,-,-,-,"216,449,000","205,688,000","7,391,000",-,"3,370,000",-,-,"270,171,000","270,171,000",-,-,-,-,-,-,-,"48,414,000","48,414,000","48,414,000",-,"4,429,000","4,429,000",-,-,-,-,"4,429,000",-,"8,443,000","8,238,000","205,000",-,-,-,0,"88,600,000","835,862,000","386,658,000","386,658,000","30,205,000","356,453,000",-,"58,567,000","48,039,000","48,039,000","48,039,000",-,-,-,"26,401,000","26,401,000","26,401,000",-,"59,390,000",-,"182,655,000","182,655,000",-,-,-,-,-,-,0,"74,152,000","43,460,000","42,642,000","65,000","65,000","34,188,000","25,860,000","151,000","-17,320,000",-,"818,000","225,297,000","42,642,000",-,"34,199,000","251,698,000","34,199,000","209,056,000","104,074,000","1,845,640","1,838,918","6,722"
31,3/31/2015,"904,390,000","233,889,000","89,030,000","87,913,000",-,"1,117,000","29,742,000","1,636,000","28,106,000","144,859,000","144,859,000",-,-,-,-,"209,664,000","198,731,000","9,800,000","244,000","1,133,000",-,"38,422,000","270,774,000","271,661,000",-,"78,977,000","43,600,000","128,155,000","20,929,000","767,000","-120,000","51,375,000","51,375,000","45,383,000","571,000","4,520,000","4,520,000",-,-,-,-,"4,520,000",-,"8,724,000","8,504,000","220,000","5,768,000","5,768,000",-,"25,491,000","55,192,000","860,105,000","392,269,000","392,269,000","27,262,000","365,007,000",-,"66,140,000","61,304,000","61,304,000","60,581,000","723,000","723,000",-,"27,577,000","27,577,000","27,577,000",-,"33,133,000","37,005,000","175,678,000","175,678,000",-,"1,202,000",-,-,"74,000","74,000",0,"65,723,000","44,285,000","43,396,000","64,000","64,000","33,137,000","27,589,000","1,008,000","-16,386,000",-,"889,000","219,074,000","43,396,000",-,"34,672,000","246,651,000","34,672,000","203,255,000","114,225,000","1,810,498","1,761,271","49,228"
32,12/31/2014,"921,415,000","243,801,000","80,593,000","79,349,000",-,"1,244,000","26,854,000","3,238,000","26,854,000","163,208,000","163,208,000",-,-,-,"1,896,000","252,535,000","241,131,000","11,404,000",-,"2,791,000","3,453,000","39,551,000","272,551,000","272,551,000",-,"78,937,000","44,141,000","128,000,000","22,343,000","758,000","-112,000","41,629,000","41,629,000","41,629,000","517,000","4,641,000","4,641,000","420,000","2,303,000","6,484,000","2,180,000","4,641,000","-9,136,000","8,893,000","8,644,000","249,000","6,077,000","6,077,000",-,0,"97,365,000","876,184,000","395,067,000","395,067,000","26,009,000","369,058,000",-,"70,119,000","56,977,000","56,977,000","56,977,000","821,000","821,000",-,"25,921,000","25,921,000","25,921,000",-,"72,655,000","469,000","177,898,000","177,898,000",-,"1,358,000",-,-,"47,000","47,000",0,"77,547,000","45,231,000","44,189,000","64,000","64,000","32,313,000","27,007,000","192,000","-15,003,000",-,"1,042,000","222,087,000","44,189,000",-,"35,296,000","248,008,000","35,296,000","203,819,000","123,226,000","1,810,463","1,801,827","8,636"
33,9/30/2014,"954,362,000","266,591,000","79,330,000","78,119,000",-,"1,211,000","25,806,000","3,560,000","22,246,000","187,261,000","187,261,000",-,-,-,-,"256,588,000","245,829,000","10,759,000",-,"2,484,000",-,"1,556,000","265,243,000","266,181,000",-,"74,907,000","43,810,000","126,154,000","21,310,000","811,000","-127,000","68,220,000","68,220,000","61,519,000","592,000","4,875,000","4,875,000",-,-,-,-,"4,875,000",-,"8,686,000","8,435,000","251,000","5,833,000","5,833,000",-,"22,482,000","53,696,000","909,411,000","393,768,000","393,768,000","30,548,000","363,220,000",-,"89,905,000","83,977,000","83,977,000","83,072,000","905,000","905,000",-,"32,310,000","32,310,000","32,310,000",-,"77,902,000","321,000","163,676,000","163,676,000",-,"3,079,000",-,-,"441,000","441,000",0,"64,032,000","44,951,000","43,864,000","64,000","64,000","31,417,000","26,851,000","163,000","-14,305,000",-,"1,087,000","207,540,000","43,864,000",-,"35,178,000","239,850,000","35,178,000","195,986,000","116,656,000","1,810,498","1,803,289","7,210"
34,6/30/2014,"891,580,000","233,962,000","68,218,000","66,469,000",-,"1,749,000","21,611,000",-,"21,611,000","165,744,000","165,744,000",-,-,-,-,"246,459,000","235,427,000","11,032,000",-,"3,323,000",-,-,"254,532,000","254,532,000",-,-,-,-,-,-,-,"56,309,000","56,309,000","56,309,000",-,"4,811,000","4,811,000",-,-,-,-,"4,811,000",-,"8,228,000","7,983,000","245,000",-,-,-,"979,000","86,300,000","849,553,000","372,997,000","372,997,000","26,701,000","346,296,000",-,"88,066,000","68,842,000","68,842,000","68,842,000",-,-,-,"29,426,000","29,426,000","29,426,000",-,"75,129,000",-,"143,827,000","143,827,000",-,-,-,-,-,-,"742,000","70,524,000","42,027,000","40,944,000","64,000","64,000","30,392,000","26,655,000","190,000","-15,977,000",-,"1,083,000","184,771,000","40,944,000",-,"32,716,000","214,197,000","32,716,000","173,253,000","105,035,000","1,810,498","1,802,388","8,111"
35,3/31/2014,"878,090,000","230,590,000","67,700,000","65,972,000",-,"1,728,000","24,570,000","1,541,000","23,029,000","162,890,000","162,890,000",-,-,-,-,"248,195,000","237,069,000","11,126,000",-,"3,320,000",-,"1,894,000","250,659,000","251,629,000",-,"69,101,000","40,036,000","123,020,000","19,472,000","866,000","-104,000","54,184,000","54,184,000","49,353,000","585,000","4,926,000","4,926,000",-,-,-,-,"4,926,000",-,"8,184,000","7,956,000","228,000","5,683,000","5,683,000",-,"21,364,000","51,826,000","833,808,000","372,661,000","372,661,000","24,211,000","348,450,000",-,"88,675,000","76,092,000","76,092,000","75,251,000","841,000","841,000",-,"24,181,000","24,181,000","24,181,000",-,"73,029,000","512,000","132,434,000","132,434,000",-,"2,633,000",-,-,"427,000","427,000","781,000","62,383,000","44,282,000","43,230,000","64,000","64,000","31,092,000","28,406,000","249,000","-16,083,000",-,"1,052,000","175,664,000","43,230,000",-,"35,046,000","199,845,000","35,046,000","156,615,000","88,915,000","1,788,029","1,788,029",-
36,12/31/2013,"872,602,000","230,229,000","70,207,000","68,692,000",-,"1,515,000","24,212,000","1,412,000","22,800,000","160,022,000","160,022,000",-,-,-,"1,654,000","242,729,000","229,413,000","13,316,000",-,"2,987,000","2,043,000","2,062,000","247,065,000","248,014,000",-,"66,381,000","37,503,000","122,290,000","21,840,000","858,000","-91,000","56,904,000","56,904,000","52,045,000","552,000","5,091,000","5,091,000","491,000","2,415,000","5,740,000","2,043,000","5,091,000","-7,968,000","8,209,000","7,999,000","210,000","5,971,000","5,971,000",-,"20,890,000","52,900,000","824,693,000","356,197,000","356,197,000","23,108,000","333,089,000",-,"94,032,000","79,623,000","79,623,000","78,759,000","864,000","864,000",-,"20,193,000","20,193,000","20,193,000",-,"76,635,000","384,000","130,042,000","130,042,000",-,"1,732,000",-,-,"394,000","394,000","1,140,000","64,321,000","47,909,000","42,907,000","64,000","64,000","31,004,000","27,852,000","139,000","-15,874,000",-,"5,002,000","172,949,000","42,907,000",-,"34,698,000","193,142,000","34,698,000","150,235,000","80,028,000","1,798,016","1,792,177","5,839"
37,9/30/2013,"895,169,000","233,140,000","71,264,000","69,600,000",-,"1,664,000","25,935,000","1,295,000","24,640,000","161,876,000","161,876,000",-,-,-,-,"258,272,000","244,422,000","13,850,000",-,"2,768,000",-,"2,365,000","245,232,000","246,200,000",-,"66,194,000","37,101,000","121,490,000","21,415,000","871,000","-97,000","62,228,000","62,228,000","56,699,000","713,000","5,287,000","5,287,000",-,-,-,-,"5,287,000",-,"8,324,000","8,114,000","210,000","6,106,000","6,106,000",-,"18,174,000","55,328,000","846,158,000","355,725,000","355,725,000","27,481,000","328,244,000",-,"94,193,000","85,626,000","85,626,000","84,683,000","943,000","943,000",-,"20,094,000","20,094,000","20,094,000",-,"92,350,000","469,000","128,821,000","128,821,000",-,"1,340,000",-,-,"167,000","167,000","6,000","67,367,000","49,011,000","42,162,000","64,000","64,000","30,859,000","27,503,000","85,000","-16,179,000",-,"6,849,000","170,983,000","42,162,000",-,"33,838,000","191,077,000","33,838,000","148,915,000","77,651,000","1,797,206","1,793,826","3,379"
38,6/30/2013,"919,903,000","231,551,000","58,147,000","56,584,000",-,"1,563,000","23,580,000","1,905,000","21,675,000","173,404,000","173,404,000",-,-,-,-,"261,008,000","245,834,000","15,174,000",-,"3,546,000",-,"2,387,000","246,186,000","247,176,000",-,"66,603,000","37,684,000","120,573,000","22,316,000","900,000","-90,000","77,980,000","77,980,000","72,247,000","809,000","5,459,000","5,459,000",-,-,-,-,"5,459,000",-,"8,791,000","8,554,000","237,000","6,599,000","6,599,000",-,"23,763,000","55,370,000","870,496,000","357,829,000","357,829,000","29,440,000","328,389,000",-,"99,073,000","99,922,000","99,922,000","99,069,000","853,000","853,000",-,"20,976,000","20,976,000","20,976,000",-,"89,917,000","763,000","133,505,000","133,505,000",-,"1,251,000",-,-,"165,000","165,000",-,"67,095,000","49,407,000","42,402,000","64,000","64,000","30,405,000","27,196,000","62,000","-15,201,000",-,"7,005,000","175,907,000","42,402,000",-,"33,611,000","196,883,000","33,611,000","154,481,000","96,334,000","1,795,962","1,793,339","2,623"
39,3/31/2013,"946,618,000","239,536,000","59,023,000","57,242,000",-,"1,781,000","33,199,000",-,"33,199,000","180,513,000","180,513,000",-,-,-,-,"279,713,000","264,201,000","15,512,000",-,"3,428,000",-,-,"248,995,000","248,995,000",-,-,-,-,-,-,-,"58,538,000","58,538,000","58,538,000",-,"5,593,000","5,593,000",-,-,-,-,"5,593,000",-,"8,840,000","8,584,000","256,000",-,-,-,-,"105,403,000","901,672,000","351,714,000","351,714,000","35,033,000","316,681,000",-,"127,182,000","73,466,000","73,466,000","73,466,000",-,-,-,"24,657,000","24,657,000","24,657,000",-,"91,490,000",-,"143,094,000","143,094,000",-,-,-,-,-,-,-,"90,069,000","44,946,000","37,825,000","54,000","54,000","29,474,000","23,808,000","446,000","-15,065,000",-,"7,121,000","180,919,000","37,825,000",-,"28,985,000","205,576,000","28,985,000","167,751,000","108,728,000","1,545,393","1,514,236","31,157"
40,12/31/2012,"924,187,000","247,163,000","63,708,000","61,763,000",-,"1,945,000","32,040,000","1,995,000","30,045,000","183,455,000","183,455,000",-,-,-,"1,872,000","271,919,000","256,399,000","15,520,000",0,"3,498,000","2,167,000","3,930,000","242,223,000","243,204,000",-,"65,438,000","34,264,000","118,597,000","24,905,000","922,000","-59,000","51,629,000","51,629,000","45,768,000","538,000","5,618,000","5,618,000","501,000","2,429,000","5,324,000","2,174,000","5,618,000","-7,970,000","8,632,000","8,389,000","243,000","7,009,000","7,009,000",-,"20,343,000","65,183,000","881,769,000","339,326,000","339,326,000","31,014,000","308,312,000",-,"132,721,000","72,291,000","72,291,000","71,428,000","863,000","863,000",-,"18,641,000","18,641,000","18,641,000",-,"90,816,000","1,182,000","148,134,000","148,134,000",-,"1,135,000",-,-,"130,000","130,000",-,"77,393,000","42,418,000","35,632,000","53,000","53,000","28,305,000","23,636,000","459,000","-15,903,000",-,"6,786,000","183,766,000","35,632,000",-,"27,000,000","202,407,000","27,000,000","166,775,000","103,067,000","1,524,195","1,492,995","31,200"
