,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Foreclosed Assets,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Defined Pension Benefit,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Due to Related Parties,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Current Capital Lease Obligation,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Long Term Provisions,Employee Benefits,Non Current Pension And Other Post-Retirement Benefit Plans,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number
10,12/31/2012,"924,187,000","247,163,000","63,708,000","61,763,000",-,"1,945,000","32,040,000","1,995,000","30,045,000","183,455,000","183,455,000",-,"1,872,000","271,919,000","256,399,000","15,520,000",0,"3,498,000","2,167,000","3,930,000","242,223,000","243,204,000",-,"65,438,000","34,264,000","118,597,000","24,905,000","922,000","-59,000","51,629,000","51,629,000","45,768,000","538,000","5,618,000","5,618,000","501,000","2,429,000","5,324,000","2,174,000","5,618,000","-7,970,000","8,632,000","8,389,000","243,000","7,009,000","7,009,000",-,"20,343,000","65,183,000","881,769,000","339,326,000","339,326,000","31,014,000","308,312,000",-,"132,721,000","72,291,000","72,291,000","71,428,000","863,000","863,000",-,"18,641,000","18,641,000","18,641,000",-,"90,816,000","1,182,000","148,134,000","148,134,000",-,"1,135,000",-,-,"130,000","130,000",-,"77,393,000","42,418,000","35,632,000","53,000","53,000","28,305,000","23,636,000","459,000","-15,903,000",-,"6,786,000","183,766,000","35,632,000",-,"27,000,000","202,407,000","27,000,000","166,775,000","103,067,000","1,524,195","1,492,995","31,200"
11,12/31/2011,"1,049,165,000","349,808,000","112,845,000","110,573,000",-,"112,845,000","32,274,000","2,083,000","30,191,000","236,963,000","236,963,000",-,"2,022,000","328,130,000","279,553,000","48,575,000","2,000","1,950,000","2,542,000","19,515,000","233,413,000","234,357,000",-,"59,998,000","121,411,000","25,185,000","27,763,000","910,000","-34,000","49,536,000","49,536,000","43,446,000","601,000","7,193,000","14,975,000","872,000","4,060,000","4,614,000","2,241,000","3,188,000","-7,782,000","8,879,000","8,591,000","288,000","8,939,000","8,939,000",-,"21,205,000","21,946,000","1,008,080,000","313,401,000","353,548,000","40,147,000","313,401,000","15,664,000","176,559,000","116,090,000","116,090,000","75,176,000","767,000","767,000","40,147,000","26,116,000","26,116,000","26,116,000",-,"127,760,000","13,932,000","162,655,000","162,655,000",-,"1,113,000",-,-,"429,000","429,000",-,"70,025,000","41,085,000","33,674,000","49,000","49,000","27,053,000","21,796,000","90,000","-15,134,000",-,"7,411,000","196,329,000","33,674,000",-,"24,795,000","222,445,000","24,795,000","188,771,000","75,926,000","1,412,841","1,408,213","4,627"
12,12/31/2010,"1,032,005,000","287,434,000","66,991,000","65,467,000",-,"66,991,000","43,939,000","1,792,000","42,147,000","220,443,000","220,443,000",-,"1,895,000","391,730,000","324,704,000","67,026,000","452,000","1,847,000","3,954,000","50,477,000","218,842,000","219,891,000",-,"54,673,000","114,885,000","107,987,000","50,333,000","1,017,000","-32,000","38,769,000","43,927,000","38,769,000","452,000","6,725,000","13,677,000","882,000","3,944,000","3,801,000","1,958,000","3,092,000","-6,952,000","8,897,000","8,585,000","312,000","9,417,000","9,417,000",-,"23,000","79,585,000","988,990,000","287,564,000","325,057,000","37,493,000","287,564,000",-,"168,394,000","99,239,000","99,239,000","68,544,000","1,137,000","1,137,000",-,"21,683,000","21,683,000","21,683,000",-,"133,997,000","1,203,000","173,752,000","173,752,000",-,"1,724,000",-,-,"412,000","412,000",-,"104,361,000","43,015,000","33,282,000","47,000","47,000","25,316,000","23,026,000","552,000","-14,555,000",-,"9,733,000","207,034,000","33,282,000",-,"24,385,000","228,717,000","24,385,000","195,435,000","128,444,000","1,368,721","1,354,642","14,078"
13,12/31/2009,"1,031,427,000","262,533,000","53,034,000","51,857,000",-,"53,034,000","39,343,000","1,827,000","37,516,000","209,499,000","209,499,000",-,"2,099,000","404,979,000","332,238,000","72,741,000","439,000","2,508,000","3,679,000","57,153,000","237,180,000","237,180,000",-,"112,929,000","108,810,000",-,"13,128,000","1,395,000","-25,000","41,960,000","47,715,000","3,733,000","970,000","6,436,000","13,002,000","867,000","3,766,000","3,233,000","1,920,000","3,216,000","-6,566,000","9,595,000","9,267,000","328,000","9,137,000","9,137,000",-,"14,570,000","68,744,000","983,099,000","286,694,000","322,908,000","36,214,000","286,694,000",-,"191,687,000","95,179,000","95,179,000","65,993,000","1,519,000","1,519,000",-,"7,645,000","7,645,000","7,645,000",-,"133,481,000","57,733,000","159,365,000","159,365,000",-,"1,770,000",-,-,"318,000","318,000",0,"109,048,000","48,328,000","37,517,000","47,000","47,000","25,258,000","24,706,000","856,000","-11,638,000",-,"10,811,000","196,882,000","37,517,000",-,"27,922,000","204,527,000","27,922,000","167,010,000","113,976,000","1,367,879","1,349,231","18,647"
14,12/31/2008,"1,170,350,000","361,075,000","92,047,000","90,035,000",-,"92,047,000","32,606,000","3,152,000","29,454,000","269,028,000","269,028,000",-,"1,992,000","386,055,000","342,778,000","43,277,000","804,000","3,424,000","2,787,000","108,620,000","235,797,000","235,797,000",-,"114,754,000","107,027,000",-,"11,852,000","1,639,000","-27,000","68,843,000","65,013,000","3,830,000","533,000","6,350,000","12,212,000","860,000","3,830,000","2,592,000","1,874,000","3,056,000","-5,862,000","9,753,000","9,330,000","423,000","10,627,000","10,627,000",-,"1,023,000","170,297,000","1,123,129,000","296,986,000","355,169,000","58,183,000","296,986,000",-,"243,370,000","58,183,000","58,183,000","102,952,000","1,902,000","1,902,000",-,"10,964,000","10,964,000","10,964,000",-,"154,465,000","94,808,000","150,714,000","150,714,000",-,"1,802,000",-,-,"857,000","857,000","872,000","207,575,000","47,221,000","32,302,000","47,000","47,000","18,780,000","25,166,000","752,000","-10,939,000",-,"14,919,000","183,016,000","32,302,000",-,"22,549,000","193,980,000","22,549,000","161,678,000","69,631,000","1,366,981","1,343,094","23,887"
15,12/31/2007,"1,360,680,000","338,927,000","42,218,000","38,459,000","38,494,157","3,759,000","28,314,000",-,"28,314,000","296,709,000","296,709,000",-,"52,000","474,349,000","433,598,000","37,222,000","277,000","3,529,000","2,562,000","99,550,000","285,131,000","286,385,000","47,975,000","117,197,000","107,728,000",-,"13,485,000","1,234,000","-20,000","69,069,000","65,691,000","3,378,000","565,000","6,149,000","11,767,000","892,000","3,869,000","2,234,000","1,764,000","3,008,000","-5,618,000","11,326,000","10,882,000","444,000","5,804,000","5,804,000",-,"231,000","67,017,000","1,317,481,000","426,369,000","426,369,000","90,864,000","335,505,000","11,366,055","300,381,000","70,978,000","70,978,000","67,637,000","3,341,000","3,341,000",-,"19,390,000","19,390,000","19,390,000",-,"122,720,000","79,173,000","160,157,000","160,157,000",-,"2,279,000",-,-,"787,000","787,000",-,"135,247,000","43,199,000","43,199,000","46,000","46,000","33,670,000","24,553,000","9,378,000","-5,692,000","-1,134","16,654,860","203,356,000","43,199,000",-,"31,873,000","222,746,000","31,873,000","179,547,000","137,329,000","1,505,041","1,341,409","163,633"
16,12/31/2006,"1,255,956,000","356,216,000","37,168,000","29,040,000","29,064,175","8,128,000","32,385,000",-,"32,385,000","319,048,000","319,048,000",-,"55,000","432,596,000","392,628,000","35,325,000","773,000","4,643,000","1,401,000","60,372,000","204,539,000","206,015,000",-,"99,677,000","95,206,000",-,"11,132,000","1,484,000","8,000","61,628,000","58,040,000","3,588,000","477,000","5,990,000","11,916,000","934,000","3,904,000","1,946,000","1,739,000","3,393,000","-5,926,000","11,499,000","11,023,000","476,000","5,317,000","5,317,000",-,"53,346,000","62,575,000","1,212,370,000","388,378,000","309,962,000",-,"309,962,000","78,416,000","288,444,000","65,412,000","65,412,000","62,441,000","2,971,000","2,971,000",-,"21,556,000","21,556,000","21,556,000",-,"198,422,000","970,000","147,832,000","147,832,000",-,"2,104,000",-,-,"779,000","779,000",-,"98,473,000","43,586,000","43,586,000","607,000","607,000","32,306,000","24,817,000","9,111,000","-5,033,000","1,220","15,330,446","191,418,000","43,586,000",-,"32,087,000","212,974,000","32,087,000","169,388,000","132,220,000","1,401,911","1,226,052","175,859"
17,12/31/2005,"1,342,223,184","386,914,845","33,799,488",-,"27,642,513","6,156,975",-,-,-,"353,115,357","353,115,357",-,-,"582,140,340","436,281,273","145,859,067",-,-,-,-,"206,157,912","208,404,714",-,-,-,-,"208,404,714","2,246,802",-,-,-,-,-,"7,445,001",-,-,-,-,-,-,-,"16,060,815",-,-,-,-,-,-,"143,504,271","1,292,140,308","365,101,374","365,101,374",-,"365,101,374",-,"310,536,747",-,-,-,-,-,-,"19,517,940","19,517,940","19,517,940",-,-,-,"133,289,619","133,289,619",-,-,-,-,-,-,-,"463,694,628","50,082,876","42,217,752","625,575","625,575","24,642,387","24,697,701","5,836,944","-1,910,967",-,"7,865,124","175,507,371","42,217,752",-,"26,156,937","195,025,311","26,156,937","152,807,559","119,008,071","1,298,629","1,298,629",-
18,12/31/2004,"1,087,994,354","297,355,828","30,552,676",-,"25,612,510","4,940,166",-,-,-,"266,803,152","266,803,152",-,-,"479,753,366","345,995,096","133,758,271",-,-,-,-,"184,146,824","187,180,440",-,-,-,-,"187,180,440","3,033,615",-,-,-,-,-,"7,221,645",-,-,-,-,-,-,-,"15,231,894",-,-,-,-,-,-,"104,284,796","1,045,601,234","298,931,895","298,931,895",-,"298,931,895",-,"239,395,772",-,-,-,-,-,-,"15,321,922","15,321,922","15,321,922",-,-,-,"106,116,133","106,116,133",-,-,-,-,-,-,-,"385,835,512","42,393,120","36,223,326","606,267","606,267","20,472,914","23,402,826","4,541,306","-3,717,375",-,"6,169,794","142,339,459","36,223,326",-,"20,991,432","157,661,381","20,991,432","121,438,055","90,885,379","1,281,850","1,281,850",-
19,12/31/2003,"1,003,687,382","284,697,010","27,773,293",-,"24,783,200","2,990,093",-,-,-,"256,923,717","256,923,717",-,-,"424,665,089","295,892,821","128,772,268",-,-,-,-,"177,069,768","181,712,901",-,-,-,-,"181,712,901","4,643,133",-,-,-,-,-,"7,814,143",-,-,-,-,-,-,-,"16,370,543",-,-,-,-,-,-,"93,070,829","966,761,653","261,827,073","261,827,073",-,"261,827,073",-,"251,841,922",-,-,-,-,-,-,"11,489,492","11,489,492","11,489,492",-,-,-,"89,642,074","89,642,074",-,-,-,-,-,-,-,"351,961,093","36,925,729","33,970,332","1,194,550","1,194,550","14,863,724","23,571,302","3,142,510","-2,517,973","1,239","2,955,397","123,612,406","33,970,332",-,"17,599,789","135,101,897","17,599,789","101,131,565","73,358,272","1,304,402","1,304,402",-
20,12/31/2002,"956,518,400","198,507,795","198,507,795",-,"2,553,053","195,954,742",-,-,-,-,-,-,-,"206,712,949",-,"206,712,949",-,-,-,-,"94,981,301","102,691,603",-,-,-,-,"102,691,603","7,710,302",-,"12,300,821",-,-,-,"8,159,540",-,-,-,-,-,-,-,"18,375,897",-,-,-,-,-,-,"417,480,097","925,096,638","298,251,016","298,251,016",-,"298,251,016",-,-,"10,227,416","10,227,416",-,-,-,-,-,-,-,-,-,-,"394,855,101","394,855,101",-,-,-,-,-,-,-,"221,763,105","31,421,762","28,541,111","1,191,517","1,191,517","4,735,657","20,728,521",-,"1,885,416",-,"2,880,651","423,396,212","28,541,111",-,"10,165,214","423,396,212","10,165,214","394,855,101","196,347,307","1,373,096","1,373,096",-
21,12/31/2001,"1,025,913,308","207,566,036","207,566,036",-,"3,103,906","204,462,130",-,-,-,-,-,-,-,"278,630,026",-,"278,630,026",-,-,-,-,"92,962,572","92,962,572",-,-,-,-,-,-,-,"11,862,009",-,-,-,"9,453,032",-,-,-,-,-,-,-,"22,926,013",-,-,-,-,-,-,"402,513,621","986,862,611","301,296,687","301,296,687",-,"301,296,687",-,-,"11,903,572","11,903,572",-,-,-,-,-,-,-,-,-,-,"421,853,600","421,853,600",-,-,-,-,-,-,-,"251,808,752","39,050,697","35,918,529","3,602,659","3,602,659","7,250,206","19,511,217",-,"5,556,108","-1,663","3,132,169","457,772,129","35,918,529",-,"12,992,516","457,772,129","12,992,516","421,853,600","214,287,564","1,380,849","1,380,849",-
22,12/31/2000,"1,059,522,303","321,718,811","36,939,415",-,"14,008,937","22,930,478",-,-,-,"284,779,396","284,779,396",-,-,"294,019,505","172,179,105","121,840,400",-,-,-,-,"193,975,996","204,695,752",-,-,-,-,"204,695,752","10,719,756",-,"55,581,344",-,-,-,"24,206,370",-,-,-,-,-,-,-,"18,087,264",-,-,"2,787,880",-,-,-,"149,145,133","1,008,894,136","268,016,537","268,016,537",-,"268,016,537",-,"227,674,743","71,936,694","71,936,694","43,821,793","28,114,901","28,114,901",-,"3,284,330","3,284,330","3,284,330",-,-,-,"98,518,583","98,518,583",-,-,-,-,-,-,-,"339,463,249","50,628,167","46,693,763","6,020,463","6,020,463","14,980,814","22,236,742","7,289,887","10,744,012","1,617","3,934,404","145,212,346","46,693,763",-,"28,606,499","148,496,676","28,606,499","101,802,913","64,863,498","1,273,844","1,273,844",-
