,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income from Tax Loss Carryforward,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
117,3/31/1991,-900,"5,700","19,600","17,600","17,600","2,000",-,-,"13,900","11,000",-,"-2,900","5,800","-6,600",-,100,100,-,-,-500,600,-,-,-,-,-,-,"-6,700","1,100","2,300",-300,-300,-,"1,200","1,000","1,000",-,-,200,-,-,-,-,"1,400",-,-,-,"2,500","1,000","1,400","1,500","1,500","1,500",-,-,100,"1,400",0.17,0.16,"8,073","8,746","6,800","1,500","1,500",-,-,"1,500",-,-,0,0
118,12/31/1990,-900,"5,100","19,200","16,800","16,800","2,300",-,-,"14,100","11,700",-,"-2,300","4,700","-6,000",-,700,700,-,-,0,700,-,-,-,-,-,-,"-6,700","1,600","2,300",-300,-300,-,"1,000",800,800,-,-,200,-,-,-,-,"1,600",-,-,-,"1,900",600,"1,200","1,300","1,300","1,300",-,-,100,"1,200",-,-,-,-,"6,700","1,300","1,300",-,-,"1,300",-,-,0,0
119,9/30/1990,-500,"4,200","17,600","15,100","15,100","2,400",-,100,"13,400","11,300",-,"-2,000","4,100","-4,700",-,300,300,-,-,-100,400,-,-,-,-,-,-,"-5,000",900,"2,100",-300,-300,-,900,700,700,-,-,200,-,-,-,-,"1,500",-,-,-,"1,700",500,"1,100","1,200","1,200","1,200",-,-,100,"1,100",0.14,0.14,"7,853","7,853","5,100","1,200","1,200",-,-,"1,200",-,-,0,0
120,6/30/1990,200,"3,700","15,300","13,200","13,200","2,100",-,-,"11,600","10,600",-,-900,"1,900","-3,500",-,400,400,-,-,-100,500,-,-,-,-,-,-,"-3,900",200,"2,400",-300,-300,-,"1,300","1,000","1,000",-,-,300,-,-,-,-,"1,400",-,-,-,"1,500",500,"1,000","1,000","1,000","1,000",-,-,-,"1,000",0.13,0.13,"7,891","7,891","3,900","1,000","1,000",-,-,"1,000",-,-,0,0
121,3/31/1990,-200,"2,700","14,300","11,700","11,700","2,600",-,-,"11,600","10,600",-,"-1,000","2,000","-2,900",-,500,500,-,-,-,-,-,-,-,-,-,-,"-3,400",800,"2,100",-300,-300,-,"1,200",800,800,-,-,400,-,-,-,-,"1,200",-,-,-,400,100,300,300,300,300,-,-,-,300,0.03,0.03,"8,996","8,996","3,500",300,300,-,-,300,-,-,0,0
122,12/31/1989,"-4,600","-9,800","-32,600",-,-,-,-,-,"-22,800",-,-,-,-,"5,200",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,600,300,300,300,300,300,-,-,-,300,-,-,-,-,"-10,100",300,300,-,-,300,-,-,0,0
123,9/30/1989,200,"2,100","12,100","9,200","9,200","2,900",-,-,"10,000","9,100",-,"-1,000","1,900","-1,900",-,0,-,-,-,-500,-,-,-,-,-,-,-,"-1,900",200,"1,800",-300,-300,-,"1,000",700,700,-,-,300,-,-,-,-,"1,100",-,-,-,500,200,300,300,300,300,-,-,-,300,0.03,0.03,"8,996","8,996","2,300",300,300,-,-,300,-,-,0,0
124,6/30/1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300,300,300,300,-,-,-,300,0.04,0.04,"7,496","7,496",-,300,300,-,-,300,-,-,0,0
125,3/31/1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,200,200,200,-,-,-,200,0.03,0.03,"7,496","7,496",-,200,200,-,-,200,-,-,0,0
126,12/31/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,400,400,400,400,-,-,-,400,-,-,-,-,-,400,400,-,-,400,-,-,0,0
127,9/30/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,100,-,-,-,100,0.02,0.02,"4,998","4,998",-,100,100,-,-,100,-,-,0,0
128,6/30/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300,300,300,300,-,-,-,300,0.04,0.04,"7,496","7,496",-,300,300,-,-,300,-,-,0,0
129,3/31/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,100,-,-,-,100,0.02,0.02,"4,998","4,998",-,100,100,-,-,100,-,-,0,0
130,12/31/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,200,200,200,-,-,-,200,-,-,-,-,-,200,200,-,-,200,-,-,0,0
131,9/30/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,200,200,200,-,-,-,200,0.03,0.03,"5,997","5,997",-,200,200,-,-,200,-,-,0,0
132,6/30/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,200,200,200,-,-,-,200,0.03,0.03,"5,997","5,997",-,200,200,-,-,200,-,-,0,0
133,3/31/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,100,-,-,-,100,0.02,0.02,"4,998","4,998",-,100,100,-,-,100,-,-,0,0
134,12/31/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,200,200,200,-,-,-,200,-,-,-,-,-,200,200,-,-,200,-,-,0,0
135,9/30/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,100,-,-,-,100,0.03,0.03,"2,999","2,999",-,100,100,-,-,100,-,-,0,0
136,6/30/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,100,-,-,-,100,0.03,0.03,"2,999","2,999",-,100,100,-,-,100,-,-,0,0
137,3/31/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,100,-,-,-,100,0.03,0.03,"2,999","2,999",-,100,100,-,-,100,-,-,0,0
