,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Other Current Assets,Change in Other Current Liabilities,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"252,000","252,000","1,665,000",-,-,-,"192,000","192,000",-,-,-,"20,000","20,000","-908,000",-,"199,000",-,"107,000","-1,023,000",-,-,-,-,-,"-642,000","-381,000","-38,805,000","-38,805,000",-,"-6,236,000","-7,930,000","1,694,000","-31,937,000",0,"-31,937,000","-197,000","-197,000",-,-,"-435,000","29,889,000","29,889,000",-,"9,800,000","3,100,000","3,600,000","-500,000","6,700,000",-,"402,000","402,000",0,0,0,"-348,000","-190,000","-158,000","34,000","-104,000",-,"4,283,000","-8,664,000","12,947,000","304,000","802,000","-197,000","402,000","3,600,000","-500,000",0,"55,000"
1,12/31/2022,"24,000","24,000","386,000",-,-,-,"44,000","44,000",-,-,-,"6,000","6,000","-110,000",-,"50,000",-,"30,000","-382,000",-,-,-,-,-,"-418,000","36,000","-8,205,000","-8,205,000",-,"26,000","-248,000","274,000","-8,101,000",-,"-8,101,000","-45,000","-45,000",-,-,"-85,000","6,932,000","6,932,000",-,"3,000,000","1,400,000","1,400,000",0,"1,600,000",-,0,0,0,0,0,"-91,000","-51,000","-40,000","7,000","-31,000",-,"4,283,000","-1,249,000","5,532,000","31,000","451,000","-45,000",0,"1,400,000",0,0,"-21,000"
2,9/30/2022,"112,000","112,000","445,000",-,-,-,"48,000","48,000",-,-,-,"-56,000","-56,000","-187,000",-,"56,000",-,"36,000","-230,000",-,-,-,-,-,"52,000","-282,000","-7,876,000","-7,876,000",-,"-460,000","-929,000","469,000","-7,278,000",-,"-7,278,000","-48,000","-48,000",-,-,"-90,000","7,059,000","7,059,000",-,0,"1,200,000","1,200,000",0,"-1,200,000",-,"402,000","402,000",0,0,0,"-90,000","-50,000","-40,000","7,000","-17,000",-,"5,532,000","-705,000","6,237,000","67,000","239,000","-48,000","402,000","1,200,000",0,0,"64,000"
3,6/30/2022,"106,000","106,000","433,000",-,-,-,"49,000","49,000",-,-,-,"-22,000","-22,000","-255,000",-,"53,000",-,"31,000","-183,000",-,-,-,-,-,"-175,000","-8,000","-11,866,000","-11,866,000",-,"-1,388,000","-1,829,000","441,000","-10,196,000",-,"-10,196,000","-49,000","-49,000",-,-,"-233,000","10,241,000","10,241,000",-,"6,800,000","500,000",-,"-500,000",-,-,0,0,0,0,0,"-90,000","-49,000","-41,000","8,000","-42,000",-,"6,237,000","-1,519,000","7,756,000","120,000","61,000","-49,000",0,-,"-500,000",0,"57,000"
4,3/31/2022,"10,000","10,000","401,000",-,-,-,"51,000","51,000","51,000",-,-,"92,000","92,000","-356,000",-,"40,000",-,"10,000","-228,000",-,-,-,-,-,"-101,000","-127,000","-10,858,000","-10,858,000",-,"-4,414,000","-4,924,000","510,000","-6,362,000",-,"-6,362,000","-55,000","-55,000",-,-,"-27,000","5,657,000","5,657,000",-,0,0,-,0,-,-,0,0,0,0,0,"-77,000","-40,000","-37,000","12,000","-14,000",-,"7,756,000","-5,191,000","12,947,000","86,000","51,000","-55,000",0,-,0,0,"-45,000"
5,12/31/2021,"981,183","981,183","400,374","3,630","3,123",-,"43,883","43,883","43,883",-,-,"-43,259","-43,259","-149,122",-,"71,524",-,"23,440","630,713",-,-,-,-,-,"248,435","382,278","-7,907,750","-7,907,750",-,"-1,360,985","-2,004,435","643,450","-6,574,941",0,"-6,574,941","-60,193","-60,193",-,-,"88,369","7,593,874","7,593,874",-,"-4,000,000","-4,000,000",0,"-4,000,000",0,-,-268,-268,"721,448","721,448",0,"-72,551","-40,158","-32,393","8,867","-54,336",-,"12,947,000","667,307","12,279,447","70,741","41,012","-60,193","721,180",0,"-4,000,000",0,"920,990"
6,9/30/2021,"538,901","538,901","369,687","-2,279","-2,139",-140,"48,405","48,405","53,142",-,-,"-32,992","-32,992","-4,927",-,"68,006",-,"34,025","58,976",-,-,-,-,-,"48,018","10,958","-6,606,743","-6,606,743",-,"-1,304,889","-1,969,844","664,955","-5,263,782",0,"-5,263,782","-47,542","-47,542",-,-,"9,470","10,470,337","10,470,337",-,"-1,300,000","-1,300,000",0,"-1,300,000",0,-,"443,919","443,919","735,724","735,724",0,"-63,621","-39,194","-24,427","5,934","-23,457",-,"12,279,447","4,402,495","7,876,952","35,252","73,255","-47,542","1,179,643",0,"-1,300,000",0,"491,359"
7,6/30/2021,"152,300","152,300","373,106","-1,387","-1,329",-58,"48,935","48,935","46,659","2,276","2,276","-28,249","-28,249","-215,872",-,"56,511",-,"16,143","-96,887",-,-,-,-,-,"-207,219","110,332","-6,305,262","-6,305,262",-,"-1,235,327","-1,942,283","706,956","-5,040,982",0,"-5,040,982","-44,454","-44,454",-,-,"15,501","5,140,422","5,140,422",-,"-1,505,000","-1,505,000",0,"-1,505,000",0,-,0,0,0,0,0,"-63,598","-39,943","-23,655","7,234","-50,389",-,"7,876,952","-1,012,540","8,889,492","88,084","65,920","-44,454",0,0,"-1,505,000",0,"107,846"
8,3/31/2021,"-468,384","-468,384","334,833",-964,-655,-309,"42,777","42,777","40,316","2,461","2,461","25,500","25,500","-692,079",-,"43,959",-,"-14,608","-207,802",-,-,-,-,-,"-146,234","-61,568","-8,323,245","-8,323,245",-,"-2,759,799","-3,556,438","796,639","-5,519,295",0,"-5,519,295","-45,811","-45,811",-,-,"1,660","12,586,367","12,586,367",-,"-1,250,000","-1,250,000",0,"-1,250,000",0,-,"331,349","331,349","582,828","732,828","-150,000","-54,230","-35,705","-18,525","6,965","-9,818",-,"8,889,492","3,794,738","5,094,754","60,923","91,813","-45,811","1,064,177",0,"-1,250,000","-150,000","-514,195"
9,12/31/2020,"112,754","112,754","295,560","-2,500",-88,"-2,412","41,541","41,541","38,823","2,718","2,718","-12,220","-12,220","-243,628",-,"43,928",-,"35,066","-44,993",-,-,-,-,-,"-62,486","17,493","-7,542,199","-7,542,199",-,"283,468","-771,700","1,055,168","-7,799,097",506,"-7,799,603","-47,823","-47,823",-,-,"21,253","8,833,050","8,833,050",-,"-1,755,000","-1,750,000","800,000","-2,550,000","-5,000",-,"225,416","225,416","-99,897",103,-,"-51,434","-35,362","-16,072","6,392","-13,147",-,"5,094,754","1,403,605","3,691,149","53,027","92,263","-47,823","225,519","800,000","-2,550,000",-,"64,931"
10,9/30/2020,"74,365","74,365","293,137","-13,392",405,"-13,797","40,906","40,906","37,584","3,322","3,322","-48,533","-48,533","-606,191",-,"34,372",-,"28,538","345,528",-,-,-,-,-,"204,511","141,017","-3,901,862","-3,901,862",-,"230,649","-909,671","1,140,320","-4,113,098","568,836","-4,681,934","-32,545","-32,545",-,-,"13,132","4,419,476","4,419,476",-,"-1,900,000","-1,900,000",0,"-1,900,000",0,-,0,0,-,-,-,"-49,873","-35,057","-14,816","4,461","-2,577",-,"3,691,149","591,979","3,099,170","19,328","153,821","-32,545","491,961",0,"-1,900,000",-,"41,820"
11,6/30/2020,"112,590","112,590","256,768",-382,"-1,529","1,147","43,132","43,132","39,323","3,809","3,809","-12,353","-12,353","-147,603",-,"34,675",-,"31,117","-92,764",-,-,-,-,-,"-213,442","120,678","-4,882,877","-4,882,877",-,"-113,338","-909,756","796,418","-4,715,646","292,597","-5,008,243","-29,413","-29,413",-,-,"-24,480","3,920,079","3,920,079",-,"-840,000","-845,000","5,000","-850,000","5,000",-,0,0,-,-,-,"-49,892","-35,075","-14,817","5,972","-41,180",-,"3,099,170","-850,208","3,949,378","41,852","153,916","-29,413",0,"5,000","-850,000",-,"83,177"
12,3/31/2020,"231,553","231,553","218,686","-4,553","-2,628","-1,925","40,500","40,500","37,153","3,347","3,347","1,864","1,864","156,651",-,"36,410",-,"62,370","-280,375",-,-,-,-,-,"13,945","-294,320","-5,527,879","-5,527,879",-,"-163,271","-897,351","734,080","-5,160,260","91,813","-5,252,073","-38,886","-38,886",-,-,"-165,462","7,546,147","7,546,147",-,"3,750,000","4,550,000","6,150,000","-1,600,000","-800,000",-,"290,600","290,600",-,-,-,"-46,295","-33,275","-13,020","7,058","-9,169",-,"3,949,378","2,249,821","1,699,557","43,226","214,860","-38,886","290,600","6,150,000","-1,600,000",-,"192,667"
13,12/31/2019,"-863,693","-863,693","246,330","1,472","1,541",-69,"39,777","39,777","36,693","3,084","3,084","-26,235","-26,235","-142,598",-,"27,552",-,"9,579","-1,019,570",-,-,-,-,-,"-18,788","-1,000,782","-5,505,380","-5,505,380",-,"-891,182","-1,607,524","716,342","-4,489,319",0,"-4,489,319","-46,925","-46,925",-,-,"-107,219","5,887,030","5,887,030",-,"1,325,000","1,300,000","2,350,000","-1,050,000","25,000",-,"-13,193","-13,193","192,504","382,504","-190,000","-43,204","-32,496","-10,708","18,095","-3,147",-,"1,699,557","-482,043","2,181,600","34,975","209,515","-46,925","369,311","2,350,000","-1,050,000","-190,000","-910,618"
14,9/30/2019,"1,173,918","1,173,918","234,844",561,683,-122,"36,208","36,208","32,668","3,540","3,540","-49,769","-49,769","-85,904",-,"25,470",-,"16,711","995,797",-,-,-,-,-,"81,478","914,319","-5,318,174","-5,318,174",-,"-1,138,319","-2,496,725","1,358,406","-4,095,810",0,"-4,095,810","-50,734","-50,734",-,-,"-33,311","4,105,783","4,105,783",-,"1,875,000","1,100,000","2,100,000","-1,000,000","775,000",-,"4,249","4,249",0,0,0,"-45,231","-32,444","-12,787",7,"-17,593",-,"2,181,600","-38,473","2,220,073","20,505","243,527","-50,734","4,249","2,100,000","-1,000,000",0,"1,123,184"
15,6/30/2019,"388,044","388,044","222,564","1,078","1,063",15,"31,949","31,949","28,491","3,458","3,458","-17,335","-17,335","-198,606",-,"25,042",-,"21,200","302,152",-,-,-,-,-,"-22,855","325,007","-4,993,324","-4,993,324",-,"45,264","-588,243","633,507","-4,895,123",0,"-4,895,123","-36,534","-36,534",-,-,"-106,931","3,131,957","3,131,957",-,"1,400,000","1,400,000","2,200,000","-800,000",0,-,"4,779","4,779",0,-,0,"-45,222","-32,434","-12,788",1,"-46,979",-,"2,220,073","-1,473,323","3,693,396","50,035","191,679","-36,534","4,779","2,200,000","-800,000",0,"351,510"
16,3/31/2019,"240,242","240,242","226,591",-210,149,-359,"29,705","29,705","26,435","3,270","3,270","23,509","23,509","-1,514",-,"26,312",-,"14,200","-78,351",-,-,-,-,-,383,"-78,734","-1,217,874","-1,217,874",-,"215,849","-225,535","441,384","-1,386,674","151,256","-1,537,930","-33,748","-33,748",-,-,"-13,301","1,859,869","1,859,869",-,"-800,000","-700,000","400,000","-1,100,000","-100,000",-,"174,750","174,750",0,-,0,"-43,502","-30,715","-12,787",75,"-21,911",-,"3,693,396","882,237","2,811,159","49,800","163,396","-33,748","174,750","400,000","-1,100,000",0,"206,494"
17,12/31/2018,"-34,840","-34,840","231,418",734,"1,313",-579,"30,865","30,865","27,019","3,846","3,846","-16,550","-16,550",174,-,"26,543",-,"25,089","-333,113",-,-,-,-,-,"-42,433","-290,680","-3,316,326","-3,316,326",-,"163,343","-287,430","450,773","-3,441,747","251,932","-3,693,679","-34,629","-34,629",-,-,"-3,293","3,148,680","3,148,680",-,"-900,000","-900,000",0,"-900,000",-,-,"4,544","4,544","-199,999",1,"-200,000","-46,511","-30,283","-16,228",37,"-6,998",-,"2,811,159","-202,486","3,013,645","30,625","166,543","-34,629","4,545",0,"-900,000","-200,000","-69,469"
18,9/30/2018,"800,062","800,062","213,546","1,352","1,655",-303,"29,408","29,408","25,048","4,360","4,360","-31,676","-31,676","37,141",-,"25,541",-,"18,633","506,117",-,-,-,-,-,"65,143","440,974","-3,373,303","-3,373,303",-,"262,099","-146,116","408,215","-3,559,047",-1,"-3,559,046","-36,444","-36,444",-,-,"-39,911","1,593,660","1,593,660",-,"-550,000","-50,000","700,000","-750,000","-500,000",-,"203,095","203,095",-52,-52,0,"-46,973","-29,861","-17,112",0,-724,-,"3,013,645","-979,581","3,993,226","3,302","138,347","-36,444","203,043","700,000","-750,000",0,"763,618"
19,6/30/2018,"77,265","77,265","209,781","-3,018","1,027","-4,045","28,013","28,013","23,560","4,453","4,453","-6,170","-6,170","20,411",-,"20,389",-,"19,370","-211,511",-,-,-,-,-,"-143,841","-67,670","-3,403,179","-3,403,179",-,"145,673","-143,752","289,425","-3,408,759","656,948","-4,065,707","-36,509","-36,509",-,-,"-103,584","3,479,209","3,479,209",-,"1,750,000","1,150,000","1,750,000","-600,000","600,000",-,"2,798","2,798","290,211",-,0,"-41,860","-29,697","-12,163",0,"-38,474",-,"3,993,226","153,295","3,839,931","63,578","112,535","-36,509","293,009","1,750,000","-600,000",0,"40,756"
20,3/31/2018,"268,717","268,717","199,083","-9,886","-9,197",-689,"26,077","26,077","21,951","4,126","4,126","-38,202","-38,202","1,790",-,"20,661",-,"13,000","56,194",-,-,-,-,-,"41,173","15,021","-969,211","-969,211",-,"2,114,922","-334,060","2,448,982","-3,030,651","91,171","-3,121,822","-26,293","-26,293",-,-,"-27,189","2,243,404","2,243,404",-,"100,000","200,000","850,000","-650,000","-100,000",-,"3,027","3,027","-150,000",-,"-150,000","-40,224","-28,002","-12,222",6,"-5,407",-,"3,839,931","1,542,910","2,297,021",347,"99,359","-26,293","3,027","850,000","-650,000","-150,000","242,424"
21,12/31/2017,"219,460","219,460","194,277","-3,065",0,"-3,065","27,890","27,890","24,045","3,845","3,845","22,310","22,310","4,667",-,"22,451",-,"17,042","-66,112",-,-,-,-,-,"-70,272","4,160","-3,912,053","-3,912,053",-,"-1,054,737","-1,324,624","269,887","-2,738,916","849,552","-3,588,468","-41,481","-41,481",-,-,"-76,919","3,308,015","3,308,015",-,"-350,000",0,"400,000","-400,000","-350,000",-,"278,754","278,754",15,15,0,"-42,083","-27,811","-14,272",34,"-58,787",-,"2,297,021","-384,578","2,681,599","20,761","88,324","-41,481","278,769","400,000","-400,000",0,"177,979"
22,9/30/2017,"290,155","290,155","200,009","-3,167","-1,204","-1,963","23,804","23,804","19,901","3,903","3,903","-40,201","-40,201","15,960",-,"21,861",-,"10,113","61,776",-,-,-,-,-,"43,759","18,017","-3,023,284","-3,023,284",-,"-640,868","-1,025,552","384,684","-2,281,362","697,957","-2,979,319","-38,326","-38,326",-,-,"-62,728","3,119,603","3,119,603",-,"1,027,481","727,481","1,000,000","-272,519","300,000",-,"2,296","2,296",0,0,0,"-41,633","-27,361","-14,272",0,"-13,153",-,"2,681,599","386,474","2,295,125","21,686","78,015","-38,326","2,296","1,000,000","-272,519",0,"251,829"
23,6/30/2017,"244,090","244,090","186,600",-239,602,-841,"18,579","18,579","14,692","3,887","3,887","-25,552","-25,552","-4,968",-,"15,985",-,"23,938","29,747",-,-,-,-,-,"-27,574","57,321","-4,953,924","-4,953,924",-,"-857,734","-1,119,197","261,463","-3,894,049","296,457","-4,190,506","-42,090","-42,090",-,-,"-160,051","4,248,574","4,248,574",-,"2,196,773","2,146,773","2,449,580","-302,807",-,-,"2,322","2,322","43,660","193,660","-150,000","-41,537","-27,193","-14,344",0,"-38,002",-,"2,295,125","-461,260","2,756,385","20,670","58,692","-42,090","195,982","2,449,580","-302,807","-150,000","202,000"
24,3/31/2017,"258,433","258,433","176,774","-1,929","1,435","-3,364","21,681","21,681","17,047","4,634","4,634","51,959","51,959","4,370",-,"14,948",-,"9,088","-18,458",-,-,-,-,-,"-59,083","40,625","-2,594,833","-2,594,833",-,"-670,860","-1,047,783","376,923","-1,846,933","538,917","-2,385,850","-44,809","-44,809",-,-,"-32,231","2,985,063","2,985,063",-,"393,101","393,101","893,748","-500,647",-,-,"236,166","236,166","-199,525",0,"-199,525","-40,336","-25,184","-15,152",0,"-10,424",-,"2,756,385","648,663","2,107,722","32,046","57,788","-44,809","236,166","893,748","-500,647","-199,525","213,624"
25,12/31/2016,"306,960","306,960","179,118",545,"1,363",-818,"24,608","24,608","20,406","4,202","4,202","-30,642","-30,642","73,999","-6,487","16,227",0,"10,500","39,092",-,-,-,-,-,"-2,925","42,017","-4,606,135","-4,606,135",-,"-2,257,254","-2,951,350","694,096","-2,234,479","458,900","-2,693,379","-29,908","-29,908",-,-,"-52,690","5,019,930","5,019,930",-,"1,198,992","1,298,992","1,600,000","-301,008","-100,000",-,"327,647","327,647",0,0,-,"-41,874","-24,498","-17,376",19,"-4,567",-,"2,107,722","720,755","1,386,967","39,675","34,812","-29,908","327,647","1,600,000","-301,008",-,"277,052"
26,9/30/2016,"316,396","316,396","171,818","-1,122",663,"-1,785","19,677","19,677","15,856","3,821","3,821","-43,292","-43,292","-33,047","-7,804","17,479",-,"18,000","174,687",-,-,-,-,-,"128,757","45,930","-3,527,858","-3,527,858",-,"-1,153,631","-1,613,377","459,746","-2,367,159","701,561","-3,068,720","-21,107","-21,107",-,-,"14,039","3,034,372","3,034,372",-,"-808,470","-58,470","391,748","-450,218","-750,000",-,"2,006","2,006",0,0,-,"-41,835","-24,458","-17,377",0,"-20,979",-,"1,386,967","-177,090","1,564,057","3,467","40,846","-21,107","2,006","391,748","-450,218",-,"295,289"
27,6/30/2016,"122,690","122,690","173,626",-635,187,-822,"22,871","22,871","19,739","3,132","3,132","-14,022","-14,022","-60,579","-7,532","13,024",-,"14,200","-26,892",-,-,-,-,-,"-71,014","44,122","-2,946,845","-2,946,845",-,"-196,763","-998,611","801,848","-2,591,228","806,484","-3,397,712","-19,765","-19,765",-,-,"-139,089","2,442,065","2,442,065",-,"2,098,449","1,248,449",-,"-1,551",-,-,"203,891","203,891",0,0,-,"-41,184","-23,808","-17,376",112,"-43,687",-,"1,564,057","-382,090","1,946,147","18,355","39,982","-19,765","203,891",-,"-1,551",-,"102,925"
28,3/31/2016,"106,439","106,439","148,866","-4,671","-3,268","-1,403","18,214","18,214","15,384","2,830","2,830","44,424","44,424","6,932","-7,425","9,773","-8,629","4,492","-105,537",-,-,-,-,-,"-28,648","-76,889","-2,249,783","-2,249,783",-,"-843,452","-2,350,823","1,507,371","-1,370,599","368,180","-1,738,779","-15,968","-15,968",-,-,"-19,764","2,958,381","2,958,381",-,"-200,893","-200,893",-,"-200,893",-,-,"2,234","2,234","145,184","145,184",-,"-38,647","-22,187","-16,460",19,"8,629",-,"1,946,147","815,037","1,131,110","27,783","32,753","-15,968","147,418",-,"-200,893",-,"90,471"
29,12/31/2015,"85,980","85,980","140,046",-965,515,"-1,480","18,665","18,665","15,663","3,002","3,002","-26,164","-26,164","21,946","-9,974","10,107","-6,809","12,045","-72,917",-,-,-,-,-,"-67,873","-5,044","-4,151,709","-4,151,709",-,"-2,398,095","-2,722,876","324,781","-1,575,697","201,732","-1,777,429","-21,765","-21,765",-,-,"-41,012","3,401,059","3,401,059",0,"-351,073","-351,073",0,"-351,073",-,-,"227,961","227,961",0,0,-,"-36,998","-21,684","-15,314",0,"6,809",-,"1,131,110","-664,670","1,795,780","24,282","38,546","-21,765","227,961",0,"-351,073",-,"64,215"
30,9/30/2015,"235,943","235,943","134,842","-2,881",76,"-2,957","15,364","15,364","11,986","3,378","3,378","-23,097","-23,097","-6,153","-9,663","9,818","-3,013","14,502","106,224",-,-,-,-,-,"35,883","70,341","-1,852,087","-1,852,087",-,"-382,033","-829,150","447,117","-1,463,315","409,934","-1,873,249","-9,695","-9,695",-,-,-194,"2,044,045","2,044,045",0,"-375,392","-375,392",0,"-375,392",-,-,"1,411","1,411",2,2,-,"-36,988","-21,674","-15,314",2,"3,013",-,"1,795,780","427,901","1,367,879","6,300","34,269","-9,695","1,413",0,"-375,392",-,"226,248"
31,6/30/2015,"201,405","201,405","131,345","-4,588","-1,112","-3,476","19,626","19,626","16,290","3,336","3,336","-26,939","-26,939","62,897","-11,708","8,031","-6,510","17,005","12,246",-,-,-,-,-,"29,245","-16,999","-2,391,358","-2,391,358","-3,150","-249,618","-760,177","510,559","-2,143,119","593,108","-2,736,227","-13,449","-13,449",-,-,"17,978","1,913,298","1,913,298",-,"-201,692","-201,692",0,"-201,692",-,-,"1,033","1,033",-,-,-,"-35,933","-21,522","-14,411",0,"6,510",-,"1,367,879","-276,655","1,644,534","10,155","39,171","-13,449","97,623",0,"-201,692",-,"187,956"
32,3/31/2015,"67,731","67,731","115,912","-2,112",-300,"-1,812","16,674","16,674","13,757","2,917","2,917","38,029","38,029","10,978","-12,122","6,878","-9,952","11,887","-108,441",-,-,-,-,-,"-62,956","-45,485","-1,878,658","-1,878,658",0,"-808,229","-1,457,238","649,009","-1,028,056","442,627","-1,470,683","-7,805","-7,805",-,-,"-34,568","2,638,311","2,638,311",-,"-353,239","-353,239",0,"-353,239",-,-,"205,103","205,103",-,-,-,"-33,445","-19,556","-13,889",165,"9,952",-,"1,644,534","827,384","817,150","51,893","35,153","-7,805","205,103",0,"-353,239",-,"59,926"
33,12/31/2014,"234,453","234,453","115,459","-3,540",567,"-4,107","16,078","16,078","13,520","2,558","2,558","-18,502","-18,502",844,"-14,086",-,"-2,841","14,076","99,508",-,-,-,-,-,"11,490","88,018","-2,260,556","-2,260,556",-,"-934,520","-1,655,916","721,396","-1,277,078","779,875","-2,056,953","-14,189","-14,189",-,-,"-34,769","1,470,525","1,470,525",-,"-2,160","-2,160",0,"-2,160",0,-,760,760,0,0,-,"-33,434","-19,545","-13,889",0,"-17,004",-,"817,150","-555,578","1,372,728","34,003","41,659","-14,189",760,0,"-2,160",-,"220,264"
34,9/30/2014,"156,598","156,598","136,011","-36,117",-,"-13,713","15,673","15,673","13,435","2,238","2,238","-21,215","-21,215","27,694","-14,332",-,"-2,719","13,515","38,088",-,-,-,-,-,"4,282","33,806","-809,640","-809,640",0,"-366,181","-1,807,285","1,441,104","-390,754","1,507,092","-1,897,846","-11,124","-11,124",-,-,"-41,581","274,753","274,753",-,"-274,653","-274,653",0,"-274,653",0,-,"1,454","1,454",0,0,-,"-33,400","-19,511","-13,889",139,"2,719",-,"1,372,728","-378,289","1,751,017",258,"39,336","-11,124","1,454",0,"-274,653",-,"145,474"
35,6/30/2014,"107,764","107,764","120,832","-14,850",-,"-14,850","15,043","15,043","12,914","2,129","2,129","-25,597","-25,597","-22,788","-19,614",-,"-11,643","21,800","44,581",-,-,-,-,-,"23,822","20,759","-1,856,515","-1,856,515","28,789","-477,568","-513,742","36,174","-1,369,735","1,111,997","-2,481,732","-8,639","-8,639",-,-,"-29,362","1,737,546","1,737,546",-,"292,366","292,366","399,456","-107,090",0,-,692,692,-,-,-,"-33,264","-19,375","-13,889",19,"11,643",-,"1,751,017","-11,205","1,762,222","32,029","38,582","-8,639",692,"399,456","-107,090",-,"99,125"
36,3/31/2014,"17,393","17,393","114,704","-2,845",-,"-2,845","14,651","14,651","12,779","1,872","1,872","23,951","23,951","-2,306","-17,615",-,"-3,098","7,095","-117,144",-,-,-,-,-,"3,331","-120,475","-1,260,053","-1,260,053","-28,789","-151,544","-288,529","136,985","-1,010,153","256,473","-1,266,626","-8,118","-8,118",-,-,"-61,449","2,196,997","2,196,997",-,"498,611","498,611","500,000","-1,389",0,-,"240,974","240,974",-,-,-,"-29,933","-16,044","-13,889",37,"3,098",-,"1,762,222","954,337","807,885","37,583","38,754","-8,118","240,974","500,000","-1,389",-,"9,275"
37,12/31/2013,"165,545","165,545","114,060",-837,-,-306,"14,484","14,484","12,563","1,921","1,921","16,196","16,196","-10,733","-22,356",-,"-17,947","7,815","37,629",-,-,-,-,-,"-14,577","52,206","-2,268,402","-2,268,402","19,273","-601,957","-652,261","50,304","-1,614,471","76,528","-1,690,999","-13,574","-13,574",-,-,"-57,673","976,015","976,015",-,"-3,867","-3,867",0,"-3,867",0,0,639,639,"194,158","194,158",-,"-28,800","-16,000","-12,800",15,"17,947",-,"807,885","-1,126,842","1,934,727","17,343","41,160","-13,574","194,797",0,"-3,867",-,"151,971"
38,9/30/2013,"82,595","82,595","111,983","-1,215",-,"-1,215","16,171","16,171","13,977","2,194","2,194","-7,240","-7,240","-1,458","-28,008",-,"-8,158","10,023","-9,503",-,-,-,-,-,"2,393","-11,896","-2,213,451","-2,213,451","-19,210","-149,042","-215,104","66,062","-1,992,295","98,208","-2,090,503","-15,851","-15,851",-,-,"-37,053","3,473,845","3,473,845",-,"427,873","797,873","800,000","-2,127","-370,000",-,610,610,0,0,-,"-26,323","-15,934","-10,389",62,"8,158",-,"1,934,727","1,342,989","591,738","16,858","44,936","-15,851",610,"800,000","-2,127",-,"66,744"
39,6/30/2013,"417,554","417,554","113,719","-8,779",-,"-8,779","16,622","16,622","14,394","2,228","2,228","-18,236","-18,236","174,247","-30,484",-,"-4,459","12,653","162,271",-,-,-,-,-,"76,551","85,720","-2,376,862","-2,376,862",-63,"-59,583","-227,142","167,559","-2,246,145","268,168","-2,514,313","-11,981","-11,981",-,-,"-59,090","1,998,209","1,998,209",-,"455,983","895,983","900,000","-4,017","-440,000",-,579,579,"183,791","183,791",-,"-25,586",-,"-9,706",484,"4,459",-,"591,738","38,901","552,837","31,335","31,326","-11,981","184,370","900,000","-4,017",-,"405,573"
40,3/31/2013,"-103,473","-103,473","122,308","-25,990",-,"-25,990","16,385","16,385","13,704","2,681","2,681","21,442","21,442","8,978","-30,834",-,-696,"6,478","-221,544",-,-,-,-,-,"-31,649","-189,895","-741,378","-741,378","30,801","-508,970","-522,992","14,022","-151,239","697,279","-848,518","-19,174","-19,174",-,-,"-92,796","795,424","795,424",-,"1,031,693","296,693","300,000","-3,307","735,000",-,679,679,0,0,-,"-7,776",-,"-7,776","1,284",696,-,"552,837","-49,427","602,264","56,593","24,029","-19,174",679,"300,000","-3,307",-,"-122,647"
41,12/31/2012,"62,317","62,317","110,111","-17,574",-,"-17,721","12,823","12,823","10,174","2,649","2,649",-211,-211,"-130,387","-36,746","5,650","-3,272","17,204","104,719",-,-,-,-,-,"-25,319","130,038","-1,912,855","-1,912,855",-,"-130,552","-168,714","38,162","-1,470,320","336,479","-1,806,799","-18,469","-18,469",-,-,"-141,190","1,575,044","1,575,044",-,"70,229","70,229","378,000","-307,771",-,-,437,437,"145,103","145,103",-,"-32,857","-26,323","-6,534","3,046","3,272",-,"602,264","-275,494","877,758","41,221","35,307","-18,469","145,540","378,000","-307,771",-,"43,848"
