,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Other Capital Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
61,6/30/2004,"6,824,978","136,489","74,739",-,-,"74,739",-,"61,750","61,750",-,-,-,-,-,"884,388",-,-,-,"884,388",-,-,"5,501,938","5,535,877",-,-,-,-,"5,535,877","33,939",-,-,-,-,-,-,"52,043",-,-,-,-,-,-,-,"62,970",-,"62,970",-,-,"187,150","6,258,412","4,896,595","4,252,140","4,252,140","644,455",-,-,-,-,-,-,-,-,-,-,-,"1,329,770","1,329,770",-,-,"32,047","566,566","417,976",168,-,168,-,"235,916","141,869","14,130",-,"54,153","148,590","1,747,746",-,"417,976",-,"355,006","1,747,746","355,006","1,329,770","1,255,031",-,-,-
62,3/31/2004,"6,288,265","136,651","86,687",-,-,"86,687",-,"49,964","49,964",-,-,-,-,-,"845,119",-,-,-,"845,119",-,-,"5,020,638","5,053,037",-,-,-,-,"5,053,037","32,399",-,-,-,-,-,-,"47,967",-,-,-,-,-,-,-,"62,970",-,"62,970",-,-,"174,920","5,731,729","4,728,658","4,023,695","4,023,695","704,963",-,-,-,-,-,-,-,-,-,-,-,"966,770","966,770",-,-,"36,301","556,536","407,896",168,-,168,-,"227,571","139,332","16,551",-,"57,376","148,640","1,374,666",-,"407,896",-,"344,926","1,374,666","344,926","966,770","880,083",-,-,-
63,12/31/2003,"6,002,943","79,810","79,810",-,-,"79,810",-,-,-,-,-,-,-,-,"727,725",-,"635,063","92,662",-,-,-,"4,852,836","4,884,248",-,"184,525",-,-,"4,699,723","31,412",-,"25,357",-,-,-,"44,411","46,473",-,-,-,-,-,-,-,"76,482","61,549","14,933",-,-,"149,849","5,522,504","4,582,896",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"898,349","898,349",-,-,"41,259","480,439","331,699",168,-,168,-,"220,311","138,447","21,336","3,252","-9,143","148,740","1,230,048",-,"331,699",-,"255,217","1,230,048","255,217","898,349","818,539","30,962","30,962",-
64,9/30/2003,"5,716,928","127,037","70,211",-,-,"70,211",-,"56,826","56,826",-,-,-,-,-,"720,983",-,-,-,"720,983",-,-,"4,599,093","4,624,012",-,-,-,-,"4,624,012","30,402","5,483",-,-,-,-,-,"46,742",-,-,-,-,-,-,-,"76,645",-,"76,645",-,-,"146,428","5,245,776","4,185,534","3,749,750","3,749,750","435,784",-,-,-,-,-,-,-,"954,500","954,500","954,500",-,"63,770","63,770",-,-,"41,972","471,152","313,152",168,-,168,-,"215,514","133,945","31,101",-,"-5,374","158,000","376,922",-,"313,152",-,"236,507","1,331,422","236,507","1,018,270","948,059","30,962","30,962",-
65,6/30/2003,"5,375,796","110,690","50,040",-,-,"50,040",-,"60,650","60,650",-,-,-,-,-,"733,039",-,-,-,"733,039",-,-,"4,263,436","4,285,487",-,-,-,-,"4,285,487","27,095","5,044",-,-,-,-,-,"48,798",-,-,-,-,-,-,-,"76,607",-,"76,607",-,-,"143,226","4,921,302","3,834,209","3,440,742","3,440,742","393,467",-,-,-,-,-,-,-,"968,500","968,500","968,500",-,"70,237","70,237",-,-,"48,356","454,494","305,494",168,-,168,-,"209,415","134,303","35,099",-,"-3,293","149,000","375,731",-,"305,494",-,"228,887","1,344,231","228,887","1,038,737","988,697","30,962","30,962",-
66,3/31/2003,"5,055,065","107,657","62,716",-,-,"62,716",-,"44,941","44,941",-,-,-,-,-,"726,087",-,-,-,"726,087",-,-,"4,038,057","4,057,942",-,-,-,-,"4,057,942","24,822","4,937",-,-,-,-,-,"48,646",-,-,-,-,-,-,-,"61,549",-,"61,549",-,-,"73,069","4,672,354","3,721,245","3,400,755","3,400,755","320,490",-,-,-,-,-,-,-,"844,500","844,500","844,500",-,"70,237","70,237",-,-,"36,372","382,711","293,711",168,-,168,-,"198,576","134,764","40,620",-,823,"89,000","363,948",-,"293,711",-,"232,162","1,208,448","232,162","914,737","852,021","30,962","30,962",-
67,12/31/2002,"4,854,695","91,213","91,213","91,213",-,-,-,-,-,-,-,-,-,-,"726,085",-,"686,690","39,395",-,-,-,"3,799,107","3,827,836",-,"150,204",-,-,"3,677,632","28,729",-,"23,967",-,-,-,"40,162","46,199",-,-,-,-,-,-,-,"76,408","60,640","15,768",-,-,"51,554","4,482,516","3,626,149",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"817,466","817,466",-,-,"38,901","372,179","283,179",168,-,168,-,"186,940","133,978","39,487","5,357","-3,777","89,000","1,100,645",-,"283,179",-,"206,771","1,100,645","206,771","817,466","726,253","30,962","30,962",-
68,9/30/2002,"4,770,201","118,163","66,132",-,-,"66,132",-,"52,031","52,031",-,-,-,-,-,"724,105",-,-,-,"724,105",-,-,"3,753,530","3,773,289",-,-,-,-,"3,773,289","25,352","5,593",-,-,-,-,-,"41,216",-,-,-,-,-,-,-,"60,541",-,"60,541",-,-,"72,646","4,402,898","3,435,310","3,125,975","3,125,975","309,335",-,-,-,"5,478","5,478","5,478",-,"867,500","867,500","867,500",-,"70,237","70,237",-,-,"24,373","367,303","278,303",199,-,199,-,"179,837","168,614","71,906",-,"1,559","89,000","348,540",-,"278,303",-,"217,762","1,216,040","217,762","937,737","871,605","30,962","30,962",-
69,6/30/2002,"4,569,047","81,308","81,308",-,-,"81,308",-,-,-,-,-,-,-,-,"566,558",-,-,-,"566,558",-,-,"3,716,936","3,735,594",-,-,-,-,"3,735,594","24,361","5,703",-,-,-,-,-,"36,062",-,-,-,-,-,-,-,"60,514",-,"60,514",-,-,"107,669","4,206,234","3,367,807","3,123,960","3,123,960","243,847",-,-,-,"9,119","9,119","9,119","9,119","757,500","757,500","757,500",-,"70,247","70,247",-,-,"1,561","362,813","273,313",199,-,199,-,"173,543","168,419","68,241",-,-607,"89,500","343,560",-,"273,313",-,"212,799","1,101,060","212,799","827,747","746,439","30,962","30,962",-
70,3/31/2002,"4,268,164","123,367","47,555",-,-,"47,555",-,"75,812","75,812",-,-,-,-,-,"585,647",-,-,-,"585,647",-,-,"3,410,519","3,430,975",-,-,-,-,"3,430,975","23,726","3,270",-,-,-,-,-,"32,973",-,-,-,-,-,-,-,"41,092",-,"41,092",-,-,"74,566","3,929,657","3,268,442","3,054,563","3,054,563","213,879",-,-,-,-,-,-,-,"574,500","574,500","574,500",-,"70,402","70,402",-,-,"16,313","338,507","248,007",194,-,194,-,"167,961","159,465","77,312",-,"-2,301","90,500","318,409",-,"248,007",-,"206,915","892,909","206,915","644,902","597,347","30,962","30,962",-
71,12/31/2001,"4,197,626","109,857","109,857","79,857","30,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,445,721","3,468,499",-,"80,718",-,-,"3,387,781","22,778",-,"22,914",-,-,-,"42,011","29,330",-,-,-,-,-,-,-,"27,233","27,233",-,-,-,"520,560","3,917,275","3,238,108",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"653,672","653,672",-,-,"25,495","280,351","231,851",193,-,193,-,"160,539","156,423","82,483","1,461","-4,282","48,500","885,523",-,"231,851",-,"204,618","885,523","204,618","653,672","543,815","30,962","30,962",-
72,9/30/2001,"4,155,799","100,888","55,435",-,-,"55,435",-,"45,453","45,453",-,-,-,-,-,"302,590",-,-,-,"302,590",-,-,"3,638,942","3,660,308",-,-,-,-,"3,660,308","22,953","1,587",-,-,-,-,-,"24,931",-,-,-,-,-,-,-,"27,547",-,"27,547",-,-,"60,901","3,869,867","2,855,278","2,691,625","2,691,625","163,653",-,-,-,-,-,-,-,"909,060","909,060","909,060",-,"70,252","70,252",-,-,"35,277","285,932","223,932",193,-,193,-,"153,205","155,839","82,154",-,"-3,151","62,000","294,184",-,"223,932",-,"196,385","1,203,244","196,385","979,312","923,877","30,962","30,962",-
73,6/30/2001,"3,972,132","102,618","63,385",-,-,"63,385",-,"39,233","39,233",-,-,-,-,-,"303,644",-,-,-,"303,644",-,-,"3,453,369","3,475,186",-,-,-,-,"3,475,186","22,649",832,"24,933","24,933","24,933",-,-,"24,419",-,-,-,-,-,-,-,"27,861",-,"27,861",-,-,"35,288","3,691,929","2,810,619","2,649,878","2,649,878","160,741",-,-,-,-,-,-,-,-,-,-,-,"854,810","854,810",-,-,"26,500","280,203","218,203",192,-,192,-,"146,694","153,870","79,701",-,"-2,852","62,000","1,073,013",-,"218,203",-,"190,342","1,073,013","190,342","854,810","791,425","30,962","30,962",-
74,3/31/2001,"3,759,197","102,302","54,412",-,-,"54,412",-,"47,890","47,890",-,-,-,-,-,"301,580",-,-,-,"301,580",-,-,"3,240,444","3,262,190",-,-,-,-,"3,262,190","22,417",671,"25,605","25,605","25,605",-,-,"22,214",-,-,-,-,-,-,-,"28,176",-,"28,176",-,-,"38,876","3,493,380","2,730,709","2,608,107","2,608,107","122,602",-,-,-,-,-,-,-,-,-,-,-,"732,816","732,816",-,-,"29,855","265,817","210,817",190,-,190,-,"140,932","149,863","75,532",-,"-4,636","55,000","943,633",-,"210,817",-,"182,641","943,633","182,641","732,816","678,404","30,962","30,962",-
75,12/31/2000,"3,656,383","120,039","61,894",-,-,"61,894",-,"58,145","58,145",-,-,-,-,-,"284,520",-,-,-,"284,520",-,-,"3,135,161","3,157,928",-,-,-,-,"3,157,928","22,167",-600,-,-,-,-,-,"20,570",-,-,-,-,-,-,-,"28,491",-,"28,491",-,-,"67,602","3,398,530","2,530,402","2,429,801","2,429,801","100,601",-,-,-,-,-,-,-,"262,000","262,000","262,000",-,"567,816","567,816",-,-,"38,312","257,853","202,853",189,-,189,-,"135,477","147,788","73,695",-,"-6,906","55,000","770,669",-,"202,853",-,"174,362","1,032,669","174,362","829,816","767,922","30,962","30,962",-
76,9/30/2000,"3,780,749","144,006","67,304",-,-,"67,304",-,"76,702","76,702",-,-,-,-,-,"281,608",-,-,-,"281,608",-,-,"3,236,053","3,257,760",-,-,-,-,"3,257,760","21,906",199,-,-,-,-,-,"20,340",-,-,-,-,-,-,-,"28,805",-,"28,805",-,-,"69,937","3,527,866","2,466,597","2,466,597","2,466,597",-,-,-,-,-,-,-,-,-,-,-,-,"1,025,436","1,025,436",-,-,"35,833","252,883","197,883",123,-,123,-,"130,018","145,536","72,476",-,"-5,318","55,000","1,223,319",-,"197,883",-,"169,078","1,223,319","169,078","1,025,436","958,132","30,962","30,962",-
77,6/30/2000,"3,870,451","121,563","60,896",-,-,"60,896",-,"60,667","60,667",-,-,-,-,-,"275,658",-,-,-,"275,658",-,-,"3,355,763","3,377,675",-,-,-,-,"3,377,675","21,626",-286,-,-,-,-,-,"19,998",-,-,-,-,-,-,-,"29,119",-,"29,119",-,-,"68,350","3,622,581","2,309,419","2,309,419","2,309,419",-,-,-,-,-,-,-,-,-,-,-,-,"1,283,586","1,283,586",-,-,"29,576","247,870","192,870",123,-,123,-,"124,403","144,975","70,109",-,"-6,522","55,000","1,476,456",-,"192,870",-,"163,751","1,476,456","163,751","1,283,586","1,222,690","30,962","30,962",-
78,3/31/2000,"3,767,958","105,873","49,377",-,-,"49,377",-,"56,496","56,496",-,-,-,-,-,"255,838",-,-,-,"255,838",-,-,"3,299,807","3,321,866",-,-,-,-,"3,321,866","21,229",-830,-,-,-,-,-,"19,347",-,-,-,-,-,-,-,"29,433",-,"29,433",-,-,"57,660","3,520,938","2,347,380","2,347,380","2,347,380",-,-,-,-,-,-,-,-,-,-,-,-,"1,146,748","1,146,748",-,-,"26,810","247,020","192,020",122,-,122,-,"118,919","144,669","65,376",-,"-6,314","55,000","1,338,768",-,"192,020",-,"162,587","1,338,768","162,587","1,146,748","1,097,371","30,962","30,962",-
79,12/31/1999,"3,598,746","118,386","62,592",-,-,"62,592",-,"55,794","55,794",-,-,-,-,-,"222,202",-,-,-,"222,202",-,-,"3,170,881","3,192,760",-,-,-,-,"3,192,760","20,959",-920,-,-,-,-,-,"18,820",-,-,-,-,-,-,-,"24,262",-,"24,262",-,-,"44,195","3,358,586","2,137,719","2,137,719","2,137,719",-,-,-,-,-,-,-,-,"304,350","304,350","304,350",-,"888,028","888,028",-,-,"28,489","240,160","185,160",118,-,118,-,"112,901","142,588","64,382",-,"-6,065","55,000","1,073,188",-,"185,160",-,"160,898","1,377,538","160,898","1,192,378","1,129,786","30,962","30,962",-
80,9/30/1999,"3,334,200","94,700","45,800",-,-,"45,800",-,"48,900","48,900",-,-,-,-,-,"210,300",-,-,-,"210,300",-,-,"2,944,600","2,965,300",-,-,-,-,"2,965,300","20,900",200,-,-,-,-,-,"17,000",-,-,-,-,-,-,-,"24,500",-,"24,500",-,-,"43,100","3,094,500","2,035,300","2,035,300","2,035,300",-,-,-,-,"12,200","12,200","12,200",-,"76,500","76,500","76,500",-,"962,600","962,600",-,-,"7,900","239,700","184,700",100,-,100,-,"107,800","142,900","59,900",-,"-6,200","55,000","1,147,300",-,"184,700",-,"160,200","1,223,800","160,200","1,039,100","993,300","30,962","30,962",-
81,6/30/1999,"3,185,100","88,100","39,900",-,-,"39,900",-,"48,200","48,200",-,-,-,-,-,"218,700",-,-,-,"218,700",-,-,"2,796,700","2,816,900",-,-,-,-,"2,816,900","20,300",100,-,-,-,-,-,"15,100",-,-,-,-,-,-,-,"24,800",-,"24,800",-,-,"41,700","2,942,800","1,933,300","1,933,300","1,933,300",-,-,-,-,"14,000","14,000","14,000",-,-,-,-,-,"991,800","991,800",-,-,"3,700","242,300","187,300",-,-,-,-,"102,200",-,-,-,"85,100","55,000","1,179,100",-,"187,300",-,"162,500","1,179,100","162,500","991,800","951,900","30,962","30,962",-
82,3/31/1999,"3,091,000","104,500","56,900",-,-,"56,900",-,"47,600","47,600",-,-,-,-,-,"234,800",-,-,-,"234,800",-,-,"2,677,500","2,698,600",-,-,-,-,"2,698,600","20,300",-800,-,-,-,-,-,"13,400",-,-,-,-,-,-,-,"25,000",-,"25,000",-,-,"35,800","2,900,900","1,858,600","1,858,600","1,858,600",-,-,-,-,"11,700","11,700","11,700",-,-,-,-,-,"1,020,600","1,020,600",-,-,"10,000","190,100","190,100",-,-,-,-,"96,400",-,-,-,"93,700",-,"1,210,700",-,"190,100",-,"165,100","1,210,700","165,100","1,020,600","963,700","30,962","30,962",-
83,12/31/1998,"2,954,300","95,900","48,800",-,-,"48,800",-,"47,100","47,100",-,-,-,-,-,"245,100",-,-,-,"245,100",-,-,"2,561,500","2,583,400",-,-,-,-,"2,583,400","20,600","-1,300",-,-,-,-,-,"9,400",-,-,-,-,-,-,-,-,-,-,-,-,"42,400","2,785,800","1,744,300","1,744,300","1,744,300",-,-,-,-,"15,300","15,300","15,300",-,"216,200","216,200","216,200",-,"802,400","802,400",-,-,"7,600","168,500","168,500",-,-,-,-,"90,700",-,-,-,"77,800",-,"970,900",-,"168,500",-,"168,500","1,187,100","168,500","1,018,600","969,800","30,962","30,962",-
84,9/30/1998,"2,552,000","71,400","35,000",-,-,"35,000",-,"36,400","36,400",-,-,-,-,-,"158,200",-,-,-,"158,200",-,-,"2,273,300","2,295,700",-,-,-,-,"2,295,700","20,800","-1,600","16,100","16,100","16,100",-,-,"7,900",-,-,-,-,-,-,-,-,-,-,-,-,"25,100","2,385,400","1,605,800","1,605,800","1,605,800",-,-,-,-,"12,500","12,500","12,500","12,500",500,500,500,-,"755,500","755,500",-,-,"11,100","166,600","166,600",-,-,-,-,"85,500",-,-,-,"81,100",-,"922,100",-,"166,600",-,"166,600","922,600","166,600","756,000","721,000","30,962","30,962",-
85,6/30/1998,"2,505,500","89,600","53,800",-,-,"53,800",-,"35,800","35,800",-,-,-,-,-,"143,100",-,-,-,"143,100",-,-,"2,226,500","2,249,000",-,-,-,-,"2,249,000","20,500","-2,000","15,900","15,900","15,900",-,-,"5,700",-,-,-,-,-,-,-,-,-,-,-,-,"24,700","2,339,000","1,551,300","1,551,300","1,551,300",-,-,-,-,"15,500","15,500","15,500",-,"35,000","35,000","35,000",-,"731,000","731,000",-,-,"6,200","166,500","166,500",-,-,-,-,"80,200",-,-,-,"86,300",-,"897,500",-,"166,500",-,"166,500","932,500","166,500","766,000","712,200","30,962","30,962",-
86,3/31/1998,"2,485,400","100,300","65,100",-,-,"65,100",-,"35,200","35,200",-,-,-,-,-,"142,900",-,-,-,"142,900",-,-,"2,195,000","2,212,100",-,-,-,-,"2,212,100","19,200","2,100","15,100","15,100","15,100",-,-,"5,400",-,-,-,-,-,-,-,-,-,-,-,-,"26,700","2,321,900","1,534,400","1,534,400","1,534,400",-,-,-,-,"13,400","13,400","13,400",-,"20,000","20,000","20,000",-,"744,200","744,200",-,-,"9,900","163,500","163,500",-,-,-,-,"75,300",-,-,-,"88,200",-,"907,700",-,"163,500",-,"163,500","927,700","163,500","764,200","699,100","30,962","30,962",-
87,12/31/1997,"2,423,100","123,800","89,100",-,-,"89,100",-,"34,700","34,700",-,-,-,-,-,"138,600",-,-,-,"138,600",-,-,"2,118,500","2,139,900",-,-,-,-,"2,139,900","19,200","-2,200",-,-,-,-,-,"4,400",-,-,-,-,-,-,-,-,-,-,-,-,"37,800","2,262,900","1,514,500","1,514,500","1,514,500",-,-,-,-,"16,300","16,300","16,300",-,"23,000","23,000","23,000",-,"700,300","700,300",-,-,"8,800","160,200","160,200",-,-,-,-,"70,300",-,-,-,"89,900",-,"860,500",-,"160,200",-,"160,200","883,500","160,200","723,300","634,200","30,962","30,962",-
88,9/30/1997,"2,351,300","122,000","87,800",-,-,"87,800",-,"34,200","34,200",-,-,-,-,-,"133,700",-,-,-,"133,700",-,-,"2,050,100","2,066,600",-,-,-,-,"2,066,600","18,900","2,400","14,800","14,800","14,800",-,-,"4,100",-,-,-,-,-,-,-,-,-,-,-,-,"26,600","2,192,800","1,418,200","1,418,200","1,418,200",-,-,-,-,"13,300","13,300","13,300",-,-,-,-,-,"753,900","753,900",-,-,"7,400","158,500","158,500",-,-,-,-,"66,100",-,-,-,"92,400",-,"912,400",-,"158,500",-,"158,500","912,400","158,500","753,900","666,100","30,962","30,962",-
89,6/30/1997,"2,238,000","103,600","69,900",-,-,"69,900",-,"33,700","33,700",-,-,-,-,-,"141,800",-,-,-,"141,800",-,-,"1,958,800","1,974,300",-,-,-,-,"1,974,300","18,500","3,000",-,-,-,-,-,"4,200",-,-,-,-,-,-,-,-,-,-,-,-,"29,600","2,077,400","1,404,600","1,404,600","1,404,600",-,-,-,-,"14,000","14,000","14,000",-,-,-,-,-,"651,500","651,500",-,-,"7,300","160,600","160,600",-,-,-,-,"61,500",-,-,-,"99,100",-,"812,100",-,"160,600",-,"160,600","812,100","160,600","651,500","581,600","30,962","30,962",-
90,3/31/1997,"2,183,500","77,500","44,300",-,-,"44,300",-,"33,200","33,200",-,-,-,-,-,"152,800",-,-,-,"152,800",-,-,"1,917,600","1,939,200",-,-,-,-,"1,939,200","18,400","-3,200",-,-,-,-,-,"4,300",-,-,-,-,-,-,-,-,-,-,-,-,"31,300","2,021,600","1,377,900","1,377,900","1,377,900",-,-,-,-,"12,700","12,700","12,700",-,-,-,-,-,"621,600","621,600",-,-,"9,400","161,900","161,900",-,-,-,-,"57,100",-,-,-,"104,800",-,"783,500",-,"161,900",-,"161,900","783,500","161,900","621,600","577,300","30,962","30,962",-
91,12/31/1996,"2,156,600","61,900","29,300",-,-,"29,300",-,"32,600","32,600",-,-,-,-,-,"156,600",-,-,-,"156,600",-,-,"1,902,800","1,923,400",-,-,-,-,"1,923,400","17,500","-3,100",-,-,-,-,-,"4,500",-,-,-,-,-,-,-,-,-,-,-,-,"30,800","2,030,200","1,353,100","1,353,100","1,353,100",-,-,-,-,"14,600","14,600","14,600",-,-,-,-,-,"652,400","652,400",-,-,"10,100","126,400","126,400",-,-,-,-,"53,100",-,-,-,"73,300",-,"778,800",-,"126,400",-,"126,400","778,800","126,400","652,400","623,100","30,962","30,962",-
92,9/30/1996,"2,122,200","56,500","24,400",-,-,"24,400",200,"32,100","32,100",-,-,-,-,-,"157,900",-,-,-,"157,900",-,-,"1,863,400","1,885,000",-,-,-,-,"1,885,000","18,300","-3,300","13,600","13,600","13,600",-,-,"4,100",-,-,-,-,-,-,-,-,-,-,-,-,"26,700","2,004,100","1,317,500","1,317,500","1,317,500",-,-,-,-,"13,100","13,100","13,100","13,100","601,500","601,500","601,500",-,"64,000","64,000",-,-,"8,000","118,100","118,100",-,-,-,-,"49,700",-,-,-,"68,400",-,"182,100",-,"118,100",-,"118,100","783,600","118,100","665,500","641,100","30,962","30,962",-
93,6/30/1996,"2,064,200","50,900","19,800",-,-,"19,800",-,"31,100","31,100",-,-,-,-,-,"155,100",-,-,-,"155,100",-,-,"1,811,800","1,834,400",-,-,-,-,"1,834,400","19,300","-3,300","13,300","13,300","13,300",-,-,"4,200",-,-,-,-,-,-,-,-,-,-,-,-,"28,900","1,949,700","1,254,500","1,254,500","1,254,500",-,-,-,-,"14,000","14,000","14,000",-,"611,500","611,500","611,500",-,"64,000","64,000",-,-,"5,700","114,500","114,500",-,-,-,-,"46,400",-,-,-,"68,100",-,"178,500",-,"114,500",-,"114,500","790,000","114,500","675,500","655,700","30,962","30,962",-
94,3/31/1996,"1,972,600","61,100","30,400",-,-,"30,400",-,"30,700","30,700",-,-,-,-,-,"155,600",-,-,-,"155,600",-,-,"1,708,600","1,731,200",-,-,-,-,"1,731,200","18,900","-3,700","13,200","13,200","13,200",-,-,"4,000",-,-,-,-,-,-,-,-,-,-,-,-,"30,100","1,861,100","1,195,000","1,195,000","1,195,000",-,-,-,-,"13,600","13,600","13,600",-,"581,500","581,500","581,500",-,"64,000","64,000",-,-,"7,000","111,500","111,500",-,-,-,-,"43,400",-,-,-,"68,100",-,"175,500",-,"111,500",-,"111,500","757,000","111,500","645,500","615,100","30,962","30,962",-
95,12/31/1995,"1,904,300","61,400","31,100",-,-,"31,100",-,"30,300","30,300",-,-,-,-,-,"140,900",-,-,-,"140,900",-,-,"1,659,800","1,682,300",-,-,-,-,"1,682,300","18,100","-4,400",-,-,-,-,-,"4,200",-,-,-,-,-,-,-,-,-,-,-,-,"38,000","1,796,000","1,140,400","1,140,400","1,140,400",-,-,-,-,"14,800","14,800","14,800",-,"570,500","570,500","570,500",-,"64,100","64,100",-,-,"6,200","108,300","108,300",-,-,-,-,"40,600",-,-,-,"67,700",-,"172,400",-,"108,300",-,"108,300","742,900","108,300","634,600","603,500","30,962","30,962",-
96,9/30/1995,"1,842,500","53,100","23,200",-,-,"23,200",-,"29,900","29,900",-,-,-,-,-,"141,700",-,-,-,"141,700",-,-,"1,603,500","1,626,500",-,-,-,-,"1,626,500","17,500","-5,500","12,200","12,200","12,200",-,-,"4,400",-,-,-,-,-,-,-,-,-,-,-,-,"27,600","1,735,400","1,097,900","1,097,900","1,097,900",-,-,-,-,"13,300","13,300","13,300",-,"556,500","556,500","556,500",-,"64,300","64,300",-,-,"3,400","107,100","107,100",-,-,-,-,"39,000",-,-,-,"68,100",-,"171,400",-,"107,100",-,"107,100","727,900","107,100","620,800","597,600","30,962","30,962",-
97,6/30/1995,"1,817,200","53,800","24,200",-,-,"24,200",-,"29,600","29,600",-,-,-,-,-,"137,600",-,-,-,"137,600",-,-,"1,580,600","1,603,900",-,-,-,-,"1,603,900","16,900","-6,400","11,200","11,200","11,200",-,-,"4,300",-,-,-,-,-,-,-,-,-,-,-,-,"29,700","1,711,900","1,051,500","1,051,500","1,051,500",-,-,-,-,"14,100","14,100","14,100",-,"566,500","566,500","566,500",-,"75,600","75,600",-,-,"4,200","105,300","105,300",-,-,-,-,"37,700",-,-,-,"67,600",-,"180,900",-,"105,300",-,"105,300","747,400","105,300","642,100","617,900","30,962","30,962",-
98,3/31/1995,"1,763,700","52,700","23,800",-,-,"23,800",-,"28,900","28,900",-,-,-,-,-,"131,500",-,-,-,"131,500",-,-,"1,539,100","1,559,500",-,-,-,-,"1,559,500","14,400","-6,000","10,900","10,900","10,900",-,-,"4,200",-,-,-,-,-,-,-,-,-,-,-,-,"25,300","1,655,400","999,400","999,400","999,400",-,-,-,-,"12,100","12,100","12,100",-,"576,500","576,500","576,500",-,"64,700","64,700",-,-,"2,700","108,300","108,300",-,-,-,-,"40,800",-,-,-,"67,500",-,"173,000",-,"108,300",-,"108,300","749,500","108,300","641,200","617,400","30,962","30,962",-
99,12/31/1994,"1,707,300","61,100","32,600",-,-,"32,600",-,"28,500","28,500",-,-,-,-,-,"129,600",-,-,-,"129,600",-,-,"1,477,500","1,498,700",-,-,-,-,"1,498,700","14,400","-6,800","10,200","10,200","10,200",-,-,"4,100",-,-,-,-,-,-,-,-,-,-,-,-,"24,800","1,600,000","948,800","948,800","948,800",-,-,-,-,"12,300","12,300","12,300",-,"570,500","570,500","570,500",-,"64,900","64,900",-,-,"3,500","107,300","107,300",-,-,-,-,"39,400",-,-,-,"67,900",-,"172,200",-,"107,300",-,"107,300","742,700","107,300","635,400","602,800","30,962","30,962",-
100,9/30/1994,"1,638,700","36,400","36,400",-,-,"36,400",-,-,-,-,-,-,-,-,"125,500",-,-,-,"125,500",-,-,"1,412,800","1,434,600",-,-,-,-,"1,434,600","14,300","-7,500","9,700","9,700","9,700",-,-,"11,000",-,-,-,-,-,-,-,-,-,-,-,-,"43,300","1,528,400","902,300","902,300","902,300",-,-,-,-,"9,800","9,800","9,800",-,-,-,-,-,"610,200","610,200",-,-,"6,100","110,300","110,300",-,-,-,-,"37,900",-,-,-,"72,400",-,"720,500",-,"110,300",-,"110,300","720,500","110,300","610,200","573,800","30,962","30,962",-
101,6/30/1994,"1,544,700","67,400","42,200",-,-,"42,200",-,"25,200","25,200",-,-,-,-,-,"107,700",-,-,-,"107,700",-,-,"1,334,700","1,358,500",-,-,-,-,"1,358,500","15,500","-8,300","9,000","9,000","9,000",-,-,"4,000",-,-,-,-,-,-,-,-,-,-,-,-,"21,900","1,436,400","857,200","857,200","857,200",-,-,-,-,"7,500","7,500","7,500",-,"493,500","493,500","493,500",-,"63,900","63,900",-,-,"14,300","108,300","108,300",-,-,-,-,"35,300",-,-,-,"73,000",-,"172,200",-,"108,300",-,"108,300","665,700","108,300","557,400","515,200","30,962","30,962",-
