,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Other Capital Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
51,12/31/2006,"11,634,534","265,196","265,196",-,-,"265,196",-,-,-,-,"93,957",443,-,"178,900","2,339,215",-,"1,632,873","706,342","1,632,873","53,992",-,"8,218,854","8,265,391","78,539","704,012","928,911","7,064,840","418,000","46,537",-,"124,595","76,141",-,"48,454","17,589","79,627",-,-,-,-,-,-,-,"223,949","183,440","40,509","20,872","20,872","17,345","10,697,759","8,920,721","7,514,984","7,514,984","1,405,737",-,-,-,-,-,-,-,-,-,-,-,"1,654,101","1,654,101","1,590,331",-,"122,937","936,775","788,185","115,310","115,000",310,-,"337,801","335,196",-,-122,-,"148,590","2,442,286","115,000","673,185",-,"564,236","2,327,286","449,236","1,654,101","1,388,905","30,962","30,962","4,600"
52,9/30/2006,"10,713,224","251,991","162,761",-,-,"162,761",-,"89,230","89,230",-,-,-,-,-,"2,152,427",-,-,-,"2,152,427",-,-,"7,751,472","7,789,424",-,-,-,-,"7,789,424","44,054","6,102",-,-,-,-,-,"66,697",-,-,-,-,-,-,-,"104,428",-,"104,428",-,-,"386,209","9,930,388","7,858,484","6,686,472","6,686,472","1,172,012",-,-,-,-,-,-,-,-,-,-,-,"1,962,270","1,962,270",-,-,"109,634","782,836","634,246",271,-,271,-,"333,469","183,549",-,-,"116,957","148,590","2,596,516",-,"634,246",-,"529,818","2,596,516","529,818","1,962,270","1,799,509","30,962","30,962",-
53,6/30/2006,"10,380,347","248,400","166,032",-,-,"166,032",-,"82,368","82,368",-,-,-,-,-,"2,017,313",-,-,-,"2,017,313",-,-,"7,591,878","7,629,750",-,-,-,-,"7,629,750","43,517","5,645",-,-,-,-,-,"62,652",-,-,-,-,-,-,-,"103,583",-,"103,583",-,-,"356,521","9,613,507","7,632,975","6,490,680","6,490,680","1,142,295",-,-,-,-,-,-,-,-,-,-,-,"1,816,270","1,816,270",-,-,"164,262","766,840","618,250",270,-,270,-,"321,856","180,417",-,-,"115,707","148,590","2,434,520",-,"618,250",-,"514,667","2,434,520","514,667","1,816,270","1,650,238",-,-,-
54,3/31/2006,"9,578,763","237,648","161,497",-,-,"161,497",-,"76,151","76,151",-,-,-,-,-,"1,841,422",-,-,-,"1,841,422",-,-,"7,009,813","7,048,868",-,-,-,-,"7,048,868","43,456","4,401",-,-,-,-,-,"60,399",-,-,-,-,-,-,-,"104,068",-,"104,068",-,-,"325,413","8,827,889","8,053,639","6,846,654","6,846,654","1,206,985",-,-,-,-,-,-,-,-,-,-,-,"703,270","703,270",-,-,"70,980","750,874","602,284",266,-,266,-,"309,668","174,589",-,-,"117,761","148,590","1,305,554",-,"602,284",-,"498,216","1,305,554","498,216","703,270","541,773",-,-,-
55,12/31/2005,"9,319,910","141,762","141,762",-,-,"141,762",-,-,-,-,-,-,-,-,"1,649,734",-,"1,125,052","524,682",-,-,-,"6,997,075","7,036,806",-,"441,287","774,643",-,"5,820,876","39,731",-,"54,289",-,-,-,"93,398","61,305",-,-,-,-,-,-,-,"96,866","71,001","25,865",-,-,"225,481","8,587,200","7,019,048",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,493,270","1,493,270",-,-,"74,882","732,710","584,120","115,264","115,000",264,-,"297,499","191,991",0,"2,512","-23,146","148,590","2,077,390","115,000","469,120",-,"487,254","1,962,390","372,254","1,493,270","1,351,508",-,-,"4,600"
56,9/30/2005,"8,851,932","197,595","126,225",-,-,"126,225",-,"71,370","71,370",-,-,-,-,-,"1,529,929",-,-,-,"1,529,929",-,-,"6,726,816","6,760,995",-,-,-,-,"6,760,995","38,633","4,454",-,-,-,-,-,"58,709",-,-,-,-,-,-,-,"95,019",-,"95,019",-,-,"243,864","8,133,187","6,484,522","5,549,276","5,549,276","935,246",-,-,-,-,-,-,-,"1,352,000","1,352,000","1,352,000",-,"230,270","230,270",-,-,"66,395","718,745","570,155",262,-,262,-,"286,260","189,705",-,-,"93,928","148,590","800,425",-,"570,155",-,"475,136","2,152,425","475,136","1,582,270","1,456,045",-,-,-
57,6/30/2005,"8,441,586","185,907","119,496",-,-,"119,496",-,"66,411","66,411",-,-,-,-,-,"1,390,919",-,-,-,"1,390,919",-,-,"6,471,886","6,505,664",-,-,-,-,"6,505,664","37,746","3,968",-,-,-,-,-,"59,708",-,-,-,-,-,-,-,"93,612",-,"93,612",-,-,"239,554","7,760,053","6,213,701","5,352,850","5,352,850","860,851",-,-,-,-,-,-,-,-,-,-,-,"1,476,770","1,476,770",-,-,"69,582","681,533","532,943",255,-,255,-,"275,026","163,842",-,-,"93,820","148,590","2,009,713",-,"532,943",-,"439,331","2,009,713","439,331","1,476,770","1,357,274",-,-,-
58,3/31/2005,"7,632,140","155,910","96,421",-,-,"96,421",-,"59,489","59,489",-,-,-,-,-,"988,348",-,-,-,"988,348",-,-,"6,132,507","6,165,865",-,-,-,-,"6,165,865","36,842","3,484",-,-,-,-,-,"58,819",-,-,-,-,-,-,-,"92,351",-,"92,351",-,-,"204,205","6,964,703","5,929,760","5,172,683","5,172,683","757,077",-,-,-,-,-,-,-,-,-,-,-,"976,770","976,770",-,-,"58,173","667,437","518,847",253,-,253,-,"264,724","160,401",-,-,"93,469","148,590","1,495,617",-,"518,847",-,"426,496","1,495,617","426,496","976,770","880,349",-,-,-
59,12/31/2004,"7,422,997","87,987","87,987",-,-,"87,987",-,-,-,-,-,-,-,-,"866,980",-,"524,306","342,674",-,-,-,"6,068,074","6,103,748",-,"257,194","678,825",-,"5,167,729","35,674",-,"33,843",-,-,-,"56,118","58,674",-,-,-,-,-,-,-,"88,090","68,922","19,168",-,-,"163,231","6,821,313","5,604,582",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,137,976","1,137,976",-,-,"78,755","601,684","453,094","65,251","65,000",251,-,"254,547","147,989","5,500","4,084","-13,277","148,590","1,591,070","65,000","388,094",-,"365,004","1,526,070","300,004","1,137,976","1,049,989",-,-,-
60,9/30/2004,"7,116,834","144,221","81,516",-,-,"81,516",-,"62,705","62,705",-,-,-,-,-,"855,179",-,-,-,"855,179",-,-,"5,791,240","5,819,719",-,-,-,-,"5,819,719","34,519","6,040",-,-,-,-,-,-,-,-,-,-,-,-,-,"88,444",-,"88,444",-,-,"237,750","6,525,985","5,148,499","4,435,342","4,435,342","713,157",-,-,-,-,-,-,-,-,-,-,-,"1,298,270","1,298,270",-,-,"79,216","590,849","442,259",168,-,168,-,"244,909","147,881","5,988",-,"55,289","148,590","1,740,529",-,"442,259",-,"353,815","1,740,529","353,815","1,298,270","1,216,754",-,-,-
