,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Other Capital Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
10,12/31/2012,"34,387,677","633,165","602,264",-,-,"602,264","30,901","30,901","30,901","162,291",0,0,"701,672","3,990,170","484,548","2,545,189","960,433",-,"8,066","28,061,501","28,191,390","204,631","2,569,832",-,"24,603,896","813,031","129,889",-,"112,392","112,392",-,-,"60,880","142,201","204,237","1,318","68,495","15,822","118,602",-,"-62,036","283,227","106,549","176,678","130,540","130,540","101,572","30,989,133","27,088,247","18,543,775","18,543,775","8,544,472",-,-,-,-,-,-,-,-,-,-,"3,281,450","3,281,450","3,225,000",-,"619,436","3,398,544","3,398,544","500,838","499,525","1,313",-,"838,752","2,027,578",-,"31,376",-,0,"6,679,994","499,525","2,899,019",-,"3,115,317","6,180,469","2,615,792","3,281,450","2,679,186","131,273","131,273",499.525
11,12/31/2011,"27,791,801","635,670","630,780",-,-,"630,780","4,890","4,890","4,890","116,547","3,681","3,681","585,956","2,819,478","330,447","2,097,198","722,280","330,447","20,243","22,573,362","22,641,475","305,881","1,617,275",-,"20,230,604","487,715","68,113",-,"137,783","103,730",-,"34,053","85,447","118,365","153,559","1,318","48,232","9,488","94,521",-,"-35,194","176,447","24,604","151,843","136,372","136,372","52,003","25,196,779","22,459,259","16,343,688","16,343,688","6,115,571",-,-,-,-,-,-,-,-,-,-,"2,328,970","2,328,970","2,200,000",-,"408,550","2,595,022","2,517,762","1,294",0,"1,294",-,"494,450","2,020,832",-,"1,186",-,"77,260","4,846,732",-,"2,517,762",-,"2,341,315","4,846,732","2,341,315","2,328,970","1,698,190","129,372","129,372",-
12,12/31/2010,"22,377,633","1,528,075","1,528,075",-,-,"1,528,075",-,-,-,-,625,625,"391,750","1,093,004","75,602","1,017,402","75,602",-,-,"18,582,817","19,279,241","51,126","1,220,863","288,624","17,701,513","305,739","696,424",-,-,-,-,-,"502,410","97,051","108,146","1,303","29,162","5,389","72,292",-,"-11,095","181,901","24,604","157,297","79,771","79,771",-,"20,152,877","19,235,749","16,179,234","16,179,234","3,056,515",-,-,-,-,-,-,-,-,-,-,"693,845","693,845","625,471",-,"223,283","2,224,756","2,138,186","1,289",-,"1,289",-,"142,362","1,994,457",-,78,-,"86,570","2,832,031",-,"2,138,186",-,"1,956,285","2,832,031","1,956,285","693,845",-,"128,858","128,858",-
13,12/31/2009,"19,940,550","178,553","178,553",-,-,"178,553",-,-,-,-,-,"21,462","202,691","3,183","3,183",0,-,-,-,"18,602,318","18,647,321","14,540","1,012,840","412,424","17,207,517",-,"45,003",-,-,-,-,-,"366,700","92,240","112,635",966,"29,408","6,126","76,135",-,"-20,395","24,544",0,"24,544","448,859","448,859",-,"18,544,643","17,182,484","14,516,809","14,516,809","2,665,675",-,-,-,-,-,-,-,-,-,-,"1,172,488","1,172,488","130,501",-,"189,671","1,395,907","1,296,317",-,-,-,-,0,0,-,69,"1,296,248","99,590","2,468,805",-,"1,296,317",-,"1,271,773","2,468,805","1,271,773","1,172,488","993,935",-,-,-
14,12/31/2006,"11,634,534","265,196","265,196",-,-,"265,196",-,-,-,"93,957",443,-,"178,900","2,339,215","1,632,873","706,342","1,632,873","53,992",-,"8,218,854","8,265,391","78,539","704,012","928,911","7,064,840","418,000","46,537",-,"124,595","76,141",-,"48,454","17,589","79,627",-,-,-,-,-,-,-,"223,949","183,440","40,509","20,872","20,872","17,345","10,697,759","8,920,721","7,514,984","7,514,984","1,405,737",-,-,-,-,-,-,-,-,-,-,"1,654,101","1,654,101","1,590,331",-,"122,937","936,775","788,185","115,310","115,000",310,-,"337,801","335,196",-,-122,-,"148,590","2,442,286","115,000","673,185",-,"564,236","2,327,286","449,236","1,654,101","1,388,905","30,962","30,962","4,600"
15,12/31/2005,"9,319,910","141,762","141,762",-,-,"141,762",-,-,-,-,-,-,-,"1,649,734","1,125,052","524,682",-,-,-,"6,997,075","7,036,806",-,"441,287","774,643",-,"5,820,876","39,731",-,"54,289",-,-,-,"93,398","61,305",-,-,-,-,-,-,-,"96,866","71,001","25,865",-,-,"225,481","8,587,200","7,019,048",-,-,-,-,-,-,-,-,-,-,-,-,-,"1,493,270","1,493,270",-,-,"74,882","732,710","584,120","115,264","115,000",264,-,"297,499","191,991",0,"2,512","-23,146","148,590","2,077,390","115,000","469,120",-,"487,254","1,962,390","372,254","1,493,270","1,351,508","128,858","128,858","4,600"
16,12/31/2004,"7,422,997","87,987","87,987",-,-,"87,987",-,-,-,-,-,-,-,"866,980","524,306","342,674",-,-,-,"6,068,074","6,103,748",-,"257,194","678,825",-,"5,167,729","35,674",-,"33,843",-,-,-,"56,118","58,674",-,-,-,-,-,-,-,"88,090","68,922","19,168",-,-,"163,231","6,821,313","5,604,582",-,-,-,-,-,-,-,-,-,-,-,-,-,"1,137,976","1,137,976",-,-,"78,755","601,684","453,094","65,251","65,000",251,-,"254,547","147,989","5,500","4,084","-13,277","148,590","1,591,070","65,000","388,094",-,"365,004","1,526,070","300,004","1,137,976","1,049,989",-,-,-
17,12/31/2003,"6,002,943","79,810","79,810",-,-,"79,810",-,-,-,-,-,-,-,"727,725","635,063","92,662",-,-,-,"4,852,836","4,884,248",-,"184,525",-,-,"4,699,723","31,412",-,"25,357",-,-,-,"44,411","46,473",-,-,-,-,-,-,-,"76,482","61,549","14,933",-,-,"149,849","5,522,504","4,582,896",-,-,-,-,-,-,-,-,-,-,-,-,-,"898,349","898,349",-,-,"41,259","480,439","331,699",168,-,168,-,"220,311","138,447","21,336","3,252","-9,143","148,740","1,230,048",-,"331,699",-,"255,217","1,230,048","255,217","898,349","818,539","30,962","30,962",-
18,12/31/2002,"4,854,695","91,213","91,213","91,213",-,-,-,-,-,-,-,-,-,"726,085","686,690","39,395",-,-,-,"3,799,107","3,827,836",-,"150,204",-,-,"3,677,632","28,729",-,"23,967",-,-,-,"40,162","46,199",-,-,-,-,-,-,-,"76,408","60,640","15,768",-,-,"51,554","4,482,516","3,626,149",-,-,-,-,-,-,-,-,-,-,-,-,-,"817,466","817,466",-,-,"38,901","372,179","283,179",168,-,168,-,"186,940","133,978","39,487","5,357","-3,777","89,000","1,100,645",-,"283,179",-,"206,771","1,100,645","206,771","817,466","726,253","30,962","30,962",-
19,12/31/2001,"4,197,626","109,857","109,857","79,857","30,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,445,721","3,468,499",-,"80,718",-,-,"3,387,781","22,778",-,"22,914",-,-,-,"42,011","29,330",-,-,-,-,-,-,-,"27,233","27,233",-,-,-,"520,560","3,917,275","3,238,108",-,-,-,-,-,-,-,-,-,-,-,-,-,"653,672","653,672",-,-,"25,495","280,351","231,851",193,-,193,-,"160,539","156,423","82,483","1,461","-4,282","48,500","885,523",-,"231,851",-,"204,618","885,523","204,618","653,672","543,815","30,962","30,962",-
